H,1553382824,261985
X,1553382824,711131,755
X,1553382824,711001,1334
X,1553382825,711133,1218
X,1553382825,711099,891
X,1553382826,711110,705
X,1553382826,711053,1964
X,1553382827,711198,546
X,1553382828,711097,856
X,1553382828,711140,905
X,1553382829,711025,1964
X,1553382829,711110,698
X,1553382830,711153,860
X,1553382830,711092,596
X,1553382831,711058,1499
X,1553382832,710996,868
X,1553382832,711095,830
A,1553382832,711121,202
T,1553382832,2784
X,1553382833,711089,1022
X,1553382834,711092,571
X,1553382834,711026,2144
X,1553382835,711167,709
X,1553382835,711025,1156
X,1553382836,711054,726
X,1553382837,710952,1764
X,1553382837,711085,662
X,1553382838,711055,1024
X,1553382838,711084,801
X,1553382839,711028,1991
X,1553382839,711091,526
X,1553382840,711099,446
X,1553382841,711085,500
X,1553382841,710993,1151
X,1553382842,711004,677
X,1553382842,711099,716
X,1553382843,711020,766
X,1553382843,711126,666
P,1553382843,5348
X,1553382844,711068,1558
X,1553382845,711075,862
X,1553382845,710887,1271
X,1553382846,711087,1072
X,1553382846,711020,1212
X,1553382847,711050,674
X,1553382847,710945,602
X,1553382848,711103,513
X,1553382848,711041,996
X,1553382849,711041,570
X,1553382850,710950,2498
X,1553382850,711111,829
X,1553382851,711051,684
A,1553382851,711071,222
T,1553382851,2784
X,1553382853,711069,1132
X,1553382853,711003,506
X,1553382854,711017,2354
X,1553382854,711115,355
X,1553382855,711027,1685
X,1553382856,711014,658
X,1553382856,710970,2641
X,1553382857,711062,495
X,1553382857,711039,1277
X,1553382858,711067,1227
X,1553382858,710888,2952
X,1553382859,711003,576
X,1553382860,710966,1555
X,1553382860,711026,597
X,1553382861,710915,1627
X,1553382861,711032,736
X,1553382862,711008,1331
X,1553382862,711005,429
X,1553382863,710905,2194
X,1553382864,711015,838
X,1553382864,711000,1094
X,1553382865,711016,482
X,1553382865,710854,804
X,1553382866,710991,911
X,1553382866,711011,1756
X,1553382867,711035,869
X,1553382867,710909,1874
X,1553382868,711038,691
X,1553382869,711037,1044
X,1553382869,711015,515
X,1553382870,710917,1536
X,1553382870,710973,794
X,1553382871,711049,888
X,1553382871,711044,579
X,1553382872,710952,706
X,1553382873,710990,595
A,1553382873,711011,261
T,1553382873,2784
P,1553382874,5349
X,1553382874,711037,642
X,1553382874,711068,894
X,1553382875,710895,2969
X,1553382875,710781,12036
X,1553382876,710618,7918
X,1553382876,710224,25568
X,1553382877,712125,37886
X,1553382878,710848,28040
X,1553382878,709502,21728
X,1553382879,710161,15687
X,1553382879,710745,11329
X,1553382880,712386,29891
X,1553382880,711661,39948
X,1553382881,711066,4943
X,1553382882,712193,31050
X,1553382882,711181,31548
X,1553382883,710652,18834
X,1553382883,712221,28841
X,1553382884,710924,15617
X,1553382884,711278,11236
X,1553382885,711316,7444
X,1553382886,711574,2130
X,1553382886,711605,14658
X,1553382887,711919,10892
X,1553382887,711154,3001
X,1553382888,711373,9911
X,1553382888,711299,1563
X,1553382889,711266,6440
X,1553382889,712029,17249
X,1553382890,711379,15959
X,1553382891,711534,11697
X,1553382891,711260,2380
X,1553382892,711079,2033
X,1553382892,711428,1471
X,1553382893,711212,1756
X,1553382893,711128,2041
X,1553382894,710988,1284
X,1553382895,712274,11383
X,1553382895,711515,7262
X,1553382896,711495,1466
X,1553382896,711233,1888
X,1553382897,711303,766
X,1553382897,710974,9167
X,1553382898,710559,15147
X,1553382899,710883,28273
X,1553382899,711106,7681
X,1553382900,710734,21831
X,1553382900,711715,15664
X,1553382901,711099,12064
X,1553382901,710985,11197
X,1553382902,710882,8436
X,1553382903,711360,19463
P,1553382903,5350
X,1553382903,711384,12852
X,1553382904,711074,1986
X,1553382904,711004,11454
X,1553382905,711475,2338
X,1553382905,711166,1691
X,1553382906,710770,3763
X,1553382907,711422,5299
X,1553382907,711209,2459
X,1553382908,711248,576
X,1553382908,711197,1418
X,1553382909,711195,486
X,1553382909,711049,2066
X,1553382910,711005,5931
X,1553382910,710756,16218
X,1553382911,710351,17974
X,1553382912,711400,8406
X,1553382912,711383,2322
X,1553382913,711192,1550
X,1553382913,711339,19949
X,1553382914,711419,4775
X,1553382914,711138,2001
X,1553382915,711152,610
X,1553382915,711328,7189
X,1553382915,711790,18709
X,1553382916,711396,24871
X,1553382916,711779,7721
X,1553382917,711339,2704
