H,1553745384,261985
D,1553745384,722432
D,1553745387,720384
R,1553745387,5C00DDFC90
X,1553745388,1079182,13535
X,1553745389,1071664,12371
X,1553745390,1076900,3711
X,1553745390,1085176,4191
X,1553745391,1081312,59917
X,1553745391,1074556,44521
X,1553745392,1076001,51850
X,1553745392,1087121,21494
X,1553745393,1083911,20275
X,1553745394,1084809,23263
X,1553745394,1085522,9717
X,1553745394,1086570,9483
X,1553745394,1082432,52845
X,1553745395,1078962,18646
X,1553745395,1069365,28983
X,1553745396,1079676,23388
X,1553745397,1079165,15848
X,1553745397,1082142,11657
X,1553745398,1085842,3873
X,1553745398,1084977,4320
X,1553745399,1085522,2042
X,1553745399,1086054,8997
X,1553745400,1086354,6676
X,1553745401,1084628,4765
X,1553745401,1080804,4787
X,1553745402,1081611,7212
X,1553745402,1084807,8443
X,1553745403,1081389,7662
X,1553745403,1083853,4584
X,1553745404,1084758,7207
P,1553745404,5282
X,1553745405,1085948,20050
X,1553745405,1086505,4485
X,1553745406,1088027,12705
X,1553745406,1087526,4479
X,1553745407,1084211,13845
X,1553745407,1086193,5475
X,1553745408,1080127,8132
X,1553745409,1083895,29965
X,1553745409,1087331,12429
X,1553745410,1087765,15788
X,1553745410,1083084,17153
X,1553745411,1082241,27838
X,1553745411,1080932,25134
X,1553745412,1088065,39647
X,1553745412,1083772,30745
X,1553745413,1087156,38058
X,1553745414,1084273,10947
X,1553745414,1085165,7956
X,1553745415,1086019,14547
X,1553745415,1085317,5156
X,1553745416,1084982,2447
X,1553745416,1084714,7199
X,1553745417,1083822,5268
X,1553745418,1083611,14157
X,1553745418,1083723,10930
X,1553745419,1083282,11623
X,1553745419,1080204,5377
X,1553745420,1083084,4622
X,1553745420,1076242,16455
X,1553745421,1076712,19059
X,1553745422,1085545,8463
X,1553745422,1085513,7002
X,1553745423,1085233,2443
X,1553745423,1084818,2362
X,1553745424,1084052,2594
X,1553745424,1080578,6060
X,1553745425,1084209,4636
X,1553745426,1083723,11857
X,1553745426,1082328,7347
X,1553745427,1081497,11769
X,1553745427,1081576,7576
X,1553745428,1084487,2894
X,1553745428,1083897,3215
X,1553745429,1080322,8761
X,1553745430,1084357,5545
X,1553745430,1083636,3307
X,1553745431,1077472,10997
X,1553745431,1070081,19829
X,1553745432,1068112,11689
X,1553745432,1076425,9644
X,1553745433,1071220,26101
X,1553745434,1076788,7472
X,1553745434,1074264,18644
P,1553745434,5281
X,1553745435,1070359,12678
X,1553745435,1072329,12583
X,1553745435,1080476,22690
X,1553745435,1083078,4795
X,1553745436,1084612,4863
X,1553745436,1084382,3077
X,1553745437,1083337,2122
X,1553745438,1083392,2771
X,1553745438,1082771,4948
X,1553745439,1077764,6619
X,1553745439,1081569,27195
X,1553745440,1082587,6109
X,1553745440,1082460,9899
X,1553745441,1082541,11706
X,1553745442,1079727,30519
X,1553745442,1079382,32677
X,1553745443,1083711,36673
X,1553745443,1082710,36596
X,1553745444,1082278,16751
X,1553745444,1083913,11500
X,1553745445,1083894,12627
X,1553745446,1084104,11239
X,1553745446,1084259,11274
X,1553745447,1085402,9193
X,1553745447,1081333,6643
X,1553745448,1083182,1911
X,1553745448,1084584,5297
X,1553745449,1078151,16949
X,1553745450,1070743,24509
X,1553745450,1074848,12653
X,1553745451,1072136,30489
X,1553745451,1081651,35064
X,1553745452,1082786,30923
X,1553745452,1084933,39596
X,1553745453,1085652,47525
X,1553745454,1083381,27204
X,1553745454,1081483,19229
X,1553745455,1079289,51472
X,1553745455,1082466,23045
X,1553745456,1083513,20771
X,1553745456,1085599,5205
X,1553745457,1084200,7746
X,1553745457,1084163,14428
X,1553745458,1084576,11935
X,1553745459,1084247,7339
X,1553745459,1084622,24190
X,1553745460,1080948,9915
X,1553745460,1084278,5935
X,1553745461,1085442,3505
X,1553745461,1083916,3952
X,1553745462,1086534,4897
X,1553745463,1084323,4870
X,1553745463,1082578,4443
P,1553745463,5281
X,1553745464,1082977,12256
X,1553745464,1083231,13758
X,1553745465,1088281,47367
X,1553745465,1077078,63932
X,1553745466,1071046,46902
X,1553745467,1075101,33724
X,1553745467,1064601,50483
X,1553745468,1079894,14546
X,1553745468,1074674,56567
X,1553745469,1096265,49324
X,1553745469,1071561,61471
X,1553745470,1074727,34034
X,1553745471,1072314,30494
X,1553745471,1074557,22757
X,1553745472,1077488,5819
X,1553745472,1085309,18698
X,1553745473,1076132,9038
X,1553745473,1078462,16717
X,1553745474,1085347,19160
X,1553745475,1088639,22367
X,1553745475,1082087,12993
X,1553745476,1087096,6160
X,1553745476,1086042,4808
X,1553745476,1086171,2895
X,1553745476,1084664,10872
X,1553745477,1085495,3678
X,1553745478,1086363,7972
X,1553745478,1085035,19423
X,1553745479,1079879,11381
