H,1553274225,261985
T,1553274225,2903
X,1553274226,568646,563
X,1553274227,568655,680
X,1553274228,568712,1568
X,1553274228,568605,867
X,1553274229,568663,1483
X,1553274229,568543,1734
X,1553274230,568550,2633
X,1553274230,568623,2661
X,1553274231,568655,1338
X,1553274232,568539,1672
X,1553274232,568556,868
X,1553274233,568569,734
X,1553274233,568669,1100
X,1553274234,568579,981
X,1553274234,568562,591
X,1553274235,568698,815
X,1553274236,568644,771
X,1553274236,568703,2104
X,1553274236,568661,1131
X,1553274236,568734,491
X,1553274237,568713,1098
X,1553274237,568761,383
X,1553274238,568781,2590
X,1553274239,568609,2173
X,1553274239,568788,718
X,1553274240,568640,2442
X,1553274240,568708,1135
X,1553274241,568685,1193
X,1553274241,568712,879
X,1553274242,568646,924
X,1553274242,568703,1210
X,1553274243,568737,1434
X,1553274244,568762,1914
X,1553274244,568663,1762
X,1553274245,568731,1544
X,1553274245,568641,1936
X,1553274246,568770,1422
X,1553274246,568722,1532
X,1553274247,568728,1343
X,1553274248,568641,942
X,1553274248,568689,1076
X,1553274249,568586,3497
X,1553274249,568684,1216
X,1553274250,568599,865
P,1553274250,5415
X,1553274250,568647,2676
X,1553274251,568581,1185
X,1553274252,568710,1226
X,1553274252,568628,817
X,1553274253,568681,1141
X,1553274253,568686,958
X,1553274254,568725,9333
X,1553274254,568547,1344
X,1553274255,568639,1703
X,1553274256,568696,1021
X,1553274256,568755,1816
X,1553274257,568711,1069
X,1553274257,568686,562
X,1553274258,568604,734
A,1553274258,568649,232
T,1553274258,2902
X,1553274260,568647,528
X,1553274260,568701,1064
X,1553274261,568678,1995
X,1553274262,568733,5197
X,1553274262,568534,3054
X,1553274263,568780,3554
X,1553274263,568656,966
X,1553274264,568742,1287
X,1553274264,568662,792
X,1553274265,568709,858
X,1553274265,568699,1093
X,1553274266,568710,1007
X,1553274267,568529,2517
X,1553274267,568679,2582
X,1553274268,568681,2693
X,1553274268,568668,2109
X,1553274269,568718,1875
X,1553274269,568629,1218
X,1553274270,568707,2288
X,1553274271,568702,1070
X,1553274271,568708,1969
X,1553274272,568657,810
X,1553274272,568761,2566
X,1553274273,568653,1768
X,1553274273,568689,2341
X,1553274274,568604,3102
X,1553274275,568746,2083
X,1553274275,568700,877
X,1553274276,568661,920
X,1553274276,568692,691
X,1553274277,568689,1014
X,1553274277,568703,1083
X,1553274277,568666,1186
X,1553274278,568717,870
X,1553274278,568665,1022
X,1553274279,568777,1204
X,1553274279,568651,806
P,1553274279,5418
X,1553274280,568786,1266
X,1553274280,568731,697
X,1553274281,568720,936
X,1553274282,568678,374
X,1553274282,568647,489
X,1553274283,568748,1197
X,1553274283,568676,1015
X,1553274284,568731,788
X,1553274284,568655,878
X,1553274285,568728,1442
X,1553274285,568631,1422
X,1553274286,568720,667
X,1553274287,568683,816
X,1553274287,568652,983
X,1553274288,568673,661
A,1553274288,568682,84
T,1553274288,2902
X,1553274290,568448,8047
X,1553274291,568600,1577
X,1553274291,568600,2824
X,1553274292,568964,4197
X,1553274292,568429,2210
X,1553274293,568619,484
X,1553274293,568338,2909
X,1553274294,568656,664
X,1553274294,568518,1224
X,1553274295,568701,645
X,1553274296,568617,1407
X,1553274296,568807,1644
X,1553274297,568636,1842
X,1553274297,568685,1192
X,1553274298,568685,2676
X,1553274298,568717,1853
X,1553274299,568699,2544
X,1553274300,568748,1552
X,1553274300,568678,1692
X,1553274301,568779,1645
X,1553274301,568755,824
X,1553274302,568757,1010
X,1553274302,568826,1006
X,1553274303,568673,1231
X,1553274304,568802,2132
X,1553274304,568702,5051
X,1553274305,568742,1944
X,1553274305,568724,1074
X,1553274306,568748,1656
X,1553274306,568699,536
X,1553274307,568740,576
X,1553274308,568742,1584
X,1553274308,568688,757
X,1553274309,568709,1758
X,1553274309,568632,1220
P,1553274309,5418
X,1553274310,568692,1241
X,1553274310,568643,953
X,1553274311,568641,613
X,1553274312,568717,718
X,1553274312,568728,1603
X,1553274313,568766,1769
X,1553274313,568693,1478
X,1553274314,568804,1563
X,1553274314,568721,810
X,1553274315,568800,1412
X,1553274316,568229,6807
X,1553274316,569153,6779
X,1553274317,568799,1016
X,1553274317,568809,1210
X,1553274318,568908,2418
X,1553274318,568828,987
X,1553274318,568936,1897
X,1553274318,568877,1165
X,1553274319,569003,2391
