H,1553640758,261985
D,1553640758,435968
D,1553640760,436480
D,1553640762,437760
D,1553640764,436480
D,1553640766,436736
D,1553640769,436736
D,1553640771,447232
D,1553640773,436224
D,1553640775,435456
D,1553640777,439296
P,1553640779,5290
D,1553640779,446720
D,1553640781,437760
D,1553640783,445696
R,1553640783,5C00DDFC90
R,1553640783,5C00DDFC90
X,1553640785,648291,13071
X,1553640785,649005,2705
X,1553640786,648551,4614
X,1553640787,650306,25079
X,1553640787,650733,4958
X,1553640788,651228,11503
X,1553640788,650940,2599
X,1553640789,651347,1589
X,1553640789,650832,16808
X,1553640790,652565,10276
X,1553640791,654034,28767
X,1553640791,655538,16972
X,1553640792,648480,56139
X,1553640792,652194,28695
X,1553640793,647771,43740
X,1553640793,654720,13268
X,1553640794,654830,5832
X,1553640795,653355,23216
X,1553640795,654211,5141
X,1553640796,653823,1821
X,1553640796,654199,3607
X,1553640797,653565,3366
X,1553640797,654775,18296
X,1553640798,654437,14672
X,1553640799,654392,2388
X,1553640799,654904,3164
X,1553640800,649950,40177
X,1553640800,647270,4704
X,1553640801,647780,1780
X,1553640801,647940,9301
X,1553640802,649026,2086
X,1553640803,648991,5379
X,1553640803,648411,1752
X,1553640804,648526,1306
X,1553640804,648581,1328
X,1553640805,649235,13819
X,1553640805,648442,2606
X,1553640806,648888,10780
X,1553640806,649247,2316
X,1553640807,648882,1432
X,1553640808,648966,1714
X,1553640808,647857,20739
P,1553640809,5284
X,1553640809,649684,4399
X,1553640809,648263,31864
X,1553640810,648390,2241
X,1553640810,647961,8657
X,1553640811,647597,2870
X,1553640812,618011,63058
X,1553640812,291525,5995
X,1553640813,290501,1844
X,1553640813,289534,830
X,1553640814,289143,271
X,1553640814,289093,235
X,1553640815,288875,155
X,1553640816,288716,128
X,1553640816,288607,151
X,1553640817,288461,172
X,1553640817,288385,82
X,1553640818,288302,89
O,1553640818,288184,125
O,1553640819,288070,147
O,1553640819,287940,190
O,1553640819,287822,186
O,1553640820,287776,311
O,1553640820,287648,309
O,1553640821,287828,672
O,1553640821,287514,352
O,1553640822,287634,377
O,1553640823,287552,379
O,1553640823,287557,150
O,1553640824,287408,329
O,1553640824,287338,542
O,1553640825,287372,239
O,1553640825,287433,140
O,1553640826,287613,371
O,1553640827,287913,515
O,1553640827,287501,294
O,1553640828,287275,181
O,1553640828,287285,90
O,1553640829,287159,200
O,1553640829,287120,119
O,1553640830,287056,179
O,1553640830,287026,237
O,1553640831,287006,116
O,1553640832,287135,131
O,1553640832,287062,336
O,1553640833,287002,429
O,1553640833,286981,493
O,1553640834,286811,453
O,1553640834,286950,317
O,1553640835,286918,444
O,1553640836,287167,507
O,1553640836,287094,432
O,1553640837,287428,346
O,1553640837,287391,162
P,1553640838,5282
O,1553640838,287657,280
O,1553640838,287582,192
O,1553640839,287696,140
O,1553640840,287696,180
O,1553640840,287752,210
O,1553640841,287681,132
O,1553640841,287587,76
O,1553640842,287586,78
O,1553640842,287679,144
O,1553640843,287723,130
O,1553640844,287693,145
O,1553640844,287817,104
O,1553640845,287986,167
O,1553640845,288027,108
O,1553640846,288057,113
O,1553640846,288094,231
O,1553640847,288042,351
O,1553640848,288108,221
O,1553640848,288316,263
O,1553640849,288272,220
O,1553640849,288031,330
O,1553640850,288081,221
O,1553640850,288189,335
O,1553640851,288379,419
O,1553640851,288212,381
O,1553640852,287890,296
O,1553640853,287839,350
O,1553640853,287960,116
O,1553640854,288113,245
O,1553640854,288073,161
O,1553640855,287985,356
O,1553640855,287856,175
O,1553640856,287708,184
O,1553640857,287653,158
O,1553640857,287791,225
O,1553640858,287960,181
O,1553640858,287884,261
O,1553640859,287903,380
O,1553640859,288075,174
O,1553640860,288025,110
O,1553640860,287778,406
O,1553640860,287486,139
O,1553640861,287499,228
O,1553640861,287412,240
O,1553640862,287515,288
O,1553640862,287434,184
O,1553640863,287509,159
O,1553640864,287606,309
O,1553640864,287955,268
O,1553640865,287716,203
O,1553640865,287823,246
O,1553640866,287790,469
O,1553640866,287783,167
P,1553640867,5283
O,1553640867,287792,466
T,1553640867,2765
P,1553640897,5291
P,1553640926,5291
P,1553640955,5291
P,1553640984,5292
P,1553641014,5292
P,1553641043,5292
P,1553641073,5293
P,1553641103,5292
P,1553641132,5290
P,1553641161,5291
