,1553454890,649848,1359
X,1553454891,649874,1083
X,1553454891,649882,908
X,1553454892,649880,1304
X,1553454893,649877,753
X,1553454893,649887,1468
X,1553454894,649787,27400
X,1553454894,650066,1684
X,1553454895,650008,1126
X,1553454895,649888,600
X,1553454896,649935,1686
X,1553454897,649962,962
X,1553454897,649960,612
X,1553454898,649961,513
X,1553454898,650093,5971
X,1553454899,649768,3312
P,1553454899,5347
X,1553454899,650005,3944
X,1553454900,649991,1726
X,1553454901,649967,1014
X,1553454901,649915,706
X,1553454902,649846,792
X,1553454902,649823,1143
X,1553454903,649841,1012
X,1553454903,649825,900
X,1553454904,649892,1380
X,1553454905,649891,808
X,1553454905,649768,1561
X,1553454906,649896,1364
X,1553454906,650578,5716
X,1553454907,649401,7491
X,1553454907,649870,1234
X,1553454908,650432,6481
X,1553454908,647726,38672
X,1553454909,650129,1932
X,1553454910,650032,1280
X,1553454910,650030,1079
X,1553454911,650018,771
X,1553454911,650038,1191
X,1553454912,650027,1089
X,1553454912,650057,970
X,1553454913,650022,1060
X,1553454914,650020,1274
X,1553454914,650006,1536
X,1553454915,650064,1003
X,1553454915,650006,2683
X,1553454916,650038,1438
X,1553454916,650005,1391
X,1553454917,650083,2177
X,1553454918,649974,1334
X,1553454918,649991,1216
X,1553454919,649992,1262
X,1553454919,649940,547
X,1553454920,650019,1120
X,1553454920,650233,4023
X,1553454921,649906,2325
X,1553454922,650056,1775
X,1553454922,650013,1875
X,1553454923,650047,780
X,1553454923,649991,1157
X,1553454924,649997,1185
X,1553454924,650008,1258
X,1553454925,649954,1383
X,1553454925,650066,983
X,1553454925,650947,9790
X,1553454926,650502,49261
X,1553454926,650207,5885
X,1553454927,650150,2252
X,1553454927,650087,1925
X,1553454928,650114,1089
P,1553454928,5347
X,1553454929,650097,31283
X,1553454929,650389,3888
X,1553454930,650146,790
A,1553454930,649922,456
T,1553454930,2860
U,1553454930,0
X,1553454932,650073,1001
X,1553454932,650073,1329
X,1553454933,650722,5219
X,1553454934,649576,5048
X,1553454934,649990,1755
X,1553454935,650050,1202
X,1553454935,650047,1366
X,1553454936,649997,884
X,1553454936,650037,1358
X,1553454937,649948,7749
X,1553454937,650035,1314
X,1553454938,649948,888
X,1553454939,649979,838
X,1553454939,649936,951
X,1553454940,649990,15673
X,1553454940,649807,1679
X,1553454941,649868,1131
X,1553454941,649836,7326
X,1553454942,649965,1427
X,1553454943,649880,1407
X,1553454943,649901,797
X,1553454944,649917,1042
X,1553454944,649868,755
X,1553454945,649896,952
X,1553454945,649661,1944
X,1553454946,650135,5988
X,1553454947,650117,3005
X,1553454947,649623,2621
X,1553454948,649890,3755
X,1553454948,649907,796
X,1553454949,649995,1189
X,1553454949,649893,801
X,1553454950,649903,18725
X,1553454951,650118,1709
X,1553454951,650092,3707
X,1553454952,650045,24636
X,1553454952,649872,2375
X,1553454953,649957,1626
X,1553454953,649938,875
X,1553454954,649903,1104
X,1553454955,649857,1143
X,1553454955,649950,1481
X,1553454956,649919,1285
X,1553454956,649929,1835
X,1553454957,649955,1101
X,1553454957,649923,700
X,1553454958,649875,1052
P,1553454958,5344
X,1553454959,649285,30676
X,1553454959,649483,8123
X,1553454960,649823,927
X,1553454960,649851,1313
X,1553454961,649843,1246
X,1553454961,649822,1097
X,1553454962,649804,930
X,1553454962,649764,805
X,1553454963,649629,4434
X,1553454964,650036,1990
X,1553454964,649856,1268
X,1553454965,649690,1266
X,1553454965,649818,754
X,1553454966,649765,1244
X,1553454966,649773,1242
X,1553454966,649799,1264
X,1553454967,649772,634
X,1553454967,649764,779
X,1553454968,649776,876
X,1553454968,649814,700
X,1553454969,649734,1565
X,1553454969,649823,956
A,1553454970,649867,233
T,1553454970,2860
U,1553454970,0
