H,1552970362,337272
P,1552970362,5139
P,1552970391,5141
P,1552970420,5139
P,1552970450,5140
D,1552970463,423424
R,1552970463,700D98F55
R,1552970463,700D98F55
R,1552970463,700D98F55
X,1552970464,712312,26871
X,1552970465,711012,12851
X,1552970465,712236,9583
X,1552970466,712583,17488
X,1552970467,711847,12866
X,1552970467,712906,24290
X,1552970468,713912,14985
X,1552970468,712889,17699
X,1552970469,715059,16141
X,1552970469,715574,8360
X,1552970470,715390,5762
X,1552970471,713275,6152
X,1552970471,714198,5466
X,1552970472,714681,2016
X,1552970472,715159,9203
X,1552970473,714627,6599
X,1552970473,714238,7885
X,1552970474,713555,5744
X,1552970475,713186,4570
X,1552970475,712840,3332
X,1552970476,711226,5388
X,1552970476,711888,4269
X,1552970477,711736,2639
X,1552970477,711662,4561
X,1552970478,711336,4219
X,1552970479,711294,4495
P,1552970479,5131
X,1552970479,710917,4498
X,1552970480,710793,3108
X,1552970480,724408,47158
X,1552970481,704754,11769
X,1552970481,708724,49070
X,1552970482,703148,14176
X,1552970482,706357,45073
X,1552970483,711885,47652
X,1552970484,712588,49541
X,1552970484,712945,23039
X,1552970485,710971,38955
X,1552970485,711745,39631
X,1552970486,710580,8792
X,1552970486,709725,17869
X,1552970487,710496,9852
X,1552970488,710046,4075
X,1552970488,710545,2166
X,1552970489,709884,3253
X,1552970489,709416,4838
X,1552970490,709587,3637
X,1552970490,709663,5174
X,1552970491,709924,4887
X,1552970492,709664,2814
X,1552970492,709779,2765
X,1552970493,709949,3160
X,1552970493,709995,1868
X,1552970494,709771,3200
X,1552970494,709548,1842
X,1552970495,709834,2027
X,1552970495,709866,1611
X,1552970495,709287,2872
X,1552970496,709456,34959
X,1552970496,708586,14194
X,1552970497,709619,2506
X,1552970497,709823,3112
X,1552970498,709409,2160
X,1552970499,709924,3234
X,1552970499,709911,2702
X,1552970500,709820,1772
X,1552970500,709537,2740
X,1552970501,709675,3460
X,1552970501,709237,12742
X,1552970502,708326,2484
X,1552970502,709347,1118
X,1552970503,709177,1398
X,1552970504,708126,20595
X,1552970504,708699,1592
X,1552970505,709218,2078
X,1552970505,707061,33640
X,1552970506,711768,20334
X,1552970506,709790,3796
X,1552970507,708994,12146
X,1552970508,711624,9818
P,1552970508,5132
X,1552970508,710643,2549
X,1552970509,708045,18041
X,1552970509,533535,49952
X,1552970510,349869,37567
X,1552970510,347046,25268
X,1552970511,345070,37573
X,1552970512,344262,11582
X,1552970512,343368,3132
X,1552970513,342944,423
X,1552970513,342884,212
X,1552970514,342725,256
X,1552970514,342559,157
X,1552970515,342467,100
X,1552970516,342470,87
O,1552970516,342539,140
O,1552970517,342460,193
O,1552970517,342276,125
O,1552970518,342129,109
O,1552970518,342049,101
O,1552970519,341971,173
O,1552970519,341836,148
O,1552970520,341699,155
O,1552970521,341595,155
O,1552970521,341511,78
O,1552970522,341420,116
O,1552970522,341317,125
O,1552970523,341225,105
O,1552970523,341140,119
O,1552970524,341095,217
O,1552970525,341033,194
O,1552970525,341016,152
O,1552970526,340995,158
O,1552970526,341081,92
O,1552970527,341053,95
O,1552970527,341031,93
O,1552970528,341012,113
O,1552970529,340961,83
O,1552970529,340994,110
O,1552970530,341059,84
O,1552970530,341156,121
O,1552970531,341242,188
O,1552970531,341149,117
O,1552970532,341198,110
O,1552970533,341120,248
O,1552970533,341092,153
O,1552970534,341063,81
O,1552970534,341049,94
O,1552970535,341010,91
O,1552970535,340925,144
O,1552970536,340901,153
O,1552970536,340925,97
O,1552970536,340936,82
O,1552970537,340936,237
O,1552970537,341152,73
P,1552970537,5128
O,1552970538,341127,130
O,1552970538,341007,140
O,1552970539,340946,120
O,1552970539,340908,110
O,1552970540,340923,121
O,1552970541,340780,160
O,1552970541,340665,77
O,1552970542,340572,134
O,1552970542,340594,116
O,1552970543,340606,180
O,1552970543,340628,117
O,1552970544,340721,142
O,1552970545,340741,173
O,1552970545,340802,113
O,1552970546,340783,188
O,1552970546,340874,178
O,1552970547,340830,126
O,1552970547,340786,90
O,1552970548,340800,115
O,1552970549,340734,149
O,1552970549,340720,119
O,1552970550,340715,53
O,1552970550,340709,101
O,1552970551,340678,87
O,1552970551,340617,126
O,1552970552,340598,103
O,1552970553,340598,79
O,1552970553,340558,105
O,1552970554,340503,100
