H,1556502651,337564
P,1556502651,5233
P,1556502680,5232
P,1556502709,5232
P,1556502739,5232
P,1556502768,5232
P,1556502797,5233
P,1556502826,5232
P,1556502857,5232
P,1556502886,5232
P,1556502915,5232
P,1556502944,5230
P,1556502974,5232
P,1556503003,5232
P,1556503032,5232
P,1556503062,5233
P,1556503091,5233
P,1556503120,5231
P,1556503150,5233
P,1556503180,5233
P,1556503209,5231
P,1556503238,5232
P,1556503268,5232
P,1556503297,5233
P,1556503326,5231
P,1556503355,5233
P,1556503385,5231
P,1556503414,5232
P,1556503444,5232
P,1556503474,5232
P,1556503503,5233
P,1556503532,5232
P,1556503561,5232
P,1556503591,5231
P,1556503620,5232
P,1556503649,5233
P,1556503679,5232
P,1556503708,5233
P,1556503738,5231
P,1556503767,5230
P,1556503797,5232
P,1556503826,5233
P,1556503855,5232
P,1556503885,5232
D,1556503900,448512
R,1556503900,700D98F55
R,1556503900,700D98F55
R,1556503900,700D98F55
X,1556503902,804703,927
X,1556503902,803789,32207
X,1556503903,800168,36690
X,1556503903,805293,8336
X,1556503904,803691,19334
X,1556503904,803178,20469
X,1556503905,806502,35893
X,1556503906,803744,18185
X,1556503906,803595,34745
X,1556503907,804581,6830
X,1556503907,804948,18046
X,1556503908,805962,5584
X,1556503908,804627,26336
X,1556503909,805820,14833
X,1556503910,803639,24348
X,1556503910,804843,6190
X,1556503911,803265,7629
X,1556503911,806636,17646
X,1556503912,800899,4612
X,1556503912,802415,20663
X,1556503913,806054,21375
X,1556503913,801992,50155
X,1556503914,804035,33938
P,1556503914,5224
X,1556503915,806503,57988
X,1556503915,805301,18821
X,1556503916,808640,39645
X,1556503916,806665,23840
X,1556503917,794254,13798
X,1556503917,544349,47390
X,1556503918,344613,43839
X,1556503919,336489,38229
X,1556503919,333920,19336
X,1556503920,338063,47034
X,1556503920,339466,1059
X,1556503921,337703,45453
X,1556503921,336454,24584
X,1556503922,336211,13069
X,1556503923,336256,8760
X,1556503923,336361,6254
X,1556503924,336428,4466
O,1556503924,336440,2868
O,1556503925,336438,1864
O,1556503925,336429,1127
O,1556503926,336415,630
O,1556503927,336440,287
O,1556503927,336377,169
O,1556503928,336347,175
O,1556503928,336331,141
O,1556503928,336181,121
O,1556503928,336158,117
O,1556503929,336115,104
O,1556503930,336103,96
O,1556503930,336070,84
O,1556503931,336080,108
O,1556503931,336043,103
O,1556503932,335992,78
O,1556503932,336016,82
O,1556503933,336017,93
O,1556503933,336001,89
O,1556503934,335982,97
O,1556503935,335992,123
O,1556503935,335982,102
O,1556503936,335955,79
O,1556503936,335981,141
O,1556503937,335928,101
O,1556503937,335923,110
O,1556503938,335915,91
O,1556503939,335925,86
O,1556503939,335932,91
O,1556503940,335929,86
O,1556503940,335882,125
O,1556503941,335896,137
O,1556503941,335880,113
O,1556503942,335908,81
O,1556503943,335873,110
O,1556503943,335885,145
P,1556503943,5224
O,1556503944,335864,119
O,1556503944,335861,99
O,1556503945,335862,129
O,1556503945,335844,69
O,1556503946,335863,103
O,1556503947,335848,76
O,1556503947,335839,115
O,1556503948,335871,62
O,1556503948,335897,150
O,1556503949,335855,123
O,1556503949,335824,106
O,1556503950,335807,81
O,1556503950,335835,80
O,1556503951,335845,55
O,1556503952,335829,80
O,1556503952,335809,110
O,1556503953,335820,104
O,1556503953,335813,121
O,1556503954,335809,116
O,1556503954,335821,94
O,1556503955,335817,107
O,1556503956,335806,113
O,1556503956,335823,113
O,1556503957,335817,77
O,1556503957,335816,125
O,1556503958,335809,110
O,1556503958,335786,104
O,1556503959,335811,141
O,1556503960,335776,91
O,1556503960,335805,64
O,1556503961,335820,132
O,1556503961,335807,113
O,1556503962,335799,82
O,1556503962,335831,61
O,1556503963,335809,87
O,1556503964,335794,105
O,1556503964,335799,118
O,1556503965,335804,102
O,1556503965,335775,79
O,1556503966,335805,117
O,1556503966,335794,76
O,1556503967,335795,123
O,1556503967,335760,132
O,1556503968,335748,120
O,1556503969,335746,139
O,1556503969,335757,115
O,1556503969,335773,141
O,1556503969,335746,96
O,1556503970,335761,99
O,1556503970,335760,85
O,1556503971,335734,82
O,1556503972,335750,64
O,1556503972,335731,94
P,1556503972,5226
O,1556503973,335734,65
T,1556503973,2786
P,1556504002,5232
P,1556504032,5231
P,1556504061,5232
P,1556504091,5230
P,1556504120,5232
P,1556504149,5231
P,1556504178,5233
P,1556504208,5232
