H,1556591887,337564
D,1556591887,463104
D,1556591889,462592
D,1556591891,463616
D,1556591893,462592
D,1556591895,462848
D,1556591897,462848
D,1556591899,463360
D,1556591901,462848
P,1556591902,5108
D,1556591904,463616
D,1556591906,462848
D,1556591908,463360
D,1556591910,463104
D,1556591912,462848
D,1556591915,462592
D,1556591917,454144
P,1556591932,5209
P,1556591961,5211
P,1556591990,5211
P,1556592019,5209
P,1556592049,5212
P,1556592078,5210
P,1556592107,5211
P,1556592137,5211
P,1556592167,5211
P,1556592196,5211
P,1556592225,5212
P,1556592255,5210
P,1556592284,5212
P,1556592313,5212
P,1556592343,5212
P,1556592372,5212
P,1556592401,5210
P,1556592430,5211
P,1556592461,5211
D,1556592468,590592
R,1556592468,700D98F55
R,1556592468,700D98F55
R,1556592468,700D98F55
X,1556592470,830917,26309
X,1556592471,828331,34027
X,1556592471,827403,19012
X,1556592472,831659,29447
X,1556592472,832159,51343
X,1556592473,830388,46621
X,1556592473,831826,20879
X,1556592474,831655,40260
X,1556592475,830446,14268
X,1556592475,827313,56893
X,1556592476,835072,47696
X,1556592476,831815,27328
X,1556592477,830516,19001
X,1556592477,831939,18818
X,1556592478,827250,20285
X,1556592479,834834,29892
X,1556592479,835046,54165
X,1556592480,828127,28856
X,1556592480,831506,28874
X,1556592481,829441,11408
X,1556592481,831276,8907
X,1556592482,830384,8625
X,1556592482,832820,8124
X,1556592483,825535,28852
X,1556592484,666487,19149
X,1556592484,334735,7280
X,1556592485,339150,42489
X,1556592485,334368,1825
X,1556592486,333154,21386
X,1556592486,335634,1216
X,1556592487,336485,42247
X,1556592488,335363,29207
X,1556592488,334494,16220
X,1556592489,334259,8825
X,1556592489,334328,5517
P,1556592490,5203
X,1556592490,334437,4078
O,1556592490,334470,2495
O,1556592491,334462,1313
O,1556592492,334468,679
O,1556592492,334434,162
O,1556592493,334438,135
O,1556592493,334402,134
O,1556592494,334389,124
O,1556592494,334398,105
O,1556592495,334368,137
O,1556592496,334362,102
O,1556592496,334346,58
O,1556592497,334342,99
O,1556592497,334335,98
O,1556592498,334320,128
O,1556592498,334304,93
O,1556592499,334316,90
O,1556592499,334312,118
O,1556592500,334272,63
O,1556592501,334280,128
O,1556592501,334273,148
O,1556592502,334273,97
O,1556592502,334275,82
O,1556592503,334275,75
O,1556592503,334275,109
O,1556592504,334251,104
O,1556592505,334248,118
O,1556592505,334250,97
O,1556592506,334262,122
O,1556592506,334238,52
O,1556592507,334225,94
O,1556592507,334225,76
O,1556592507,334205,76
O,1556592508,334222,83
O,1556592508,334230,44
O,1556592509,334252,132
O,1556592509,334223,90
O,1556592510,334222,104
O,1556592510,334221,97
O,1556592511,334207,85
O,1556592512,334218,96
O,1556592512,334205,61
O,1556592513,334203,80
O,1556592513,334214,112
O,1556592514,334210,146
O,1556592514,334211,91
O,1556592515,334206,117
O,1556592515,334224,112
O,1556592516,334213,142
O,1556592517,334197,115
O,1556592517,334208,77
O,1556592518,334198,98
O,1556592518,334208,72
P,1556592519,5201
O,1556592519,334196,83
O,1556592519,334221,80
O,1556592520,334202,103
O,1556592521,334210,138
O,1556592521,334202,92
O,1556592522,334225,112
O,1556592522,334207,111
O,1556592523,334207,118
O,1556592523,334209,112
O,1556592524,334209,81
O,1556592525,334224,85
O,1556592525,334194,97
O,1556592526,334218,90
O,1556592526,334209,88
O,1556592527,334232,91
O,1556592527,334215,115
O,1556592528,334204,90
O,1556592529,334219,92
O,1556592529,334197,88
O,1556592530,334221,120
O,1556592530,334229,106
O,1556592531,334211,112
O,1556592531,334226,128
O,1556592532,334214,96
O,1556592533,334197,97
O,1556592533,334221,131
O,1556592534,334194,107
O,1556592534,334209,87
O,1556592535,334196,70
O,1556592535,334195,135
O,1556592536,334194,106
O,1556592536,334201,86
O,1556592537,334194,119
O,1556592538,334218,118
O,1556592538,334198,47
O,1556592539,334210,70
O,1556592539,334205,101
O,1556592540,334206,97
T,1556592540,2792
P,1556592548,5211
P,1556592578,5210
P,1556592607,5212
P,1556592636,5210
P,1556592666,5210
D,1556592672,475136
D,1556592674,457984
D,1556592676,459520
D,1556592678,459776
D,1556592680,459776
D,1556592683,460032
D,1556592685,460032
D,1556592687,459264
D,1556592689,458240
D,1556592691,465664
D,1556592694,460032
P,1556592695,5209
D,1556592696,459776
D,1556592698,460800
D,1556592700,459776
D,1556592702,460032
D,1556592705,461312
D,1556592707,460288
