H,1554143306,337272
P,1554143306,5136
P,1554143336,5136
P,1554143365,5136
P,1554143394,5136
P,1554143423,5135
P,1554143454,5136
P,1554143483,5136
P,1554143512,5135
P,1554143542,5137
P,1554143571,5136
P,1554143600,5136
P,1554143629,5137
P,1554143659,5135
P,1554143688,5136
P,1554143717,5136
P,1554143748,5135
P,1554143777,5135
P,1554143806,5135
P,1554143835,5134
P,1554143865,5136
P,1554143894,5136
P,1554143923,5136
P,1554143953,5135
P,1554143982,5136
P,1554144011,5135
P,1554144041,5134
P,1554144071,5136
D,1554144081,508160
D,1554144084,470272
R,1554144084,700D98F55
R,1554144084,700D98F55
R,1554144084,700D98F55
X,1554144085,724481,7383
X,1554144086,725301,2567
X,1554144087,724622,7242
X,1554144087,725872,4812
X,1554144088,726318,7984
X,1554144088,726731,6080
X,1554144089,726701,9463
X,1554144089,726767,6226
X,1554144090,726970,4982
X,1554144090,726641,5034
X,1554144091,726635,2912
X,1554144092,726593,7214
X,1554144092,726291,9394
X,1554144093,726688,3669
X,1554144093,726864,1823
X,1554144094,726861,1749
X,1554144094,726325,35912
X,1554144095,726292,11230
X,1554144096,726496,20231
X,1554144096,726421,3885
X,1554144097,726031,2353
X,1554144097,725814,29713
X,1554144098,725455,5740
X,1554144098,726155,16637
X,1554144099,725976,1989
X,1554144100,726157,4866
P,1554144100,5127
X,1554144100,726169,10304
X,1554144101,725606,3967
X,1554144101,726493,3246
X,1554144102,726158,2105
X,1554144102,726310,1408
X,1554144103,726224,2540
X,1554144104,726405,2657
X,1554144104,726295,1353
X,1554144105,726301,1793
X,1554144105,727493,12755
X,1554144106,724622,20242
X,1554144106,726147,2657
X,1554144107,723190,49190
X,1554144107,728998,25967
X,1554144108,726476,1989
X,1554144109,726391,1051
X,1554144109,726173,2971
X,1554144110,726346,2311
X,1554144110,726303,1523
X,1554144111,726354,6102
X,1554144111,726346,862
X,1554144112,726387,1362
X,1554144113,726229,2759
X,1554144113,726258,10410
X,1554144114,726454,1805
X,1554144114,726432,6185
X,1554144115,726305,1888
X,1554144115,725994,6294
X,1554144116,726391,2216
X,1554144117,726763,5873
X,1554144117,725986,10526
X,1554144118,726394,1339
X,1554144118,726342,4202
X,1554144119,726478,2113
X,1554144119,726296,2114
X,1554144119,726197,15720
X,1554144120,726667,3872
X,1554144120,726238,5306
X,1554144121,726481,1206
X,1554144121,726602,3611
X,1554144122,726260,7022
X,1554144122,726705,18060
X,1554144123,726804,6865
X,1554144124,726514,2011
X,1554144124,726433,3073
X,1554144125,735817,43953
X,1554144125,702312,11530
X,1554144126,724544,38092
X,1554144126,718228,43689
X,1554144127,729427,55872
X,1554144127,725846,11315
X,1554144128,724687,64525
X,1554144129,725421,38972
P,1554144129,5127
X,1554144129,724007,5416
X,1554144130,724858,19921
X,1554144130,723490,5090
X,1554144131,724814,34066
X,1554144131,725593,6033
X,1554144132,723562,38089
X,1554144133,568705,19333
X,1554144133,337395,24064
X,1554144134,338166,17354
X,1554144134,338147,11847
X,1554144135,337774,9599
X,1554144135,337329,7752
X,1554144136,337037,6216
X,1554144137,337014,4891
X,1554144137,337055,4118
X,1554144138,337122,3222
X,1554144138,337081,2536
X,1554144139,337001,2157
O,1554144139,336923,1780
O,1554144140,336831,1497
O,1554144141,336806,1143
O,1554144141,336812,1006
O,1554144142,336796,819
O,1554144142,336812,661
O,1554144143,336751,533
O,1554144143,336719,570
O,1554144144,336681,461
O,1554144144,336675,308
O,1554144145,336659,286
O,1554144146,336654,226
O,1554144146,336638,207
O,1554144147,336649,218
O,1554144147,336636,157
O,1554144148,336656,145
O,1554144148,336618,182
O,1554144149,336610,147
O,1554144150,336601,132
O,1554144150,336604,90
O,1554144151,336591,107
O,1554144151,336580,96
O,1554144152,336583,62
O,1554144152,336544,147
O,1554144153,336559,145
O,1554144154,336538,126
O,1554144154,336511,113
O,1554144155,336535,87
O,1554144155,336504,121
O,1554144156,336510,69
O,1554144156,336518,70
O,1554144157,336492,139
O,1554144158,336518,63
O,1554144158,336518,86
O,1554144159,336509,71
P,1554144159,5126
O,1554144159,336514,79
O,1554144160,336522,91
O,1554144160,336506,78
O,1554144160,336510,133
O,1554144161,336497,100
O,1554144161,336528,106
O,1554144162,336497,101
O,1554144162,336549,132
O,1554144163,336572,91
O,1554144163,336544,98
O,1554144164,336548,110
O,1554144164,336525,133
O,1554144165,336546,94
