H,1557083934,337564
P,1557083934,5176
P,1557083963,5175
P,1557083993,5176
P,1557084022,5176
P,1557084052,5176
P,1557084081,5177
P,1557084112,5175
P,1557084141,5175
P,1557084170,5175
P,1557084199,5170
P,1557084229,5176
P,1557084258,5177
P,1557084287,5176
P,1557084317,5176
P,1557084346,5176
P,1557084375,5176
P,1557084405,5175
P,1557084435,5176
P,1557084464,5175
P,1557084493,5176
P,1557084523,5174
P,1557084552,5176
P,1557084581,5177
P,1557084610,5177
P,1557084640,5177
P,1557084669,5174
P,1557084699,5176
P,1557084729,5176
P,1557084758,5174
P,1557084787,5174
P,1557084816,5176
P,1557084846,5176
P,1557084875,5175
P,1557084904,5177
P,1557084934,5176
P,1557084963,5177
P,1557084993,5177
P,1557085022,5177
P,1557085052,5176
D,1557085081,486656
P,1557085081,5092
D,1557085083,496128
R,1557085083,700D98F55
R,1557085083,700D98F55
R,1557085083,700D98F55
X,1557085085,760518,18866
X,1557085085,758509,45734
X,1557085086,764323,25127
X,1557085086,760619,30664
X,1557085087,760346,10237
X,1557085087,761754,30509
X,1557085088,762216,32231
X,1557085089,759358,29524
X,1557085089,760337,31022
X,1557085090,759570,17417
X,1557085090,761615,18396
X,1557085091,764130,11986
X,1557085091,762000,20919
X,1557085092,762425,21260
X,1557085092,761933,43583
X,1557085093,764889,19589
X,1557085094,764098,8076
X,1557085094,762896,21171
X,1557085095,762452,7427
X,1557085095,761656,14167
X,1557085096,762085,32613
X,1557085096,760407,8384
X,1557085097,759682,13312
X,1557085098,758154,35020
X,1557085098,760811,28028
X,1557085099,759543,23176
X,1557085099,759610,11082
X,1557085100,758052,14894
X,1557085100,759931,15691
X,1557085101,759161,16970
X,1557085101,759978,11414
X,1557085101,760592,21401
X,1557085102,759973,30777
X,1557085102,761643,5812
X,1557085103,762327,14173
X,1557085103,757832,52240
X,1557085104,760072,8452
X,1557085105,760376,19855
X,1557085105,758207,14777
X,1557085106,759695,5120
X,1557085106,757928,49716
X,1557085107,758418,4834
X,1557085107,758316,9982
X,1557085108,760123,29077
X,1557085109,759076,30918
X,1557085109,757674,16284
X,1557085110,756930,11089
P,1557085110,5168
X,1557085110,758128,23217
X,1557085111,757006,11251
X,1557085111,755531,15618
X,1557085112,754098,20284
X,1557085112,753852,21665
X,1557085113,758764,14913
X,1557085114,763955,18507
X,1557085114,761515,23705
X,1557085115,763198,7202
X,1557085115,758379,54674
X,1557085116,614996,24722
X,1557085116,341619,27672
X,1557085117,339086,10692
X,1557085118,342362,39187
X,1557085118,342374,64186
X,1557085119,341445,44673
X,1557085119,340221,29950
X,1557085120,339655,21806
X,1557085120,339763,16968
X,1557085121,340118,13249
X,1557085122,340471,10510
X,1557085122,340583,8493
O,1557085123,340455,6578
O,1557085123,340282,5737
O,1557085124,340179,4341
O,1557085124,340009,3381
O,1557085125,339917,2780
O,1557085126,339878,2277
O,1557085126,339891,1859
O,1557085127,339940,1460
O,1557085127,339864,1200
O,1557085128,339916,908
O,1557085128,339806,838
O,1557085129,339782,1003
O,1557085129,339674,705
O,1557085130,340167,955
O,1557085131,339998,550
O,1557085131,339990,730
O,1557085132,339566,307
O,1557085132,339713,337
O,1557085133,339987,657
O,1557085133,340051,431
O,1557085134,340190,497
O,1557085135,339965,414
O,1557085135,340438,937
O,1557085136,340784,1309
O,1557085136,341331,809
O,1557085137,341406,1083
O,1557085137,340703,1374
O,1557085138,339891,834
O,1557085139,339549,337
O,1557085139,339627,347
O,1557085140,339550,418
P,1557085140,5169
O,1557085140,339440,318
O,1557085141,339336,242
O,1557085141,339338,333
O,1557085142,339422,196
O,1557085142,339306,169
O,1557085142,339504,359
O,1557085143,339554,675
O,1557085143,338912,1130
O,1557085144,339348,386
O,1557085144,339773,461
O,1557085145,339332,497
O,1557085145,339003,2550
O,1557085146,337725,3285
O,1557085147,337437,1911
O,1557085147,336962,2225
O,1557085148,338100,3986
O,1557085148,338651,1911
O,1557085149,337858,2227
O,1557085149,338608,3039
O,1557085150,338643,2006
O,1557085151,340581,3499
O,1557085151,340220,1717
O,1557085152,339596,1013
O,1557085152,339340,653
O,1557085153,338848,1013
O,1557085153,338437,976
O,1557085154,338661,1007
O,1557085155,339089,1223
O,1557085155,339802,1436
O,1557085156,339116,1033
O,1557085156,339530,1246
O,1557085157,340179,1404
O,1557085157,340532,2098
O,1557085158,339982,2318
O,1557085159,338983,1551
O,1557085159,338306,1506
O,1557085160,338962,1369
O,1557085160,339033,1240
