H,1554240555,337272
T,1554240555,2872
R,1554240555,700D98F55
X,1554240557,762064,1318
X,1554240557,761743,1319
X,1554240558,762078,1204
X,1554240558,762134,982
X,1554240559,762283,575
X,1554240559,762831,2197
X,1554240560,763008,741
X,1554240560,762803,1082
X,1554240561,762988,929
X,1554240562,762778,839
X,1554240562,762857,863
X,1554240563,763197,1970
X,1554240563,762946,1090
X,1554240564,762702,2351
X,1554240564,762685,1479
X,1554240565,762328,1096
X,1554240566,762564,759
X,1554240566,762349,658
X,1554240567,762023,1178
X,1554240567,761998,712
X,1554240568,761864,923
X,1554240568,761828,1120
X,1554240569,761679,1779
X,1554240570,761687,2734
X,1554240570,761971,3051
X,1554240571,762463,1380
X,1554240571,762534,1087
X,1554240572,762375,957
X,1554240572,762668,11115
X,1554240573,762202,3112
X,1554240574,762466,1688
X,1554240574,761885,1349
X,1554240574,761734,2834
X,1554240574,761609,1795
X,1554240575,762145,923
X,1554240575,762286,3573
X,1554240576,762828,2380
X,1554240577,762718,1920
X,1554240577,762837,815
X,1554240578,762793,748
X,1554240578,762628,2446
X,1554240579,762910,1433
X,1554240579,763008,2488
X,1554240580,762868,1483
X,1554240580,762308,1427
X,1554240581,762439,930
P,1554240581,5100
X,1554240582,762876,4383
X,1554240582,762741,6668
X,1554240583,762932,2550
X,1554240583,762920,1718
X,1554240584,762961,1004
X,1554240584,763108,1138
X,1554240585,762811,1416
X,1554240586,763037,1285
X,1554240586,763140,2048
X,1554240587,762887,1610
X,1554240587,762757,6176
X,1554240588,762805,1506
X,1554240588,762731,2325
X,1554240589,762730,1806
X,1554240590,762066,1545
X,1554240590,762047,5937
X,1554240591,761628,4537
X,1554240591,762111,4017
X,1554240592,762112,1659
X,1554240592,762262,2039
X,1554240593,762069,6316
X,1554240594,762804,1546
X,1554240594,762298,3549
X,1554240595,762351,887
X,1554240595,762347,1485
X,1554240596,762341,1032
X,1554240596,762252,939
X,1554240597,762991,2388
X,1554240597,762540,1164
X,1554240598,762834,1814
X,1554240599,762803,1653
X,1554240599,762754,1069
X,1554240600,762995,1707
X,1554240600,762850,986
X,1554240601,762602,1424
X,1554240601,762579,1248
X,1554240602,762759,2144
X,1554240603,763210,2476
X,1554240603,762828,1909
X,1554240604,762255,1303
X,1554240604,762266,1701
X,1554240605,761874,1910
X,1554240605,762456,2314
X,1554240606,762466,1375
X,1554240607,762739,1782
X,1554240607,762893,1488
X,1554240608,763383,1455
X,1554240608,763275,2021
X,1554240609,763694,2313
X,1554240609,763215,2411
X,1554240610,762248,1980
X,1554240611,762397,1183
X,1554240611,762400,1418
P,1554240611,5101
X,1554240612,762111,1565
X,1554240612,762934,1651
X,1554240613,762487,1292
X,1554240613,762477,1723
X,1554240614,762944,1317
X,1554240615,762021,2276
X,1554240615,762960,716
X,1554240615,763238,1883
X,1554240615,763091,2108
X,1554240616,762839,801
A,1554240616,762533,1144
T,1554240616,2872
R,1554240616,700D98F55
X,1554240618,761441,4251
X,1554240618,762384,4796
X,1554240619,761651,4207
X,1554240619,761878,2968
X,1554240620,762113,1544
X,1554240621,761600,2166
X,1554240621,760795,2498
X,1554240622,761014,3938
X,1554240622,761276,2452
X,1554240623,762102,2350
X,1554240623,762052,1747
X,1554240624,762752,1776
X,1554240625,761262,3147
X,1554240625,760231,7625
X,1554240626,761291,4449
X,1554240626,759898,2990
X,1554240627,760741,2804
X,1554240627,760652,2258
X,1554240628,761235,2185
X,1554240629,760102,4598
X,1554240629,761554,3496
X,1554240630,761314,3543
X,1554240630,761650,2017
X,1554240631,761775,1166
X,1554240631,761753,753
X,1554240632,761682,953
X,1554240632,762243,1087
X,1554240633,762569,1669
X,1554240634,762079,2508
X,1554240634,762741,2806
X,1554240635,762758,1882
X,1554240635,760779,2207
X,1554240636,760615,1725
X,1554240636,760234,3731
X,1554240637,759821,2542
X,1554240638,760556,1002
X,1554240638,761513,960
X,1554240639,761752,1729
X,1554240639,762210,1234
X,1554240640,761856,1749
X,1554240640,761916,1370
P,1554240640,5098
X,1554240641,762375,1023
X,1554240642,762173,509
X,1554240642,762569,1044
X,1554240643,762625,1832
X,1554240643,762653,1071
X,1554240644,762801,816
X,1554240644,762764,663
X,1554240645,762829,2098
X,1554240646,762753,1378
X,1554240646,762749,2385
X,1554240647,762736,720
X,1554240647,762633,882
X,1554240648,762760,935
