H,1552068848,337272
R,1552068848,700D98F55
R,1552068848,700D98F55
X,1552068850,700102,8385
X,1552068851,703635,7280
X,1552068851,703198,3648
X,1552068852,702900,9906
X,1552068852,703508,2863
X,1552068853,703407,11844
X,1552068853,703134,1451
X,1552068854,702889,6820
P,1552068854,5155
X,1552068855,703021,11332
X,1552068855,703921,2030
X,1552068856,703393,1708
X,1552068856,702540,11008
X,1552068857,702835,3684
X,1552068857,702621,1402
X,1552068858,703018,4388
X,1552068858,703769,3316
X,1552068859,704124,2766
X,1552068860,703764,8005
X,1552068860,703217,3213
X,1552068861,703384,995
X,1552068861,703592,5964
X,1552068862,703840,2075
X,1552068862,703574,1607
X,1552068863,703998,3151
X,1552068864,703968,3403
X,1552068864,703704,2066
X,1552068865,703605,1603
X,1552068865,703636,1456
X,1552068865,703652,829
X,1552068865,703287,1306
X,1552068866,703564,1111
X,1552068867,703525,2308
X,1552068867,703428,1619
X,1552068868,703516,1149
X,1552068868,703415,4747
X,1552068869,703478,5912
X,1552068869,704024,3510
X,1552068870,704111,10000
X,1552068871,704236,2775
X,1552068871,704137,3439
X,1552068872,704436,4395
X,1552068872,703968,9480
X,1552068873,703966,4026
X,1552068873,703630,2391
X,1552068874,703522,2560
X,1552068875,702301,1084
X,1552068875,701095,2780
X,1552068876,700937,2481
X,1552068876,702036,3137
X,1552068877,702301,1872
X,1552068877,702576,2278
X,1552068878,702257,1615
X,1552068878,702800,2027
X,1552068879,702827,2239
X,1552068880,703104,1492
X,1552068880,703048,3037
X,1552068881,703895,1640
X,1552068881,703941,2623
X,1552068882,704459,1641
X,1552068882,704700,2154
X,1552068883,704733,2422
P,1552068883,5179
X,1552068884,704392,3622
X,1552068884,703500,2859
X,1552068885,704046,2177
X,1552068885,704088,1652
X,1552068886,704387,4199
X,1552068886,704210,1391
X,1552068887,704408,1118
X,1552068888,704451,3768
X,1552068888,704261,21663
X,1552068889,705236,2987
X,1552068889,705441,2689
X,1552068890,705349,11516
X,1552068890,705070,2992
X,1552068891,704725,3200
X,1552068892,704403,1728
X,1552068892,704626,2206
X,1552068893,704602,2390
X,1552068893,704441,4254
X,1552068894,703449,4536
X,1552068894,703943,2557
X,1552068895,703655,2208
X,1552068895,703827,1998
X,1552068896,703718,1475
X,1552068897,703730,3176
X,1552068897,702716,3606
X,1552068898,702733,3485
X,1552068898,704715,7573
X,1552068899,705002,3127
X,1552068899,705194,7004
X,1552068900,705035,7153
X,1552068901,704894,6466
X,1552068901,705083,4701
X,1552068902,704934,7331
X,1552068902,705434,5115
X,1552068903,704952,1553
X,1552068903,704982,2449
X,1552068904,705866,8402
X,1552068905,705407,2306
X,1552068905,705697,2551
X,1552068906,705744,2129
X,1552068906,705222,2901
X,1552068906,705519,1627
X,1552068906,705286,2588
X,1552068907,704970,1804
X,1552068908,705239,1944
X,1552068908,705301,785
X,1552068909,705319,1286
X,1552068909,704975,2831
X,1552068910,705390,8330
X,1552068910,705612,2454
X,1552068911,705922,6404
X,1552068911,706045,1157
X,1552068912,705394,2037
P,1552068912,5180
X,1552068913,705271,2256
X,1552068913,705435,1722
X,1552068914,705011,2223
X,1552068914,705057,2806
X,1552068915,704525,1534
X,1552068915,705099,1988
X,1552068916,705805,12220
X,1552068917,705064,7586
X,1552068917,705777,2398
X,1552068918,705661,5582
X,1552068918,706622,2043
X,1552068919,706480,1096
X,1552068919,706452,1159
X,1552068920,706642,1347
X,1552068921,706529,1193
X,1552068921,706600,691
X,1552068922,706263,3370
X,1552068922,706201,1297
X,1552068923,706071,1586
X,1552068923,705643,2138
X,1552068924,705419,1294
X,1552068925,705384,2412
X,1552068925,704886,3299
X,1552068926,704505,2969
X,1552068926,704554,2964
X,1552068927,706005,2236
X,1552068927,705860,4562
X,1552068928,705007,3635
X,1552068929,705295,8339
X,1552068929,705308,1887
X,1552068930,704983,2725
X,1552068930,705986,3761
X,1552068931,705854,1317
X,1552068931,705772,1964
X,1552068932,705743,1733
X,1552068932,705556,1655
X,1552068933,705901,1039
X,1552068934,706249,1194
X,1552068934,706166,879
X,1552068935,705524,941
X,1552068935,705576,1275
X,1552068936,705778,1872
X,1552068936,705676,1351
X,1552068937,705018,5611
X,1552068938,705373,3013
X,1552068938,706035,870
X,1552068939,706658,1665
X,1552068939,706614,2063
X,1552068940,708404,7921
X,1552068940,707446,22117
X,1552068941,703143,7271
