H,1554249606,337272
P,1554249606,5096
P,1554249636,5097
P,1554249665,5097
P,1554249694,5098
P,1554249723,5099
P,1554249753,5098
P,1554249783,5098
P,1554249812,5097
P,1554249842,5098
P,1554249871,5098
P,1554249900,5098
D,1554249912,503040
R,1554249912,700D98F55
R,1554249912,700D98F55
R,1554249912,700D98F55
X,1554249914,782817,17648
X,1554249914,781221,62912
X,1554249915,784338,5670
X,1554249915,785427,7254
X,1554249916,783038,9937
X,1554249917,784501,4299
X,1554249917,784681,5384
X,1554249918,784125,5230
X,1554249918,784487,4031
X,1554249919,784163,6520
X,1554249919,784180,3199
X,1554249920,784654,2215
X,1554249920,784418,22740
X,1554249921,784586,2472
X,1554249922,784906,1841
X,1554249922,784608,1210
X,1554249923,783775,5251
X,1554249923,783823,4712
X,1554249924,784379,8990
X,1554249924,785124,6744
X,1554249925,784502,2204
X,1554249926,784855,1691
X,1554249926,784858,1954
X,1554249926,785141,1073
X,1554249926,785171,1325
X,1554249927,784866,2481
X,1554249927,784581,7235
X,1554249928,784616,6549
X,1554249929,783721,9504
P,1554249929,5089
X,1554249929,784744,2494
X,1554249930,784588,3124
X,1554249930,783198,2402
X,1554249931,782015,3464
X,1554249931,779412,8350
X,1554249932,779170,2526
X,1554249933,782871,3602
X,1554249933,782220,4777
X,1554249934,783625,3781
X,1554249934,784988,5121
X,1554249935,783508,4403
X,1554249935,784839,2596
X,1554249936,784684,3419
X,1554249937,784471,3047
X,1554249937,784435,3156
X,1554249938,784003,4024
X,1554249938,784469,2414
X,1554249939,785423,1774
X,1554249939,785886,1158
X,1554249940,785451,1342
X,1554249940,785123,1989
X,1554249941,784627,1214
X,1554249942,783736,9976
X,1554249942,782057,2612
X,1554249943,782729,4192
X,1554249943,782909,2344
X,1554249944,783805,9262
X,1554249944,783270,2231
X,1554249945,784103,1979
X,1554249946,784416,3878
X,1554249946,784459,2573
X,1554249947,784196,3529
X,1554249947,784177,3585
X,1554249948,783160,2285
X,1554249948,782959,2850
X,1554249949,783893,1944
X,1554249950,783433,1966
X,1554249950,783196,3693
X,1554249951,780820,10321
X,1554249951,779349,8176
X,1554249952,780678,5214
X,1554249952,784136,4260
X,1554249953,784370,2990
X,1554249954,781711,4291
X,1554249954,781237,1412
X,1554249955,782107,2527
X,1554249955,781473,2986
X,1554249956,782728,983
X,1554249956,783405,1659
X,1554249957,784168,2095
X,1554249957,784889,1717
X,1554249958,784936,1568
X,1554249959,784889,1400
P,1554249959,5092
X,1554249959,785124,1435
X,1554249960,785001,1669
X,1554249960,785142,1716
X,1554249961,785410,1277
X,1554249961,785355,1523
X,1554249962,785103,1565
X,1554249963,784979,1610
X,1554249963,785052,1589
X,1554249964,785167,950
X,1554249964,785284,1552
X,1554249965,784845,1223
X,1554249965,784910,2206
X,1554249966,784798,2083
X,1554249967,782944,12217
X,1554249967,782648,3423
X,1554249967,783696,2461
X,1554249967,784522,6248
X,1554249968,784676,2752
X,1554249968,784824,4961
X,1554249969,783466,6525
X,1554249970,783591,5436
X,1554249970,781353,17705
X,1554249971,782421,21949
X,1554249971,780315,8170
X,1554249972,783192,10597
X,1554249972,784619,4679
X,1554249973,784426,4099
X,1554249974,785164,6394
X,1554249974,785132,6060
X,1554249975,784531,6186
X,1554249975,784017,2738
X,1554249976,783971,4421
X,1554249976,784186,3191
X,1554249977,784257,3656
X,1554249977,783103,6643
X,1554249978,784265,6849
X,1554249979,784551,6294
X,1554249979,784242,2311
X,1554249980,785333,2549
X,1554249980,785564,2216
X,1554249981,785445,2095
X,1554249981,785702,2597
X,1554249982,786452,1567
X,1554249983,785847,2631
X,1554249983,785924,1612
X,1554249984,780521,5016
X,1554249984,785834,2935
X,1554249985,783752,2655
X,1554249985,778667,9804
X,1554249986,781920,7557
X,1554249987,780354,4395
X,1554249987,780688,3183
X,1554249988,781097,5896
P,1554249988,5092
X,1554249988,782485,3929
X,1554249989,782089,2520
X,1554249989,782949,3540
X,1554249990,784396,2781
X,1554249991,784466,2759
X,1554249991,784337,2051
X,1554249992,784488,1668
X,1554249992,784255,2463
X,1554249993,783129,3830
X,1554249993,784024,2360
X,1554249994,783304,2538
X,1554249994,782403,3641
X,1554249995,782877,2212
X,1554249996,782605,3508
X,1554249996,783395,2127
X,1554249997,784765,1676
X,1554249997,784919,1755
X,1554249998,785114,1362
X,1554249998,785260,1548
X,1554249999,785320,1661
X,1554250000,785427,1644
X,1554250000,785282,1792
