H,1551980338,337272
P,1551980338,5221
P,1551980368,5222
P,1551980397,5223
P,1551980426,5222
P,1551980455,5223
P,1551980485,5223
P,1551980514,5222
P,1551980543,5223
P,1551980573,5224
P,1551980602,5221
P,1551980632,5223
P,1551980661,5223
P,1551980691,5223
P,1551980720,5222
P,1551980749,5223
P,1551980779,5223
P,1551980808,5222
P,1551980837,5223
P,1551980866,5223
P,1551980896,5222
P,1551980926,5222
P,1551980955,5223
P,1551980984,5223
P,1551981014,5222
P,1551981043,5223
P,1551981072,5222
P,1551981102,5223
P,1551981131,5224
P,1551981160,5223
P,1551981190,5222
P,1551981221,5223
P,1551981250,5223
P,1551981279,5223
P,1551981309,5222
P,1551981338,5224
P,1551981367,5222
P,1551981396,5222
P,1551981426,5223
P,1551981455,5223
D,1551981460,458752
R,1551981460,700D98F55
R,1551981460,700D98F55
R,1551981460,700D98F55
X,1551981462,705543,14822
X,1551981462,706716,7043
X,1551981463,706056,3670
X,1551981463,706363,5235
X,1551981464,706907,6509
X,1551981464,706139,15452
X,1551981465,707359,6510
X,1551981466,706895,2335
X,1551981466,707321,2942
X,1551981467,707287,10378
X,1551981467,707049,3136
X,1551981468,707406,2589
X,1551981468,707284,3657
X,1551981469,707594,1707
X,1551981470,707273,5079
X,1551981470,707530,3712
X,1551981471,707262,8891
X,1551981471,708265,5727
X,1551981472,707676,1175
X,1551981472,707723,1585
X,1551981473,707676,1319
X,1551981474,707786,3467
X,1551981474,707723,2846
X,1551981475,708150,2635
X,1551981475,707724,3331
X,1551981476,707459,6210
X,1551981476,707804,3397
X,1551981477,708141,1706
X,1551981477,708034,2386
X,1551981477,708245,3547
X,1551981478,707806,4235
X,1551981478,707982,3740
X,1551981479,708435,6355
X,1551981479,708132,3304
X,1551981480,708302,1869
X,1551981481,708204,3288
X,1551981481,708465,5506
X,1551981482,708398,3088
X,1551981482,708681,1521
X,1551981483,708520,1762
X,1551981483,708485,2183
X,1551981484,708645,2932
X,1551981484,708705,1611
P,1551981484,5215
X,1551981485,708829,2942
X,1551981486,708661,1513
X,1551981486,708637,1211
X,1551981487,708572,3668
X,1551981487,708721,1498
X,1551981488,708599,2037
X,1551981488,708669,4505
X,1551981489,708853,6529
X,1551981490,708560,4509
X,1551981490,708885,2218
X,1551981491,708814,2642
X,1551981491,708802,1534
X,1551981492,708588,1385
X,1551981492,708601,3691
X,1551981493,708712,2418
X,1551981494,708863,2946
X,1551981494,708721,1783
X,1551981495,708762,1715
X,1551981495,708581,3980
X,1551981496,709015,1629
X,1551981496,708578,2555
X,1551981497,708586,3177
X,1551981498,708768,2857
X,1551981498,708697,3227
X,1551981499,708899,3601
X,1551981499,708894,1750
X,1551981500,709013,2150
X,1551981500,709117,1470
X,1551981501,708853,3185
X,1551981501,708716,3276
X,1551981502,709046,2704
X,1551981503,709074,2692
X,1551981503,709024,2511
X,1551981504,709066,1277
X,1551981504,709054,3789
X,1551981505,709077,4277
X,1551981505,709067,2112
X,1551981506,709019,1820
X,1551981507,709030,1668
X,1551981507,708994,1259
X,1551981508,708864,3939
X,1551981508,709159,1480
X,1551981509,709190,1460
X,1551981509,709141,1450
X,1551981510,709432,3695
X,1551981511,709124,2680
X,1551981511,709492,1198
X,1551981512,709308,1957
X,1551981512,709076,3676
X,1551981513,709322,2421
X,1551981513,709119,2624
X,1551981514,709559,2960
X,1551981515,709394,888
P,1551981515,5215
X,1551981515,709217,3120
X,1551981516,709390,2162
X,1551981516,709472,1730
X,1551981517,709333,2444
X,1551981517,709619,2485
X,1551981518,709432,2724
X,1551981518,709370,3435
X,1551981518,709335,4134
X,1551981519,709543,2561
X,1551981519,709661,3370
X,1551981520,709389,2390
X,1551981520,709359,2105
X,1551981521,709449,1866
X,1551981521,709237,5490
X,1551981522,709521,1245
X,1551981523,709659,2730
X,1551981523,709852,2781
X,1551981524,709673,1678
X,1551981524,709478,1248
X,1551981525,709925,2870
X,1551981525,709289,3090
X,1551981526,709331,4503
X,1551981527,709664,2702
X,1551981527,709544,986
X,1551981528,709865,3564
X,1551981528,709701,1897
X,1551981529,709773,2887
X,1551981529,709703,941
X,1551981530,709788,1410
X,1551981531,709513,3093
X,1551981531,710130,3645
X,1551981532,709906,2791
X,1551981532,709912,1970
X,1551981533,709866,1653
X,1551981533,709819,932
X,1551981534,709902,3256
X,1551981535,709812,2587
X,1551981535,709868,3016
X,1551981536,709842,2345
X,1551981536,709728,1213
X,1551981537,709749,2374
X,1551981537,709904,1775
X,1551981538,709776,5342
