H,1556841727,337564
X,1556841727,788238,12243
X,1556841727,787595,16584
X,1556841728,788040,12000
X,1556841728,788358,2037
X,1556841729,788777,2079
X,1556841729,788190,16458
X,1556841730,788869,3257
X,1556841731,789570,22243
X,1556841731,787715,15635
X,1556841732,789096,5596
X,1556841732,788048,9877
X,1556841733,788193,8659
X,1556841733,788502,5083
X,1556841734,789045,8912
X,1556841735,788831,9400
X,1556841735,789008,17822
X,1556841736,788911,15547
X,1556841736,792198,11817
X,1556841737,788275,14427
X,1556841737,788147,34003
X,1556841738,788594,9569
X,1556841738,788393,10418
X,1556841739,789655,11998
X,1556841740,789154,21986
X,1556841740,787781,31188
X,1556841741,789363,40542
X,1556841741,788413,31649
X,1556841742,788805,18106
X,1556841742,789340,11642
X,1556841743,787745,21915
X,1556841744,786385,21053
X,1556841744,791550,14335
X,1556841745,788414,36346
X,1556841745,789119,10580
X,1556841746,788353,5982
X,1556841746,789368,4615
X,1556841747,788404,5175
X,1556841748,788782,3733
X,1556841748,788705,2405
X,1556841749,788744,13874
X,1556841749,788069,31746
X,1556841750,788223,11105
X,1556841750,787420,17113
X,1556841751,790104,7851
X,1556841752,787293,9206
X,1556841752,788240,13378
X,1556841753,787961,16742
X,1556841753,788762,5531
X,1556841754,790066,14787
P,1556841754,5190
X,1556841754,784927,45281
X,1556841755,788408,12345
X,1556841755,787975,32136
X,1556841756,789048,15633
X,1556841757,787070,15464
X,1556841757,788830,7206
X,1556841757,787820,6145
X,1556841757,785697,41302
X,1556841758,791508,14578
X,1556841758,788119,34806
X,1556841759,787467,31767
X,1556841760,787747,23456
X,1556841760,785525,54119
X,1556841761,787502,23911
X,1556841761,788767,21113
X,1556841762,787628,32992
X,1556841762,786119,33591
X,1556841763,791027,24746
X,1556841764,787228,15840
X,1556841764,788392,27246
X,1556841765,789116,7796
X,1556841765,789620,56605
X,1556841766,788510,12000
X,1556841766,786186,14902
X,1556841767,789650,9769
X,1556841768,788561,25515
X,1556841768,787272,8832
X,1556841769,788887,27833
X,1556841769,787759,11855
X,1556841770,788021,7319
X,1556841770,788820,4633
X,1556841771,789672,12670
X,1556841772,789334,23765
X,1556841772,785993,34692
X,1556841773,787453,41659
X,1556841773,789832,43292
X,1556841774,791030,23579
X,1556841774,788347,12393
X,1556841775,786537,20602
X,1556841775,791421,15858
X,1556841776,788999,9764
X,1556841777,788974,4177
X,1556841777,789982,15568
X,1556841778,789035,16696
X,1556841778,782056,4707
X,1556841779,781308,2062
X,1556841779,742660,49830
X,1556841780,691313,47517
X,1556841781,577092,25672
X,1556841781,649506,52102
X,1556841782,746331,1840
X,1556841782,747031,52433
X,1556841783,632489,24145
P,1556841783,5191
X,1556841783,330568,49172
X,1556841784,340636,46400
X,1556841785,335803,37987
X,1556841785,336368,31816
X,1556841786,339045,26578
X,1556841786,336073,51068
X,1556841787,336497,22966
X,1556841787,337871,53886
X,1556841788,336515,39075
X,1556841789,336238,23430
X,1556841789,336856,14924
O,1556841790,336825,9995
O,1556841790,336467,8222
O,1556841791,336269,5933
O,1556841791,336343,4792
O,1556841792,336435,3399
O,1556841792,336443,2603
O,1556841793,336388,2051
O,1556841794,336338,1696
O,1556841794,336377,1190
O,1556841795,336354,1066
O,1556841795,336377,738
O,1556841796,336221,637
O,1556841796,336148,597
O,1556841797,336048,3525
O,1556841798,336349,3300
O,1556841798,336119,1973
O,1556841798,336196,1646
O,1556841798,336144,1174
O,1556841799,336079,912
O,1556841799,336113,787
O,1556841800,336038,636
O,1556841801,336057,523
O,1556841801,336012,425
O,1556841802,336021,362
O,1556841802,335998,287
O,1556841803,335979,252
O,1556841803,335936,175
O,1556841804,335937,210
O,1556841805,335913,179
O,1556841805,335913,224
O,1556841806,335936,103
O,1556841806,335947,125
O,1556841807,335903,163
O,1556841807,335821,104
O,1556841808,335808,133
O,1556841809,335805,116
O,1556841809,335809,101
O,1556841810,335791,89
O,1556841810,335776,118
O,1556841811,335718,136
O,1556841811,335715,111
O,1556841812,335637,148
P,1556841812,5189
O,1556841812,335642,74
O,1556841813,335620,198
O,1556841814,335633,171
O,1556841814,335629,133
O,1556841815,335640,74
O,1556841815,335638,146
O,1556841816,335525,175
O,1556841816,335543,61
O,1556841817,335533,87
O,1556841818,335579,115
O,1556841818,335506,144
O,1556841819,335445,170
