H,1552704189,337272
T,1552704189,2819
U,1552704189,36693
X,1552704191,751329,1046
X,1552704191,751297,610
X,1552704192,751947,884
X,1552704192,751559,969
X,1552704193,751411,1286
X,1552704193,751813,1356
X,1552704194,751394,527
X,1552704195,750536,2696
P,1552704195,5122
X,1552704195,751417,853
X,1552704196,751412,1029
X,1552704196,751238,1422
X,1552704197,751554,957
X,1552704197,751211,1590
X,1552704198,750814,927
X,1552704199,751256,2016
X,1552704199,751167,324
X,1552704200,751870,879
X,1552704200,751718,1027
X,1552704201,751995,749
X,1552704201,751924,615
X,1552704202,752003,997
X,1552704203,751968,866
X,1552704203,751814,1667
X,1552704204,752016,506
X,1552704204,751940,1062
X,1552704205,751815,633
X,1552704205,751294,1540
X,1552704206,750965,760
X,1552704206,751176,939
X,1552704207,751723,522
X,1552704208,751694,841
X,1552704208,751752,770
A,1552704208,751602,1202
T,1552704208,2819
U,1552704209,36693
X,1552704210,752148,834
X,1552704211,752035,614
X,1552704211,752179,696
X,1552704212,752465,635
X,1552704212,752255,1086
X,1552704213,751865,625
X,1552704214,752033,545
X,1552704214,752148,957
X,1552704215,752058,649
X,1552704215,752138,959
X,1552704216,752042,507
X,1552704216,752088,1050
X,1552704217,752335,989
X,1552704218,751932,841
X,1552704218,752076,698
X,1552704219,752702,886
X,1552704219,752775,557
X,1552704220,752479,721
X,1552704220,751992,688
X,1552704221,752149,1146
X,1552704221,752568,638
X,1552704221,752361,622
X,1552704222,752235,1223
X,1552704222,752187,405
A,1552704222,752225,910
T,1552704222,2819
U,1552704223,36693
P,1552704224,5133
X,1552704224,752063,864
X,1552704225,752102,540
X,1552704225,752152,469
X,1552704226,752245,971
X,1552704226,751976,1100
X,1552704227,752238,705
X,1552704228,752236,624
X,1552704228,752376,891
X,1552704229,752174,691
X,1552704229,752104,595
X,1552704230,752284,507
X,1552704230,752418,987
X,1552704231,752258,917
X,1552704232,752229,730
X,1552704232,752192,465
X,1552704233,752418,1126
X,1552704233,752359,958
X,1552704234,752113,1088
X,1552704234,752244,1770
X,1552704235,752801,1213
X,1552704236,753067,1060
X,1552704236,752923,1636
X,1552704237,751681,11622
X,1552704237,752993,9267
X,1552704238,753013,852
X,1552704238,752983,667
X,1552704239,752749,871
X,1552704239,752489,1066
X,1552704240,752421,905
X,1552704241,752776,651
A,1552704241,752368,950
T,1552704241,2819
U,1552704241,36693
X,1552704243,753109,1019
X,1552704243,752886,515
X,1552704244,752975,984
X,1552704244,752834,1052
X,1552704245,752403,1219
X,1552704245,752687,461
X,1552704246,752686,546
X,1552704247,752925,757
X,1552704247,752582,782
X,1552704248,752583,720
X,1552704248,752445,666
X,1552704249,752484,1120
X,1552704249,752587,759
X,1552704250,752535,698
X,1552704251,752491,1331
X,1552704251,752410,1285
X,1552704252,753155,701
X,1552704252,753272,955
X,1552704253,752825,586
X,1552704253,752924,366
X,1552704254,752937,727
P,1552704254,5136
X,1552704254,753052,756
X,1552704255,752884,750
X,1552704256,752930,554
X,1552704256,752912,596
X,1552704257,753443,397
A,1552704257,752861,998
T,1552704257,2819
U,1552704257,36693
X,1552704259,753402,629
X,1552704259,753167,6060
X,1552704260,753094,872
X,1552704260,753253,732
X,1552704261,753255,681
X,1552704262,753555,770
X,1552704262,753389,883
X,1552704262,753428,866
X,1552704262,753294,583
X,1552704263,753468,735
X,1552704263,753333,814
X,1552704264,753224,618
X,1552704265,753416,466
X,1552704265,753450,777
X,1552704266,753145,739
X,1552704266,753008,972
X,1552704267,753324,13270
X,1552704267,753034,1647
X,1552704268,752745,1255
X,1552704269,752765,875
X,1552704269,752879,550
X,1552704270,752989,870
X,1552704270,752711,675
X,1552704271,752899,556
A,1552704271,753197,844
T,1552704271,2819
U,1552704271,36693
X,1552704273,753601,871
X,1552704273,753669,491
X,1552704274,753745,738
X,1552704274,753756,1060
X,1552704275,753425,828
X,1552704276,753459,1080
X,1552704276,753612,615
X,1552704277,753738,1083
X,1552704277,753451,670
X,1552704278,753419,1036
X,1552704278,753455,439
X,1552704279,753537,1076
X,1552704280,753628,777
X,1552704280,753321,925
X,1552704281,753392,766
X,1552704281,753407,865
X,1552704282,753105,3901
X,1552704282,752519,1550
X,1552704283,752910,805
