H,1552582766,273894
D,1552582766,343296
D,1552582768,329984
D,1552582771,339968
D,1552582772,345856
D,1552582774,349952
D,1552582776,340480
D,1552582778,352512
D,1552582781,357376
D,1552582783,339968
D,1552582785,322560
P,1552582786,5106
D,1552582787,341504
D,1552582789,343808
D,1552582792,343040
D,1552582794,337408
D,1552582796,342016
D,1552582798,344320
D,1552582800,344832
D,1552582803,345088
D,1552582805,338432
D,1552582807,340992
D,1552582809,348672
D,1552582811,347136
D,1552582813,344064
P,1552582815,5106
D,1552582815,341248
D,1552582817,344064
D,1552582819,346880
D,1552582821,341248
D,1552582824,346624
D,1552582826,347392
D,1552582828,343040
D,1552582830,348672
D,1552582832,344064
D,1552582835,342528
D,1552582837,346112
D,1552582839,339968
D,1552582841,345088
D,1552582843,343808
P,1552582845,5105
D,1552582846,349440
D,1552582848,343808
D,1552582850,342528
D,1552582852,344320
D,1552582854,347904
D,1552582856,344576
D,1552582858,344320
D,1552582860,345600
D,1552582862,345600
D,1552582864,346880
D,1552582867,347392
D,1552582869,345856
D,1552582871,345856
D,1552582873,348416
P,1552582874,5103
D,1552582875,342272
D,1552582878,345088
D,1552582880,346112
D,1552582882,348416
D,1552582884,344064
D,1552582886,340992
D,1552582889,342528
D,1552582891,338688
D,1552582893,346112
D,1552582895,342528
D,1552582896,350208
D,1552582899,340736
D,1552582901,333568
P,1552582903,5106
D,1552582903,343040
D,1552582905,330752
D,1552582907,340224
D,1552582910,318208
D,1552582912,343808
D,1552582914,342528
D,1552582916,348416
D,1552582918,347136
D,1552582921,347392
D,1552582923,345344
D,1552582925,348160
D,1552582927,337664
D,1552582929,340992
D,1552582932,329728
P,1552582933,5106
D,1552582934,345856
D,1552582936,348672
D,1552582937,343040
D,1552582939,346624
D,1552582942,340480
D,1552582944,343552
D,1552582946,345600
D,1552582948,348160
D,1552582950,342016
D,1552582953,345856
D,1552582955,343552
D,1552582957,337664
D,1552582959,345088
D,1552582961,348928
P,1552582962,5103
D,1552582964,346624
D,1552582966,347648
D,1552582968,345600
D,1552582970,346368
D,1552582972,345856
D,1552582975,346624
D,1552582977,347648
D,1552582978,345856
D,1552582980,344320
D,1552582982,346880
D,1552582985,347136
D,1552582987,344832
D,1552582989,343040
P,1552582991,5106
D,1552582991,346880
D,1552582994,345856
D,1552582996,345600
D,1552582998,347648
D,1552583000,346880
D,1552583002,344576
D,1552583005,338688
D,1552583007,344064
D,1552583009,335616
D,1552583011,345344
D,1552583013,338176
D,1552583016,341504
D,1552583018,349440
D,1552583019,344064
P,1552583020,5104
D,1552583021,346880
D,1552583023,347392
D,1552583026,344064
D,1552583028,344832
D,1552583030,345600
D,1552583032,346880
D,1552583034,345600
D,1552583037,345344
D,1552583039,344576
D,1552583041,342272
D,1552583043,347904
D,1552583045,345600
D,1552583048,344832
D,1552583050,342272
P,1552583050,5103
D,1552583052,343552
D,1552583054,346624
D,1552583056,342528
D,1552583059,335872
D,1552583060,344832
D,1552583062,340224
D,1552583064,333312
D,1552583066,345088
D,1552583069,346368
D,1552583071,345344
D,1552583073,348160
D,1552583075,346880
D,1552583077,344320
P,1552583080,5104
D,1552583080,345856
D,1552583082,349696
D,1552583084,344320
D,1552583086,336384
D,1552583088,337920
D,1552583091,346880
D,1552583093,342784
D,1552583095,344576
D,1552583097,345088
D,1552583099,343552
D,1552583101,344320
D,1552583103,336896
D,1552583105,344832
D,1552583107,347904
P,1552583109,5103
D,1552583109,337152
D,1552583112,346368
D,1552583114,344320
D,1552583116,346112
D,1552583118,342784
D,1552583120,345856
D,1552583123,339712
D,1552583125,348672
D,1552583127,342784
D,1552583129,347392
D,1552583131,349184
D,1552583134,342784
D,1552583136,332288
D,1552583138,342272
P,1552583139,5104
D,1552583140,324352
D,1552583141,353280
D,1552583144,342784
D,1552583146,346624
D,1552583148,342784
D,1552583150,352000
D,1552583152,342784
D,1552583155,358144
D,1552583157,355584
D,1552583159,332800
D,1552583161,338688
D,1552583163,343808
D,1552583166,338176
P,1552583168,5105
D,1552583168,338432
D,1552583170,342528
D,1552583172,343552
D,1552583174,336896
D,1552583177,331776
D,1552583179,341760
D,1552583181,340224
D,1552583182,337152
D,1552583184,336896
D,1552583187,340224
D,1552583189,336640
D,1552583191,343296
D,1552583193,338432
D,1552583195,340224
P,1552583197,5105
D,1552583198,342528
D,1552583200,340480
D,1552583202,339200
D,1552583204,338176
D,1552583207,341248
D,1552583209,338432
D,1552583211,341504
D,1552583213,333312
D,1552583215,338176
D,1552583218,340480
D,1552583220,340992
D,1552583222,335360
D,1552583223,339200
D,1552583225,335360
P,1552583226,5104
D,1552583228,339712
D,1552583230,340480
D,1552583232,338432
D,1552583234,338944
D,1552583236,339456
D,1552583239,347648
D,1552583241,339712
D,1552583243,338688
D,1552583245,340224
D,1552583247,338944
D,1552583250,339712
D,1552583252,340736
D,1552583254,334848
P,1552583256,5104
D,1552583256,338688
D,1552583258,341760
D,1552583261,339456
D,1552583263,337920
D,1552583264,340736
D,1552583266,334080
D,1552583268,338944
D,1552583271,340992
D,1552583273,339456
