H,1560803133,364729
P,1560803133,5228
P,1560803162,5228
P,1560803191,5227
P,1560803221,5227
P,1560803250,5228
P,1560803279,5227
P,1560803309,5228
P,1560803338,5228
D,1560803358,414208
R,1560803358,5C00DDFC36
R,1560803358,5C00DDFC36
R,1560803358,5C00DDFC36
X,1560803360,691556,27086
X,1560803361,692258,7075
X,1560803361,691910,3364
X,1560803362,692192,2216
X,1560803362,692057,1706
X,1560803363,692921,10671
X,1560803364,690327,11944
X,1560803364,691860,26404
X,1560803365,691114,11684
X,1560803365,691680,13433
X,1560803366,692327,6083
X,1560803366,692071,1405
X,1560803367,691789,4850
P,1560803367,5219
X,1560803368,692585,8282
X,1560803368,692449,2263
X,1560803369,692359,1779
X,1560803369,691478,6114
X,1560803370,693127,8995
X,1560803370,692068,4993
X,1560803371,692451,3669
X,1560803371,692392,8718
X,1560803372,691668,31872
X,1560803373,692425,12980
X,1560803373,692408,3791
X,1560803374,692326,2350
X,1560803374,692117,7498
X,1560803375,692110,5657
X,1560803375,692421,17069
X,1560803376,692117,15941
X,1560803377,691981,15103
X,1560803377,691375,17046
X,1560803378,691951,5792
X,1560803378,692354,2490
X,1560803379,692269,1647
X,1560803379,692133,1447
X,1560803380,692227,1057
X,1560803381,692327,991
X,1560803381,692204,1418
X,1560803382,692254,1537
X,1560803382,692387,980
X,1560803383,692394,5906
X,1560803383,692306,2444
X,1560803384,692470,1395
X,1560803385,692426,1195
X,1560803385,692522,434
X,1560803386,692340,1855
X,1560803386,692584,1288
X,1560803387,692537,1068
X,1560803387,692679,1572
X,1560803388,692507,952
X,1560803389,692504,1452
X,1560803389,692581,1049
X,1560803390,692541,1440
X,1560803390,692521,1694
X,1560803391,692631,1159
X,1560803391,692519,19012
X,1560803392,692850,14807
X,1560803392,692448,15235
X,1560803393,692430,6622
X,1560803394,692875,2991
X,1560803394,692710,1165
X,1560803395,692698,1294
X,1560803395,692746,1107
X,1560803395,692876,2225
X,1560803395,692884,16711
X,1560803396,688662,28047
P,1560803397,5220
X,1560803397,598003,16888
X,1560803397,373608,26841
X,1560803398,371476,5527
X,1560803398,371472,1624
X,1560803399,371391,911
X,1560803399,371407,617
X,1560803400,371337,320
X,1560803401,371313,330
X,1560803401,371289,254
X,1560803402,371271,275
X,1560803402,371272,410
X,1560803403,374446,24703
O,1560803403,374743,21752
O,1560803404,371564,783
O,1560803405,371483,533
O,1560803405,371312,475
O,1560803406,371351,230
O,1560803406,371283,160
O,1560803407,371251,147
O,1560803407,371248,109
O,1560803408,371200,89
O,1560803408,371214,131
O,1560803409,371174,145
O,1560803410,371167,148
O,1560803410,371175,222
O,1560803411,371160,206
O,1560803411,371155,156
O,1560803412,371113,134
O,1560803412,371143,97
O,1560803413,371149,132
O,1560803414,371104,146
O,1560803414,371112,125
O,1560803415,371115,144
O,1560803415,371078,150
O,1560803416,371106,95
O,1560803416,371100,145
O,1560803417,371086,132
O,1560803418,371074,130
O,1560803418,371060,91
O,1560803419,371052,92
O,1560803419,371083,86
O,1560803420,371056,157
O,1560803420,371071,175
O,1560803421,371045,174
O,1560803422,371032,131
O,1560803422,371074,310
O,1560803423,371010,366
O,1560803423,371037,293
O,1560803424,371002,266
O,1560803424,371026,212
O,1560803425,370990,520
O,1560803425,371034,507
O,1560803426,371075,162
O,1560803427,371057,115
P,1560803427,5221
O,1560803427,371053,156
O,1560803428,371076,163
O,1560803428,371080,54
O,1560803429,371098,135
O,1560803429,371038,246
O,1560803430,371051,219
O,1560803431,371077,251
O,1560803431,371086,166
O,1560803432,371118,158
O,1560803432,371078,223
O,1560803433,371072,341
O,1560803433,371056,377
O,1560803434,371066,308
O,1560803435,371061,235
O,1560803435,371085,164
O,1560803436,371060,156
O,1560803436,371061,88
O,1560803436,371084,206
O,1560803436,371063,329
O,1560803437,371094,163
O,1560803438,371090,205
O,1560803438,371113,149
O,1560803439,371067,143
O,1560803439,371103,204
O,1560803440,371086,138
O,1560803440,371107,130
O,1560803441,371084,122
O,1560803441,371072,140
O,1560803442,371094,84
O,1560803443,371050,124
O,1560803443,371075,66
O,1560803444,371048,128
O,1560803444,371102,115
O,1560803445,371108,103
O,1560803445,371069,98
O,1560803446,371078,106
O,1560803447,371068,114
O,1560803447,371100,83
O,1560803448,371098,138
