H,1561502327,364729
P,1561502327,5216
P,1561502356,5217
P,1561502387,5217
P,1561502416,5216
P,1561502445,5215
P,1561502474,5217
P,1561502504,5217
P,1561502533,5216
P,1561502562,5214
P,1561502592,5217
P,1561502621,5217
P,1561502650,5217
P,1561502680,5217
P,1561502710,5215
P,1561502739,5217
P,1561502768,5216
P,1561502798,5217
P,1561502827,5216
P,1561502856,5218
P,1561502885,5217
P,1561502915,5215
P,1561502944,5216
P,1561502974,5216
P,1561503004,5215
P,1561503033,5216
P,1561503062,5217
P,1561503091,5218
P,1561503121,5216
P,1561503150,5217
P,1561503179,5216
P,1561503209,5216
P,1561503238,5216
P,1561503268,5216
P,1561503297,5217
P,1561503327,5216
P,1561503356,5217
P,1561503385,5215
P,1561503415,5217
P,1561503444,5216
P,1561503473,5216
P,1561503502,5217
P,1561503532,5217
P,1561503562,5216
P,1561503591,5218
P,1561503621,5217
D,1561503629,461312
P,1561503650,5216
P,1561503679,5217
P,1561503709,5217
P,1561503739,5216
P,1561503768,5215
P,1561503797,5217
P,1561503827,5217
P,1561503857,5216
P,1561503886,5218
P,1561503915,5217
D,1561503931,418304
D,1561503933,450816
R,1561503933,5C00DDFC36
R,1561503933,5C00DDFC36
R,1561503933,5C00DDFC36
X,1561503935,700826,26709
X,1561503936,694404,36522
X,1561503936,696513,61209
X,1561503937,523091,47036
X,1561503937,365577,6764
X,1561503938,366054,3723
X,1561503938,365977,2397
X,1561503939,365962,1675
X,1561503940,365821,1416
X,1561503940,365641,1488
X,1561503941,365557,1298
X,1561503941,365675,1717
X,1561503942,365776,1296
X,1561503942,365716,1014
X,1561503943,365651,571
O,1561503944,365613,570
O,1561503944,365713,873
O,1561503945,365773,557
P,1561503945,5209
O,1561503945,365713,835
O,1561503946,365627,590
O,1561503946,365728,390
O,1561503947,598110,55273
T,1561503947,2976
D,1561503948,444672
R,1561503948,5C00DDFC36
R,1561503948,5C00DDFC36
R,1561503948,5C00DDFC36
X,1561503950,676881,4347
X,1561503950,677376,2254
X,1561503950,677946,8543
X,1561503951,677387,4762
X,1561503951,677664,2133
X,1561503952,677530,2390
X,1561503952,677802,2261
X,1561503953,677700,2111
X,1561503954,677843,11187
X,1561503954,677513,4556
X,1561503955,677632,2388
X,1561503955,677640,4673
X,1561503956,677774,2280
X,1561503956,666248,35572
X,1561503957,473827,3721
X,1561503958,367775,30714
X,1561503958,366152,7639
X,1561503959,366257,3053
X,1561503959,366248,1110
X,1561503960,366313,871
X,1561503960,366422,303
X,1561503961,366466,291
X,1561503962,366491,378
X,1561503962,366530,402
X,1561503963,366586,634
X,1561503963,366519,479
O,1561503964,366510,321
O,1561503964,366506,224
O,1561503965,366512,214
O,1561503966,366481,517
O,1561503966,366445,303
O,1561503967,366473,199
O,1561503967,366485,238
O,1561503968,366469,300
O,1561503968,366491,110
O,1561503969,366513,176
O,1561503970,366469,498
O,1561503970,366480,320
O,1561503971,366503,267
O,1561503971,366526,332
O,1561503972,366528,173
O,1561503972,366572,68
O,1561503973,366575,148
O,1561503973,366566,162
P,1561503974,5210
O,1561503974,366549,122
O,1561503975,366581,108
O,1561503975,366547,84
O,1561503976,366546,702
O,1561503976,366559,353
O,1561503977,366518,279
O,1561503977,366478,153
O,1561503978,366432,176
O,1561503979,366407,148
O,1561503979,366448,98
O,1561503980,366467,186
O,1561503980,366529,136
O,1561503981,366547,84
O,1561503981,366550,110
O,1561503982,366563,85
O,1561503983,366550,151
O,1561503983,366528,175
O,1561503984,366525,147
O,1561503984,366535,128
O,1561503985,366541,64
O,1561503985,366529,118
O,1561503986,366526,122
O,1561503987,366503,177
O,1561503987,366473,158
O,1561503988,366484,154
O,1561503988,366513,101
O,1561503989,366488,122
O,1561503989,366496,99
O,1561503990,366620,187
O,1561503990,366610,110
O,1561503991,366591,104
O,1561503991,366610,93
O,1561503991,366633,158
O,1561503992,366626,139
O,1561503992,366596,185
O,1561503993,366597,77
O,1561503993,366590,125
O,1561503994,366627,159
O,1561503995,366655,124
O,1561503995,366684,153
O,1561503996,366680,108
O,1561503996,366688,195
O,1561503997,366656,125
O,1561503997,366650,160
O,1561503998,366666,175
O,1561503999,366700,225
O,1561503999,366693,202
O,1561504000,366702,301
O,1561504000,366679,519
O,1561504001,366683,341
O,1561504001,366676,179
O,1561504002,366703,141
O,1561504003,366710,268
P,1561504003,5210
O,1561504003,366733,227
O,1561504004,366694,248
O,1561504004,366688,161
