H,1560894390,364729
D,1560894390,466176
D,1560894392,471040
D,1560894394,473088
D,1560894395,470272
R,1560894396,5C00DDFC36
R,1560894396,5C00DDFC36
R,1560894396,5C00DDFC36
X,1560894397,731484,34866
X,1560894398,373606,23609
X,1560894398,370855,11286
X,1560894399,371060,5087
X,1560894400,371438,3062
X,1560894400,370906,1796
X,1560894401,371229,2028
X,1560894401,371057,1721
X,1560894402,370934,649
X,1560894402,371036,596
X,1560894403,370741,943
X,1560894403,370863,470
O,1560894404,370894,129
O,1560894405,370962,871
O,1560894405,370862,1311
O,1560894406,370822,869
O,1560894406,370882,774
O,1560894407,370715,537
O,1560894407,370798,524
O,1560894408,370836,633
O,1560894409,370775,325
O,1560894409,370815,413
O,1560894410,370779,542
O,1560894410,370778,980
O,1560894411,370828,384
O,1560894411,370853,211
O,1560894412,370891,429
P,1560894412,5224
O,1560894413,370834,322
O,1560894413,370805,460
O,1560894414,370811,267
O,1560894414,370795,166
O,1560894415,370726,214
O,1560894415,370528,951
O,1560894416,370747,1159
O,1560894417,370714,1746
O,1560894417,370775,1780
O,1560894418,370718,1840
O,1560894418,370882,2595
O,1560894419,370939,1927
O,1560894419,370775,1163
O,1560894420,370679,1423
O,1560894421,370894,1622
O,1560894421,370735,1533
O,1560894422,370857,1223
O,1560894422,370833,516
O,1560894423,370828,362
O,1560894423,370826,328
O,1560894424,370807,448
O,1560894424,370835,235
O,1560894425,370856,267
O,1560894426,370811,555
O,1560894426,370845,460
O,1560894427,370775,253
O,1560894427,370766,227
O,1560894428,370797,154
O,1560894428,370826,224
O,1560894429,370864,187
O,1560894430,370799,185
O,1560894430,370818,113
O,1560894431,370801,147
O,1560894431,370789,169
O,1560894432,370822,257
O,1560894432,370807,195
O,1560894433,370750,152
O,1560894434,370839,79
O,1560894434,370820,161
O,1560894435,370838,155
O,1560894435,370822,132
O,1560894436,370811,71
O,1560894436,370795,180
O,1560894436,370766,260
O,1560894437,370789,159
O,1560894437,370786,175
O,1560894438,370799,523
O,1560894438,370709,435
O,1560894439,370745,499
O,1560894439,370703,314
O,1560894440,370894,241
O,1560894440,370880,216
O,1560894441,370893,116
P,1560894441,5224
O,1560894442,370851,186
O,1560894442,370824,197
O,1560894443,370818,118
O,1560894443,370825,328
O,1560894444,370843,221
O,1560894444,370780,124
O,1560894445,370872,147
O,1560894446,370791,156
O,1560894446,370802,179
O,1560894447,370791,209
O,1560894447,370732,236
O,1560894448,370667,156
O,1560894448,370714,208
O,1560894449,370747,123
O,1560894450,370761,818
O,1560894450,370703,346
O,1560894451,515006,58124
T,1560894451,2953
P,1560894471,5232
P,1560894500,5232
P,1560894529,5231
P,1560894559,5233
P,1560894589,5232
P,1560894618,5231
P,1560894647,5231
P,1560894677,5232
P,1560894706,5230
O,1560894732,370123,2455
O,1560894733,370398,86
O,1560894733,370392,64
O,1560894734,370393,132
O,1560894735,370421,150
O,1560894735,370442,115
P,1560894735,5225
O,1560894736,370452,104
O,1560894736,370477,89
O,1560894737,370467,71
O,1560894737,370481,121
O,1560894738,370487,63
O,1560894738,370479,143
O,1560894739,370480,133
O,1560894740,370475,70
O,1560894740,370437,118
O,1560894741,370423,185
O,1560894741,370464,85
O,1560894742,370437,121
O,1560894742,370439,102
O,1560894743,370443,120
O,1560894744,370431,341
O,1560894744,370418,305
O,1560894745,370446,206
O,1560894745,370436,182
O,1560894746,370437,148
O,1560894746,370433,106
O,1560894747,370433,69
O,1560894748,370461,101
O,1560894748,370450,168
O,1560894749,370416,143
O,1560894749,370430,97
O,1560894750,370437,59
O,1560894750,370451,88
O,1560894751,370496,134
O,1560894752,370464,106
O,1560894752,370493,121
O,1560894753,370506,155
O,1560894753,370462,286
O,1560894754,370496,256
O,1560894754,370460,139
O,1560894755,370422,132
O,1560894755,370426,135
O,1560894756,370386,98
O,1560894757,370342,224
O,1560894757,370376,71
O,1560894758,370317,113
O,1560894758,370343,103
O,1560894759,370426,164
O,1560894759,370384,144
O,1560894760,370405,130
O,1560894761,370362,69
O,1560894761,370326,133
O,1560894762,370327,89
O,1560894762,370368,113
O,1560894763,370376,150
O,1560894763,370438,120
O,1560894764,370451,120
O,1560894764,370472,90
O,1560894764,370410,40
