,1560198733,688624,2409
X,1560198734,688423,8769
X,1560198734,688140,11162
X,1560198735,688379,4088
X,1560198735,687932,2605
X,1560198736,687878,2663
X,1560198737,687936,2015
X,1560198737,688090,2339
X,1560198738,688067,2813
X,1560198738,687907,1775
X,1560198739,688300,2289
X,1560198739,688702,8524
X,1560198740,687816,2518
X,1560198740,688282,2979
X,1560198741,688253,19949
X,1560198742,690125,35583
X,1560198742,685747,40303
X,1560198743,688121,35039
X,1560198743,686508,8357
X,1560198744,684914,15586
P,1560198744,5229
X,1560198744,687874,20869
X,1560198745,687162,2831
X,1560198746,688198,7390
X,1560198746,687975,7684
X,1560198747,687887,1803
X,1560198747,688290,1070
X,1560198748,688454,2236
X,1560198748,688293,8473
X,1560198749,688473,747
X,1560198750,688527,4366
X,1560198750,688490,957
X,1560198751,688528,1228
X,1560198751,688431,17915
X,1560198752,688541,2407
X,1560198752,688608,1867
X,1560198752,688456,1820
X,1560198753,688759,848
X,1560198753,688917,6362
X,1560198754,688748,3758
X,1560198754,688666,1518
X,1560198755,689038,2445
X,1560198755,689020,1757
X,1560198756,688994,11677
X,1560198756,689304,3409
X,1560198757,688572,9773
X,1560198758,686698,13467
X,1560198758,707569,47781
X,1560198759,387339,49538
X,1560198759,387071,12378
X,1560198760,387238,5780
X,1560198760,387157,2916
X,1560198761,387188,1202
X,1560198762,386978,531
X,1560198762,386821,310
X,1560198763,386742,147
X,1560198763,386679,281
X,1560198764,386714,229
X,1560198764,386698,186
O,1560198765,386671,166
O,1560198766,386625,869
O,1560198766,386580,748
O,1560198767,386590,361
O,1560198767,386503,268
O,1560198768,386477,151
O,1560198768,386466,74
O,1560198769,386490,84
O,1560198770,386443,107
O,1560198770,386385,171
O,1560198771,386345,150
O,1560198771,386346,101
O,1560198772,386320,238
O,1560198772,386428,241
O,1560198773,386425,194
P,1560198773,5229
O,1560198773,386373,148
O,1560198774,386361,404
O,1560198775,386281,299
O,1560198775,386460,258
O,1560198776,386555,149
O,1560198776,386469,143
O,1560198777,386317,141
O,1560198777,386133,138
O,1560198778,386192,222
O,1560198779,386351,273
O,1560198779,386307,655
O,1560198780,386156,366
O,1560198780,386143,1149
O,1560198781,386143,153
O,1560198781,386191,179
O,1560198782,386241,142
O,1560198783,386285,335
O,1560198783,386294,219
O,1560198784,386284,100
O,1560198784,386247,507
O,1560198785,386230,435
O,1560198785,386277,273
O,1560198786,386294,180
O,1560198787,386314,153
O,1560198787,386318,82
O,1560198788,386339,302
O,1560198788,386278,465
O,1560198789,386284,347
O,1560198789,386266,122
O,1560198790,386254,103
O,1560198791,386250,93
O,1560198791,386274,93
O,1560198792,386244,120
O,1560198792,386267,181
O,1560198793,386275,112
O,1560198793,386240,149
O,1560198793,386221,104
O,1560198793,386196,135
O,1560198794,386144,1735
O,1560198795,386238,682
O,1560198795,386234,298
O,1560198796,386216,200
O,1560198796,386205,173
O,1560198797,386186,102
O,1560198797,386200,139
O,1560198798,386181,108
O,1560198799,386197,163
O,1560198799,386185,131
O,1560198800,386200,81
O,1560198800,386187,94
O,1560198801,386193,107
O,1560198801,386218,98
O,1560198802,386206,202
P,1560198802,5232
O,1560198803,386258,237
O,1560198803,386240,230
O,1560198804,386220,191
O,1560198804,386247,126
O,1560198805,386303,136
O,1560198805,386373,180
O,1560198806,386477,416
O,1560198807,386586,248
O,1560198807,386535,196
O,1560198808,386418,273
O,1560198808,386466,248
O,1560198809,386570,288
O,1560198809,386544,226
O,1560198810,386416,139
O,1560198810,386381,302
O,1560198811,386310,299
O,1560198812,386327,194
