H,1559610891,364729
X,1559610891,849042,3373
X,1559610891,848874,1875
X,1559610892,848853,1690
X,1559610893,848613,2261
X,1559610893,848767,2403
X,1559610894,849045,2210
X,1559610894,848797,1088
X,1559610895,848880,2329
X,1559610895,848719,1832
X,1559610896,848906,1748
X,1559610896,849132,2076
X,1559610897,848754,1995
X,1559610898,848812,2132
X,1559610898,848723,2051
X,1559610899,848745,2199
X,1559610899,848826,2116
X,1559610900,849024,4150
X,1559610900,848939,2639
X,1559610901,848885,2509
X,1559610902,848645,1505
X,1559610902,848753,2106
X,1559610903,849074,3241
X,1559610903,848828,1592
X,1559610904,848818,1923
X,1559610904,848494,2734
P,1559610905,5282
X,1559610905,848798,2560
X,1559610906,848916,4239
X,1559610906,848754,43841
X,1559610907,848728,2906
X,1559610907,849105,9962
X,1559610908,850127,22493
X,1559610908,846134,34644
X,1559610909,848803,20624
X,1559610910,848626,13882
X,1559610910,849219,10908
X,1559610911,849693,9074
X,1559610911,848204,6758
X,1559610912,848219,6628
X,1559610912,848852,5981
X,1559610913,848598,1458
X,1559610913,848912,3714
X,1559610914,849260,10422
X,1559610915,848047,9821
X,1559610915,848981,1960
X,1559610916,848701,2510
X,1559610916,848825,3713
X,1559610917,848977,3197
X,1559610917,848964,2600
X,1559610918,848760,4320
X,1559610919,848762,2687
X,1559610919,848884,3824
X,1559610920,848775,2823
X,1559610920,848848,2928
X,1559610921,848985,2942
X,1559610921,848750,2895
X,1559610922,848699,2845
X,1559610923,848693,1978
X,1559610923,848858,3407
X,1559610924,848951,5530
X,1559610924,848811,1531
X,1559610925,848915,1700
X,1559610925,848758,1305
X,1559610926,848882,2497
X,1559610927,848768,3136
X,1559610927,849054,2670
X,1559610928,848756,1943
X,1559610928,848850,1960
X,1559610929,848676,2545
X,1559610929,848860,2585
X,1559610930,848978,2500
X,1559610930,848734,1137
X,1559610930,848772,1358
X,1559610931,848657,2931
X,1559610931,848731,745
X,1559610932,848877,1853
X,1559610932,849017,13737
X,1559610933,849004,6927
X,1559610933,848761,6005
P,1559610934,5295
X,1559610934,848532,2295
X,1559610935,847021,27712
X,1559610935,849130,13414
X,1559610936,848805,5285
X,1559610936,848732,1994
X,1559610937,848741,2020
X,1559610937,848633,1725
X,1559610938,848733,1765
X,1559610939,849048,2888
X,1559610939,848841,2286
X,1559610940,849097,8472
X,1559610940,848591,6417
X,1559610941,848976,5944
X,1559610941,849036,1977
X,1559610942,848924,2193
X,1559610943,849032,1656
X,1559610943,848925,2208
X,1559610944,849300,3787
X,1559610944,848912,7758
X,1559610945,848967,8791
X,1559610945,846879,14274
X,1559610946,848873,10824
X,1559610946,849085,37482
X,1559610947,847737,20015
X,1559610948,849176,11064
X,1559610948,848679,16554
X,1559610949,848694,2761
X,1559610949,848449,1396
X,1559610950,848649,5807
X,1559610950,848821,3671
X,1559610951,848572,2064
X,1559610952,848458,2893
X,1559610952,848760,1798
X,1559610953,848742,1242
X,1559610953,848663,1671
X,1559610954,848575,844
X,1559610954,848548,2266
X,1559610955,848631,2172
X,1559610956,848809,1274
X,1559610956,848596,4666
X,1559610957,848799,1898
X,1559610957,848689,2478
X,1559610958,848706,2242
X,1559610958,848877,2821
X,1559610959,848693,2018
X,1559610960,848823,1332
X,1559610960,848714,1967
X,1559610961,848827,2237
X,1559610961,848949,1876
X,1559610962,848879,1119
X,1559610962,848986,1709
X,1559610963,848798,1586
X,1559610963,848804,6947
P,1559610964,5294
X,1559610964,849357,6461
X,1559610965,848835,35331
X,1559610965,849491,19851
X,1559610966,848323,33950
X,1559610966,848295,12687
X,1559610967,848843,2786
X,1559610967,848178,32186
X,1559610968,848872,4045
X,1559610969,848889,27596
X,1559610969,848721,21825
X,1559610970,848905,5492
X,1559610970,848908,2983
X,1559610971,848809,2376
X,1559610971,848743,35301
X,1559610971,848319,15072
X,1559610972,848706,2308
X,1559610972,848760,2721
X,1559610973,848841,8295
X,1559610973,848547,2424
X,1559610974,848687,1887
X,1559610974,848982,1997
X,1559610975,849021,2200
X,1559610976,848884,1498
X,1559610976,848745,1664
X,1559610977,848897,1865
X,1559610977,848972,2384
X,1559610978,848928,1051
X,1559610978,848922,1807
X,1559610979,848758,1758
X,1559610980,848216,5332
X,1559610980,848846,7102
X,1559610981,848856,6793
X,1559610981,848964,1798
X,1559610982,849060,17868
X,1559610982,848629,7549
X,1559610983,848946,1993
X,1559610983,849047,1992
