,718997,1013
X,1558483145,718897,1104
X,1558483146,718952,280
X,1558483146,718953,551
X,1558483147,718844,1283
X,1558483147,718904,1407
X,1558483148,718923,1470
P,1558483148,5479
X,1558483149,718892,1193
X,1558483149,718877,1111
X,1558483150,718957,1063
X,1558483150,718936,1419
X,1558483151,719015,1145
X,1558483151,719019,1086
X,1558483152,719000,1064
X,1558483153,718969,1607
X,1558483153,718877,1916
X,1558483154,718983,962
X,1558483154,718905,1565
X,1558483155,718949,1269
X,1558483155,718932,1551
X,1558483156,718920,1589
X,1558483157,718820,1911
X,1558483157,718952,1152
X,1558483158,718931,938
X,1558483158,718935,673
X,1558483159,718998,1216
X,1558483159,718943,1374
X,1558483160,718973,1005
X,1558483160,718949,1020
X,1558483161,719078,414
X,1558483161,719081,943
X,1558483161,719015,628
X,1558483162,718995,1304
X,1558483162,718922,1428
X,1558483163,719014,956
X,1558483163,718967,1643
X,1558483164,718973,527
X,1558483165,719036,1310
X,1558483165,719311,1385
X,1558483166,718779,1056
X,1558483166,718533,1048
X,1558483167,718710,838
X,1558483167,718985,1375
X,1558483168,718827,1315
X,1558483169,719075,1458
X,1558483169,719022,493
X,1558483170,719106,927
X,1558483170,719122,1253
X,1558483171,719180,769
X,1558483171,719106,1090
X,1558483172,719140,776
X,1558483173,719148,1211
X,1558483173,719140,829
X,1558483174,719097,479
X,1558483174,719106,1446
X,1558483175,719028,1363
X,1558483175,719097,1227
X,1558483176,719166,1135
X,1558483176,719189,1155
X,1558483177,719207,664
A,1558483177,719029,497
T,1558483177,2848
R,1558483177,5C00DDFC36
P,1558483177,5473
X,1558483179,719103,1388
X,1558483180,719151,1198
X,1558483180,719154,1208
X,1558483181,719155,1242
X,1558483181,719192,1441
X,1558483182,719170,1077
X,1558483182,719227,1166
X,1558483183,719190,861
X,1558483184,719198,772
X,1558483184,719149,1088
X,1558483185,719252,606
X,1558483185,719232,1419
X,1558483186,719255,1087
X,1558483186,719290,555
X,1558483187,719303,1618
X,1558483187,719238,1522
X,1558483188,719177,1400
X,1558483189,719148,1228
X,1558483189,719013,875
X,1558483190,719068,1507
X,1558483190,718995,1251
X,1558483191,719037,1041
X,1558483191,718993,1243
X,1558483192,718919,506
X,1558483193,718914,735
X,1558483193,718945,794
X,1558483194,718374,1391
X,1558483194,718725,711
X,1558483195,718758,1165
X,1558483195,718576,1022
X,1558483196,718792,1017
X,1558483197,719131,1132
X,1558483197,718602,1492
X,1558483198,718367,698
X,1558483198,718739,1653
X,1558483199,718529,862
X,1558483199,718375,1047
X,1558483200,718590,1807
X,1558483201,718694,871
X,1558483201,718473,841
X,1558483202,718772,1049
X,1558483202,718734,894
X,1558483202,718681,2008
X,1558483202,718893,940
X,1558483203,718732,1083
X,1558483203,718677,263
X,1558483204,718848,1358
X,1558483205,718865,1174
X,1558483205,718918,970
X,1558483206,718947,1359
X,1558483206,719025,1170
P,1558483207,5478
X,1558483207,718968,649
X,1558483207,718916,1750
X,1558483208,718920,1089
X,1558483209,718975,2700
X,1558483209,718949,1251
X,1558483210,719053,993
X,1558483210,718993,413
A,1558483210,718887,923
T,1558483210,2848
R,1558483211,5C00DDFC36
X,1558483212,718917,1451
X,1558483213,718896,1093
X,1558483213,719007,834
X,1558483214,719441,1593
X,1558483214,719391,1164
X,1558483215,718749,1471
X,1558483216,718923,1361
X,1558483216,718976,1471
X,1558483217,719016,1272
X,1558483217,718769,2552
X,1558483218,718889,1041
X,1558483218,718981,1798
X,1558483219,718945,1216
X,1558483220,719060,478
X,1558483220,718740,996
X,1558483221,718842,1656
X,1558483221,718529,1254
X,1558483222,718806,647
X,1558483222,718556,609
X,1558483223,718836,749
X,1558483224,719640,5284
X,1558483224,718867,3970
X,1558483225,718995,2026
X,1558483225,718845,1329
X,1558483226,718604,996
X,1558483226,718676,1004
X,1558483227,718905,423
X,1558483228,718518,1140
X,1558483228,717836,18279
X,1558483229,718290,3680
X,1558483229,718459,1102
X,1558483230,718734,1398
X,1558483230,718620,1325
X,1558483231,718504,2014
X,1558483231,719085,730
X,1558483232,718874,960
