,711515,1205
X,1558384663,711481,558
X,1558384664,711690,1720
X,1558384664,711999,1579
X,1558384665,711791,475
X,1558384665,711676,656
X,1558384666,711750,1401
P,1558384666,5510
X,1558384667,711849,863
X,1558384667,712012,1045
X,1558384668,711780,1022
X,1558384668,711660,685
X,1558384669,712501,5531
X,1558384669,714428,59770
X,1558384670,711148,52007
X,1558384671,711537,55355
X,1558384671,710578,3128
X,1558384672,710769,802
X,1558384672,711141,1335
X,1558384673,711324,1806
X,1558384673,711217,748
X,1558384674,711199,1311
X,1558384675,711075,1044
X,1558384675,711255,1085
X,1558384676,711643,1455
X,1558384676,711337,1370
X,1558384677,711444,915
X,1558384677,711112,21595
X,1558384678,711269,867
X,1558384678,711433,885
X,1558384679,711468,841
X,1558384680,711507,1363
X,1558384680,711700,878
A,1558384680,711720,1642
T,1558384680,2843
R,1558384680,5C00DDFC36
R,1558384680,5C00DDFC36
R,1558384681,5C00DDFC36
X,1558384682,711597,1335
X,1558384683,711664,619
X,1558384683,711979,1321
X,1558384684,712084,8846
X,1558384684,711747,1958
X,1558384685,711334,1194
X,1558384685,711681,978
X,1558384686,712299,1658
X,1558384687,711908,1143
X,1558384687,711826,981
X,1558384688,711530,1172
X,1558384688,711958,1573
X,1558384689,712371,1979
X,1558384689,711800,1794
X,1558384690,711452,872
X,1558384691,711548,438
X,1558384691,711855,1239
X,1558384692,712394,2140
X,1558384692,711884,1764
X,1558384693,711649,819
X,1558384693,711687,1181
X,1558384694,712010,1028
X,1558384694,712637,2518
X,1558384694,712085,954
X,1558384695,712120,832
P,1558384695,5471
X,1558384695,711926,1475
X,1558384696,712031,7464
X,1558384696,712064,2136
X,1558384697,712400,1419
X,1558384698,712430,1041
X,1558384698,712337,1221
X,1558384699,712367,1245
X,1558384699,712688,1032
X,1558384700,712722,2063
X,1558384700,712182,11264
X,1558384701,711903,3089
X,1558384702,711783,1419
X,1558384702,712811,3326
X,1558384703,711951,1516
X,1558384703,711801,1207
X,1558384704,711071,10792
X,1558384704,713240,7422
X,1558384705,712036,1445
X,1558384705,711161,1308
X,1558384706,710880,1006
X,1558384707,711197,1040
X,1558384707,711437,1512
X,1558384708,711802,1443
X,1558384708,711196,1902
X,1558384709,711135,714
X,1558384709,711009,946
X,1558384710,711322,1072
X,1558384711,711888,2180
X,1558384711,711407,437
X,1558384712,711292,436
X,1558384712,712138,25444
X,1558384713,709700,2337
X,1558384713,710474,5797
X,1558384714,709153,3133
X,1558384715,709933,1249
X,1558384715,710255,1299
X,1558384716,710914,1407
X,1558384716,710336,1412
X,1558384717,710525,1601
X,1558384717,716398,10902
X,1558384718,708061,49123
X,1558384719,707991,51387
X,1558384719,715094,62055
X,1558384720,714170,27814
X,1558384720,709077,33272
X,1558384721,711647,52882
X,1558384721,711865,3643
X,1558384722,711291,3523
X,1558384722,711467,2480
X,1558384723,711422,2293
X,1558384724,711376,2257
X,1558384724,710915,1660
X,1558384725,711696,2057
X,1558384725,710589,9567
P,1558384725,5510
X,1558384726,711339,2178
X,1558384726,711307,2197
X,1558384727,711501,1277
X,1558384728,711881,1516
X,1558384728,712102,1624
X,1558384729,712372,2279
X,1558384729,712584,1726
X,1558384730,712266,1363
X,1558384730,712305,1986
X,1558384731,712662,6714
X,1558384732,712224,3287
X,1558384732,712468,1852
X,1558384733,712254,1654
X,1558384733,712233,1517
X,1558384734,712338,1975
X,1558384734,712923,5830
X,1558384735,712660,4207
X,1558384735,712962,2183
X,1558384735,712581,1813
X,1558384736,712778,1563
X,1558384736,712842,5606
X,1558384737,712594,4060
X,1558384737,712588,3150
X,1558384738,712530,1698
X,1558384738,712499,2021
X,1558384739,712588,1270
X,1558384740,712592,1515
X,1558384740,712527,1919
X,1558384741,712232,3927
X,1558384741,712827,2628
X,1558384742,712404,3220
X,1558384742,712454,1613
X,1558384743,712596,1461
X,1558384744,712335,1589
X,1558384744,712335,5473
X,1558384745,712521,2025
X,1558384745,712157,3107
X,1558384746,712292,2071
X,1558384746,712160,1612
X,1558384747,712232,2113
X,1558384748,712174,1359
X,1558384748,712403,1403
X,1558384749,712478,1645
X,1558384749,712470,1349
