H,1548833989,312466
X,1548833989,514331,2957
X,1548833989,516561,3717
X,1548833990,517596,2404
X,1548833990,518007,2174
X,1548833991,518012,2778
X,1548833991,518148,4634
X,1548833992,519242,7482
X,1548833993,520698,2880
X,1548833993,521756,6558
X,1548833994,522966,11940
X,1548833994,521703,14689
X,1548833995,523706,18425
X,1548833995,527550,19158
X,1548833996,519575,17381
X,1548833996,511970,14803
X,1548833997,508077,25047
X,1548833998,516226,21608
X,1548833998,518292,11140
X,1548833999,512571,29214
X,1548833999,517550,30207
X,1548834000,519390,24226
X,1548834000,519793,2719
X,1548834001,520409,5341
X,1548834002,520662,15333
X,1548834002,520046,10456
X,1548834003,521644,12881
X,1548834003,521395,9402
X,1548834004,520175,5264
X,1548834004,521239,10552
X,1548834005,519845,8295
X,1548834006,519386,6276
X,1548834006,520104,11081
X,1548834007,518883,10122
X,1548834007,519480,9009
X,1548834008,519822,14104
X,1548834008,518939,11033
X,1548834009,519425,21106
P,1548834009,5110
X,1548834009,519522,27796
X,1548834009,518617,18403
X,1548834010,519567,3478
X,1548834010,519172,12833
X,1548834011,519950,6162
X,1548834011,519959,3181
X,1548834012,519718,2158
X,1548834013,519981,2529
X,1548834013,520420,1684
X,1548834014,520465,2035
X,1548834014,521103,1179
X,1548834015,522107,2861
X,1548834015,520065,2385
X,1548834016,520631,3424
X,1548834017,519493,1642
X,1548834017,518607,1087
X,1548834018,519094,2824
X,1548834018,519038,2562
X,1548834019,518316,2913
X,1548834019,518135,1720
X,1548834020,518432,2728
X,1548834020,519015,3019
X,1548834021,518980,2491
X,1548834022,518760,1338
X,1548834022,518720,2542
X,1548834023,519226,1516
X,1548834023,519196,4836
X,1548834024,519116,4380
X,1548834024,519037,2202
X,1548834025,519572,1398
X,1548834026,519608,2282
X,1548834026,519604,4959
X,1548834027,519567,2722
X,1548834027,518922,1983
X,1548834028,518104,1421
X,1548834028,518731,8205
X,1548834029,518403,2734
X,1548834030,518557,1934
X,1548834030,518885,1040
X,1548834031,519290,1812
X,1548834031,519351,1166
X,1548834032,519694,1263
X,1548834032,519826,1007
X,1548834033,519304,835
X,1548834034,519349,954
X,1548834034,519628,1529
X,1548834035,519634,3463
X,1548834035,519490,2510
X,1548834036,519164,1027
X,1548834036,519034,1331
X,1548834037,519029,884
X,1548834038,519375,1784
X,1548834038,519559,854
P,1548834038,5112
X,1548834039,519442,2215
X,1548834039,520083,2120
X,1548834040,520042,5246
X,1548834040,520018,2071
X,1548834041,520483,4269
X,1548834041,520518,1575
X,1548834042,520279,3958
X,1548834043,520690,5947
X,1548834043,519845,8043
X,1548834044,518873,1197
X,1548834044,517903,11835
X,1548834045,519582,5467
X,1548834045,520388,1780
X,1548834046,519468,2033
X,1548834047,519946,2564
X,1548834047,519994,2731
X,1548834048,520607,1878
X,1548834048,520714,1033
X,1548834049,520717,1876
X,1548834049,519739,3114
X,1548834050,519785,1943
X,1548834050,519689,3399
X,1548834050,519736,1673
X,1548834051,519169,1908
X,1548834051,519492,1258
X,1548834052,519279,1841
X,1548834052,519632,1581
X,1548834053,520099,2007
X,1548834054,520165,1223
X,1548834054,520033,2194
X,1548834055,519963,1567
X,1548834055,519860,2485
X,1548834056,519438,1258
X,1548834056,519935,2425
X,1548834057,519893,1514
X,1548834058,519827,2468
X,1548834058,519745,1439
X,1548834059,519966,1311
X,1548834059,520049,2026
X,1548834060,519758,1748
X,1548834060,519161,1052
X,1548834061,519460,2307
X,1548834062,519158,1728
X,1548834062,520252,3027
X,1548834063,519362,1476
X,1548834063,519602,3298
X,1548834064,518433,2021
X,1548834064,518729,1661
X,1548834065,519032,373
X,1548834065,520135,2928
X,1548834066,520127,2779
X,1548834067,519796,1941
X,1548834067,519778,1365
P,1548834068,5111
X,1548834068,519683,2216
X,1548834068,519702,763
X,1548834069,519388,2088
X,1548834069,519431,1485
X,1548834070,516825,1413
X,1548834071,517702,3324
X,1548834071,520156,1885
X,1548834072,520958,2513
X,1548834072,520568,2692
X,1548834073,520497,2329
X,1548834073,519470,1092
X,1548834074,519591,1256
X,1548834075,519584,2154
X,1548834075,519870,1533
X,1548834076,519674,15331
X,1548834076,519673,4783
X,1548834077,519317,2058
X,1548834077,519489,2074
X,1548834078,518087,2845
X,1548834079,518199,3634
X,1548834079,518961,1419
X,1548834080,519652,3288
X,1548834080,519857,1333
X,1548834081,520037,1034
X,1548834081,520229,1331
