1397
P,326419,5557
D,326420,1395
D,326423,1394
D,326425,1385
D,326427,1394
D,326429,1399
D,326431,1400
D,326434,1398
D,326436,1401
D,326438,1402
D,326440,1438
D,326442,1388
D,326445,1395
D,326447,1348
D,326449,1401
P,326449,5555
D,326451,1397
D,326453,1397
D,326456,1396
D,326458,1395
D,326459,1403
D,326461,1399
D,326463,1400
D,326466,1403
D,326468,1389
D,326470,1400
D,326472,1398
D,326474,1399
D,326477,1394
P,326479,5556
D,326479,1394
D,326481,1395
D,326483,1395
D,326485,1393
D,326488,1397
D,326490,1396
D,326492,1397
D,326494,1398
D,326497,1398
D,326499,1400
D,326500,1403
D,326502,1397
D,326504,1366
D,326507,1379
P,326508,5556
D,326509,1404
D,326511,1430
D,326513,1397
D,326515,1391
D,326518,1432
D,326520,1388
D,326522,1394
D,326524,1396
D,326526,1394
D,326529,1388
D,326531,1399
D,326533,1390
D,326535,1401
D,326537,1398
P,326538,5555
D,326540,1393
D,326541,1390
D,326543,1399
D,326545,1397
D,326547,1389
D,326550,1394
D,326552,1399
D,326554,1396
D,326556,1396
D,326558,1397
D,326561,1393
D,326563,1393
D,326565,1393
P,326567,5556
D,326567,1406
D,326569,1394
D,326572,1453
D,326574,1383
D,326576,1393
D,326578,1391
D,326580,1439
D,326582,1383
D,326584,1388
D,326586,1393
D,326588,1393
D,326590,1386
D,326593,1399
D,326595,1401
P,326596,5555
D,326597,1363
D,326599,1384
D,326601,1399
D,326604,1403
D,326606,1357
D,326608,1401
D,326610,1394
D,326612,1387
D,326615,1396
D,326617,1395
D,326619,1397
D,326621,1383
D,326622,1439
D,326625,1406
P,326625,5554
D,326627,1385
D,326629,1390
D,326631,1394
D,326633,1396
D,326636,1396
D,326638,1396
D,326640,1395
D,326642,1392
D,326644,1394
D,326647,1395
D,326649,1393
D,326651,1390
D,326653,1395
P,326655,5554
D,326655,1394
D,326658,1395
D,326660,1393
D,326662,1391
D,326663,1394
D,326665,1396
D,326668,1395
D,326670,1391
D,326672,1395
D,326674,1394
D,326676,1396
D,326679,1396
D,326681,1397
D,326683,1395
P,326684,5554
D,326685,1398
D,326687,1393
D,326690,1393
D,326692,1393
D,326694,1396
D,326696,1397
