H,1555797508,299960
D,1555797508,419072
D,1555797510,416768
D,1555797512,417536
D,1555797514,417792
D,1555797516,417024
P,1555797517,5081
D,1555797518,417536
R,1555797518,000000000
X,1555797520,635632,4657
X,1555797521,636041,883
X,1555797521,636037,672
X,1555797522,635989,690
X,1555797523,636061,958
X,1555797523,635821,11598
X,1555797524,636126,1507
X,1555797524,636027,1715
X,1555797525,635938,1156
X,1555797525,635975,1209
X,1555797526,635983,6229
X,1555797526,635965,1784
X,1555797527,636027,1019
X,1555797528,635958,856
X,1555797528,636032,815
X,1555797529,635981,859
X,1555797529,636069,1313
X,1555797530,635937,1254
X,1555797530,635996,766
X,1555797531,636002,982
X,1555797532,635776,15233
X,1555797532,635963,1563
X,1555797533,635885,1547
X,1555797533,635906,1168
X,1555797534,635880,881
X,1555797534,635888,1003
X,1555797535,636039,2078
X,1555797536,635878,1509
X,1555797536,636033,1723
X,1555797537,636044,1393
X,1555797537,636037,498
X,1555797538,636150,1316
X,1555797538,636088,1111
X,1555797539,636050,1174
X,1555797539,636095,1078
X,1555797540,636125,785
X,1555797541,636079,1925
X,1555797541,636069,974
X,1555797542,635971,1058
X,1555797542,636022,757
X,1555797543,635978,886
X,1555797543,636001,936
X,1555797544,636056,1432
X,1555797545,635848,1476
X,1555797545,635861,1452
X,1555797546,635876,998
X,1555797546,635799,1278
P,1555797547,5103
X,1555797547,635920,1283
X,1555797547,635529,4802
X,1555797548,635704,4628
X,1555797549,635732,1701
X,1555797549,635854,1496
X,1555797549,635888,1147
X,1555797549,635887,1007
X,1555797550,635821,2150
X,1555797550,635723,2652
X,1555797551,636213,3997
X,1555797552,636243,6224
X,1555797552,636151,3332
X,1555797553,636296,1766
X,1555797553,635950,7747
X,1555797554,635944,7577
X,1555797554,636200,1842
X,1555797555,636261,13671
X,1555797555,636014,22798
X,1555797556,637360,11466
X,1555797557,636016,5667
X,1555797557,636175,2519
X,1555797558,636118,962
X,1555797558,636780,6339
X,1555797559,635112,8639
X,1555797559,635732,2022
X,1555797560,635973,1994
X,1555797561,635877,1751
X,1555797561,635768,2979
X,1555797562,635826,10966
X,1555797562,635818,2672
X,1555797563,635913,4791
X,1555797563,636003,1445
X,1555797564,636059,1003
X,1555797565,636009,1992
X,1555797565,637678,18125
X,1555797566,635604,22202
X,1555797566,636662,13325
X,1555797567,631845,53396
X,1555797567,636457,33555
X,1555797568,627354,38719
X,1555797568,463081,12449
X,1555797569,305399,24639
X,1555797570,305577,12473
X,1555797570,303784,2652
X,1555797571,304145,1204
X,1555797571,304131,795
X,1555797572,304198,649
X,1555797572,303896,414
X,1555797573,303802,210
X,1555797574,303770,199
X,1555797574,303693,190
X,1555797575,303639,170
O,1555797575,303575,75
P,1555797576,5102
O,1555797576,303549,85
O,1555797576,303479,88
O,1555797577,303436,103
O,1555797578,303425,106
O,1555797578,303367,135
O,1555797579,303342,68
O,1555797579,303309,92
O,1555797580,303262,101
O,1555797580,303215,100
O,1555797581,303202,102
O,1555797582,303182,127
O,1555797582,303167,91
O,1555797583,303124,89
O,1555797583,303101,157
O,1555797584,303089,101
O,1555797584,303051,87
O,1555797585,303051,65
O,1555797585,303023,83
O,1555797586,302976,116
O,1555797587,302962,95
O,1555797587,302934,96
O,1555797588,302916,100
O,1555797588,302905,117
O,1555797589,302885,104
O,1555797589,302890,71
O,1555797590,302879,133
O,1555797590,302875,134
O,1555797590,302865,101
O,1555797591,302847,100
O,1555797591,302801,87
O,1555797592,302800,98
O,1555797592,302821,95
O,1555797593,302798,103
O,1555797594,302781,59
O,1555797594,302758,120
O,1555797595,302766,113
O,1555797595,302745,113
O,1555797596,302751,77
O,1555797596,302739,73
O,1555797597,302707,84
O,1555797597,302726,113
O,1555797598,302713,93
O,1555797599,302723,97
O,1555797599,302701,102
O,1555797600,302686,117
O,1555797600,302667,136
O,1555797601,302649,87
O,1555797601,302631,81
O,1555797602,302637,90
O,1555797603,302626,75
O,1555797603,302622,111
O,1555797604,302593,100
O,1555797604,302594,130
O,1555797605,302581,62
P,1555797605,5104
O,1555797605,302582,146
O,1555797606,302555,82
O,1555797607,302518,98
O,1555797607,302527,59
O,1555797608,302529,118
O,1555797608,302494,128
O,1555797609,302503,103
O,1555797609,302483,89
O,1555797610,302458,107
