H,1556572883,290972
P,1556572883,5455
P,1556572913,5455
P,1556572942,5455
P,1556572971,5455
P,1556573000,5453
P,1556573030,5454
P,1556573059,5454
P,1556573088,5455
P,1556573118,5454
P,1556573148,5454
P,1556573177,5453
P,1556573206,5455
P,1556573236,5455
P,1556573266,5454
P,1556573295,5454
P,1556573325,5454
P,1556573354,5453
P,1556573383,5455
P,1556573412,5453
P,1556573443,5455
P,1556573472,5453
P,1556573501,5454
P,1556573530,5455
P,1556573560,5456
P,1556573589,5453
P,1556573618,5455
P,1556573648,5455
P,1556573677,5454
P,1556573706,5455
P,1556573736,5454
P,1556573766,5453
P,1556573795,5455
P,1556573824,5455
P,1556573854,5453
P,1556573883,5453
P,1556573912,5454
P,1556573941,5455
P,1556573971,5454
P,1556574000,5453
P,1556574030,5452
P,1556574060,5453
P,1556574089,5446
O,1556574090,300412,5297
O,1556574091,300940,153
O,1556574091,300908,114
O,1556574092,300988,120
O,1556574092,301004,117
O,1556574093,300956,145
O,1556574094,300955,133
O,1556574094,300934,110
O,1556574095,300932,59
O,1556574095,300976,98
O,1556574096,300945,151
O,1556574096,300920,95
O,1556574097,300971,99
O,1556574098,301001,75
O,1556574098,301019,105
O,1556574099,300997,83
O,1556574099,300992,75
O,1556574100,301004,123
O,1556574100,301003,152
O,1556574101,301007,117
O,1556574102,301018,155
O,1556574102,301001,82
O,1556574103,301000,141
O,1556574103,300965,118
O,1556574104,300905,100
O,1556574104,300870,102
O,1556574104,300906,130
O,1556574104,300968,114
O,1556574105,300947,98
O,1556574106,300988,83
O,1556574106,300970,139
O,1556574107,300949,106
O,1556574107,300965,104
O,1556574108,300973,70
O,1556574108,301036,141
O,1556574109,300979,98
O,1556574110,301007,130
O,1556574110,301025,107
O,1556574111,300997,137
O,1556574111,301012,92
O,1556574112,301038,106
O,1556574112,301054,119
O,1556574113,301093,98
O,1556574114,301137,125
O,1556574114,301097,112
O,1556574115,301044,94
O,1556574115,301110,108
O,1556574116,301054,73
O,1556574116,301056,90
O,1556574117,301064,141
O,1556574118,301126,97
P,1556574118,5443
O,1556574118,301095,112
O,1556574119,301111,99
O,1556574119,301119,190
O,1556574120,301123,90
O,1556574120,301122,144
O,1556574121,301147,128
O,1556574121,301117,78
O,1556574122,301123,84
O,1556574123,301161,127
O,1556574123,301206,203
O,1556574124,301212,89
O,1556574124,301236,92
O,1556574125,301234,52
O,1556574125,301228,96
O,1556574126,301199,133
O,1556574127,301198,102
O,1556574127,301160,115
O,1556574128,301175,78
O,1556574128,301172,68
O,1556574129,301168,85
O,1556574129,301157,65
O,1556574130,301160,141
O,1556574131,301164,151
O,1556574131,301143,81
O,1556574132,301129,92
O,1556574132,301148,105
O,1556574133,301132,123
O,1556574133,301156,74
O,1556574134,301190,94
O,1556574134,301114,144
O,1556574135,301135,75
O,1556574136,301129,87
O,1556574136,301134,126
O,1556574137,301122,134
O,1556574137,301137,75
O,1556574138,301146,117
O,1556574138,301145,69
O,1556574139,301140,138
O,1556574140,301126,106
O,1556574140,301091,87
O,1556574141,301084,141
O,1556574141,301095,146
O,1556574142,301116,77
O,1556574142,301100,85
O,1556574143,301116,156
O,1556574144,301104,151
O,1556574144,301164,158
O,1556574145,301170,132
O,1556574145,301145,94
O,1556574145,301167,130
T,1556574145,2807
P,1556574147,5454
P,1556574177,5454
P,1556574206,5453
P,1556574235,5453
P,1556574265,5453
P,1556574294,5455
P,1556574324,5454
P,1556574353,5455
P,1556574383,5453
P,1556574412,5453
P,1556574441,5453
P,1556574471,5453
P,1556574500,5454
P,1556574529,5454
P,1556574558,5453
P,1556574588,5454
P,1556574618,5455
P,1556574647,5452
P,1556574677,5454
P,1556574706,5453
P,1556574735,5454
P,1556574764,5454
P,1556574794,5454
P,1556574823,5454
P,1556574852,5454
P,1556574882,5453
P,1556574912,5453
P,1556574941,5454
P,1556574970,5454
P,1556575000,5454
P,1556575029,5455
P,1556575058,5454
P,1556575088,5453
P,1556575117,5453
P,1556575146,5454
P,1556575175,5454
D,1556575185,244736
D,1556575188,245760
D,1556575191,249344
D,1556575193,249088
D,1556575195,247040
D,1556575197,245248
D,1556575200,244224
D,1556575202,250368
D,1556575204,250624
P,1556575206,5452
D,1556575206,250112
D,1556575208,249856
D,1556575211,248320
D,1556575212,251904
D,1556575214,250880
D,1556575216,252160
D,1556575218,255744
D,1556575221,257280
D,1556575223,252672
D,1556575225,249088
D,1556575227,250368
D,1556575229,252416
D,1556575232,246272
