1551399200,5134
P,1551399230,5133
P,1551399259,5133
P,1551399289,5133
P,1551399318,5133
P,1551399348,5132
P,1551399377,5131
P,1551399406,5132
P,1551399436,5134
P,1551399465,5134
P,1551399494,5133
P,1551399523,5133
P,1551399553,5132
P,1551399583,5132
P,1551399612,5133
P,1551399642,5130
P,1551399671,5131
P,1551399700,5131
P,1551399729,5131
P,1551399759,5132
P,1551399788,5132
P,1551399818,5132
P,1551399848,5132
P,1551399878,5133
P,1551399907,5131
P,1551399936,5132
P,1551399966,5132
P,1551399995,5134
P,1551400024,5132
P,1551400053,5133
P,1551400083,5132
P,1551400112,5126
P,1551400141,5130
P,1551400172,5133
P,1551400201,5132
P,1551400230,5133
P,1551400259,5134
P,1551400289,5133
P,1551400318,5133
P,1551400347,5132
P,1551400377,5132
P,1551400406,5134
P,1551400435,5131
P,1551400465,5134
P,1551400495,5132
P,1551400524,5132
P,1551400553,5133
P,1551400583,5131
P,1551400612,5131
P,1551400641,5132
P,1551400670,5133
P,1551400700,5133
P,1551400729,5132
P,1551400759,5133
P,1551400789,5133
P,1551400818,5132
P,1551400847,5131
P,1551400876,5133
P,1551400906,5132
P,1551400935,5132
P,1551400964,5132
P,1551400994,5133
P,1551401023,5132
P,1551401053,5134
P,1551401082,5133
P,1551401112,5134
P,1551401141,5133
P,1551401170,5133
P,1551401200,5133
P,1551401229,5131
P,1551401258,5133
P,1551401287,5131
P,1551401317,5133
P,1551401347,5131
P,1551401376,5133
P,1551401406,5132
P,1551401435,5133
P,1551401464,5133
P,1551401493,5133
P,1551401523,5133
P,1551401552,5132
P,1551401581,5133
P,1551401611,5132
P,1551401641,5133
P,1551401670,5132
P,1551401699,5133
P,1551401729,5131
P,1551401758,5132
P,1551401787,5133
P,1551401816,5133
P,1551401846,5133
P,1551401875,5131
P,1551401904,5132
O,1551401932,249296,1499
T,1551401932,2815
P,1551401935,5133
P,1551401964,5131
P,1551401993,5133
P,1551402022,5133
P,1551402052,5131
P,1551402081,5132
P,1551402110,5133
P,1551402140,5133
P,1551402169,5132
P,1551402198,5132
P,1551402228,5133
P,1551402258,5132
P,1551402287,5131
P,1551402316,5132
P,1551402346,5133
P,1551402375,5133
P,1551402404,5132
P,1551402434,5133
P,1551402464,5133
P,1551402493,5131
P,1551402523,5133
P,1551402553,5133
P,1551402582,5133
P,1551402611,5133
P,1551402640,5130
P,1551402670,5131
P,1551402699,5133
P,1551402728,5133
P,1551402758,5129
P,1551402787,5130
P,1551402817,5133
P,1551402846,5132
P,1551402876,5133
P,1551402905,5131
P,1551402934,5131
P,1551402964,5132
P,1551402993,5131
P,1551403022,5131
P,1551403051,5132
P,1551403081,5133
P,1551403111,5133
P,1551403140,5132
P,1551403170,5132
P,1551403199,5132
P,1551403228,5132
P,1551403257,5132
P,1551403287,5131
P,1551403316,5132
P,1551403345,5132
P,1551403375,5132
P,1551403405,5133
P,1551403434,5131
P,1551403463,5132
P,1551403493,5132
P,1551403522,5132
P,1551403551,5132
P,1551403580,5132
P,1551403610,5133
P,1551403639,5134
P,1551403668,5130
P,1551403699,5132
P,1551403728,5132
P,1551403757,5130
P,1551403786,5131
P,1551403816,5133
P,1551403845,5133
P,1551403874,5132
P,1551403904,5132
P,1551403933,5131
P,1551403962,5133
P,1551403992,5131
P,1551404022,5132
P,1551404051,5133
P,1551404080,5131
P,1551404110,5132
P,1551404139,5133
P,1551404168,5133
P,1551404197,5130
P,1551404227,5132
P,1551404256,5131
P,1551404286,5132
P,1551404316,5132
P,1551404345,5132
P,1551404374,5131
P,1551404403,5131
P,1551404433,5133
P,1551404462,5132
P,1551404491,5132
P,1551404521,5131
P,1551404550,5133
P,1551404580,5133
P,1551404609,5131
P,1551404639,5133
P,1551404668,5132
P,1551404697,5132
P,1551404727,5132
P,1551404756,5131
P,1551404785,5132
P,1551404814,5131
P,1551404844,5131
P,1551404874,5133
P,1551404903,5133
P,1551404933,5133
P,1551404962,5131
P,1551404991,5133
P,1551405020,5132
P,1551405050,5132
P,1551405080,5130
P,1551405109,5131
P,1551405139,5131
P,1551405169,5132
P,1551405198,5133
P,1551405227,5132
P,1551405257,5131
P,1551405286,5131
P,1551405315,5132
P,1551405344,5132
P,1551405374,5132
P,1551405403,5133
P,1551405432,5131
O,1551405458,250373,1710
T,1551405458,2815
P,1551405463,5131
P,1551405492,5132
P,1551405521,5131
P,1551405550,5132
P,1551405580,5132
P,1551405609,5131
P,1551405638,5130
P,1551405668,5129
P,1551405697,5132
P,1551405726,5131
P,1551405756,5131
P,1551405786,5130
P,1551405815,5133
P,1551405844,5131
P,1551405874,5133
P,1551405903,5132
P,1551405932,5131
P,1551405961,5133
P,1551405991,5131
P,1551406020,5131
P,1551406050,5130
P,1551406080,5133
P,1551406109,5132
P,1551406138,5132
