H,1555346969,241338
P,1555346969,5134
P,1555346999,5133
P,1555347028,5135
P,1555347057,5134
P,1555347087,5134
P,1555347116,5133
P,1555347145,5135
P,1555347174,5136
P,1555347204,5135
P,1555347234,5135
P,1555347263,5137
P,1555347292,5135
P,1555347322,5136
P,1555347351,5137
P,1555347380,5135
P,1555347410,5135
P,1555347439,5136
D,1555347444,334592
R,1555347444,000000000
X,1555347445,448548,34402
X,1555347446,449448,6071
X,1555347446,449273,36666
X,1555347447,447475,32911
X,1555347448,447579,38523
X,1555347448,447467,2440
X,1555347449,448317,28653
X,1555347449,448936,38249
X,1555347450,448958,4263
X,1555347450,450597,41270
X,1555347451,450901,22668
X,1555347452,450533,4719
X,1555347452,450565,44133
X,1555347453,450113,26716
X,1555347453,448940,1560
X,1555347454,449507,1618
X,1555347454,449493,1416
X,1555347455,450753,580
X,1555347456,450886,937
X,1555347456,451544,1300
X,1555347456,450191,2403
X,1555347456,449990,1514
X,1555347457,449434,1655
X,1555347457,449553,28779
X,1555347458,449145,3360
X,1555347459,450049,46684
X,1555347459,449952,49035
X,1555347460,450423,52237
X,1555347460,452526,18519
X,1555347461,451729,27090
X,1555347461,449664,2036
X,1555347462,450211,754
X,1555347462,450116,2000
X,1555347463,450192,1594
X,1555347464,450216,705
X,1555347464,450613,3601
X,1555347465,450568,1709
X,1555347465,450304,2109
X,1555347466,450642,1095
X,1555347466,450912,815
X,1555347467,451196,3123
X,1555347468,451159,2076
X,1555347468,450542,1158
P,1555347468,5128
X,1555347469,450550,1894
X,1555347469,451056,1913
X,1555347470,451632,1493
X,1555347470,451303,1465
X,1555347471,451153,1520
X,1555347472,451129,2516
X,1555347472,450985,2888
X,1555347473,451215,2522
X,1555347473,450845,1844
X,1555347474,450791,4392
X,1555347474,451506,800
X,1555347475,451296,4144
X,1555347476,449731,3611
X,1555347476,449602,3487
X,1555347477,450765,2308
X,1555347477,450672,3927
X,1555347478,449988,744
X,1555347478,450657,7159
X,1555347479,449914,3101
X,1555347480,449512,23228
X,1555347480,450697,1493
X,1555347481,451312,5176
X,1555347481,450995,7522
X,1555347482,450959,843
X,1555347482,451003,1238
X,1555347483,451424,854
X,1555347483,451255,869
X,1555347484,451068,1936
X,1555347485,451171,2053
X,1555347485,450877,767
X,1555347486,451956,2152
X,1555347486,451859,1405
X,1555347487,451403,2399
X,1555347487,451688,2068
X,1555347488,451682,1926
X,1555347489,451598,1418
X,1555347489,450855,9404
X,1555347490,451261,1688
X,1555347490,451354,2382
X,1555347491,450967,2262
X,1555347491,451138,1451
X,1555347492,451167,1366
X,1555347493,451306,2381
X,1555347493,451676,780
X,1555347494,451868,3652
X,1555347494,452179,5200
X,1555347495,452252,8469
X,1555347495,452208,4853
X,1555347496,451944,449
X,1555347497,451786,1049
X,1555347497,451673,5801
X,1555347497,451610,718
X,1555347497,451866,775
P,1555347497,5128
X,1555347498,451178,1173
X,1555347498,450992,11104
X,1555347499,451378,2435
X,1555347500,450610,1732
X,1555347500,451760,1383
X,1555347501,451908,2147
X,1555347501,452319,966
X,1555347502,450854,2312
X,1555347502,450784,1976
X,1555347503,450971,1580
X,1555347503,451020,1668
X,1555347504,451175,1889
X,1555347505,451339,1040
X,1555347505,450869,2958
X,1555347506,451701,2187
X,1555347506,450742,2505
X,1555347507,450731,3329
X,1555347507,450899,1781
X,1555347508,451329,8289
X,1555347509,451330,42972
X,1555347509,449611,22276
X,1555347510,450784,28970
X,1555347510,451309,57275
X,1555347511,451679,23156
X,1555347511,451819,35203
X,1555347512,449860,55838
X,1555347513,451046,14657
X,1555347513,450608,47517
X,1555347514,451573,54384
X,1555347514,451112,8148
X,1555347515,450862,5852
X,1555347515,451591,27602
X,1555347516,452040,63127
X,1555347517,452542,1713
X,1555347517,450967,10572
X,1555347518,449516,51218
X,1555347518,448767,15813
X,1555347519,450234,9967
X,1555347519,451591,41369
X,1555347520,453301,33502
X,1555347521,451342,29418
X,1555347521,454004,37385
X,1555347522,452446,46821
X,1555347522,424604,59611
X,1555347523,261106,7451
X,1555347523,260918,2605
X,1555347524,259427,1824
X,1555347524,259891,1614
X,1555347525,258687,2338
X,1555347526,258362,1734
X,1555347526,257684,2003
X,1555347527,257848,2675
X,1555347527,261333,2121
P,1555347528,5130
X,1555347528,260478,1837
X,1555347528,258951,4943
O,1555347529,257738,2019
O,1555347530,256309,963
O,1555347530,256751,1097
