H,1547790241,272382
P,1547790241,5166
P,1547790271,5165
P,1547790300,5165
P,1547790329,5166
P,1547790358,5166
P,1547790388,5166
P,1547790417,5166
P,1547790447,5166
P,1547790477,5164
P,1547790506,5166
P,1547790535,5165
P,1547790564,5165
P,1547790594,5165
P,1547790623,5167
P,1547790652,5166
P,1547790682,5166
P,1547790711,5166
P,1547790741,5164
P,1547790770,5166
P,1547790800,5166
P,1547790829,5166
P,1547790858,5167
P,1547790888,5167
P,1547790917,5166
P,1547790946,5166
P,1547790975,5166
P,1547791005,5165
P,1547791035,5166
P,1547791064,5167
P,1547791094,5167
P,1547791123,5166
P,1547791152,5165
P,1547791181,5165
P,1547791211,5166
P,1547791240,5166
P,1547791269,5163
P,1547791299,5163
P,1547791329,5165
O,1547791334,256497,2431
O,1547791335,257836,625
O,1547791336,257448,1010
O,1547791336,257823,1231
O,1547791337,257625,1419
O,1547791337,257359,466
O,1547791338,257564,864
O,1547791338,257734,519
O,1547791339,257266,1042
O,1547791339,258145,953
O,1547791340,257476,1589
O,1547791341,257476,610
O,1547791341,257245,1313
O,1547791342,257738,1049
O,1547791342,257804,2603
O,1547791342,257199,2772
O,1547791342,257055,1106
O,1547791343,256780,1040
O,1547791344,257177,1774
O,1547791344,257409,1164
O,1547791345,257224,2102
O,1547791345,256864,3377
O,1547791346,259435,1946
O,1547791346,258062,2411
O,1547791347,258394,2232
O,1547791348,258897,2383
O,1547791348,258508,1343
O,1547791349,258946,2492
O,1547791349,260392,4134
O,1547791350,260806,4273
O,1547791350,260478,3283
O,1547791351,260529,2164
O,1547791352,261018,5838
O,1547791352,259397,6009
O,1547791353,260732,3319
O,1547791353,259981,2414
O,1547791354,257650,3649
O,1547791354,259398,2931
O,1547791355,258046,6598
O,1547791356,260575,5233
O,1547791356,261628,3528
O,1547791357,263882,6427
O,1547791357,261850,3826
P,1547791358,5153
O,1547791358,259709,5366
O,1547791358,259178,6649
O,1547791359,258067,3902
O,1547791359,258527,3590
O,1547791360,259480,4665
O,1547791361,259079,2108
O,1547791361,259073,3000
O,1547791362,258715,2035
O,1547791362,258215,4143
O,1547791363,258944,5146
O,1547791363,259454,3825
O,1547791364,260318,4072
O,1547791365,257738,3366
O,1547791365,259432,7898
O,1547791366,258543,7313
O,1547791366,259714,2971
O,1547791367,260083,4990
O,1547791367,257797,3855
O,1547791368,259789,6052
O,1547791369,258534,2678
O,1547791369,257575,2928
O,1547791370,257799,2520
O,1547791370,258265,2804
O,1547791371,259069,2062
O,1547791371,259964,2349
O,1547791372,260887,3062
O,1547791373,260056,3420
O,1547791373,259963,2244
O,1547791374,259028,1113
O,1547791374,259749,2159
O,1547791375,259799,2653
O,1547791375,258950,4343
O,1547791376,261357,973
O,1547791377,258416,5392
O,1547791377,259009,4085
O,1547791378,261979,9857
O,1547791378,261007,5903
O,1547791379,259598,6178
O,1547791379,262217,2718
O,1547791380,264819,7238
O,1547791380,260339,3563
O,1547791381,257289,3321
O,1547791382,257031,2943
O,1547791382,259641,4936
O,1547791383,260548,5423
O,1547791383,259796,4174
O,1547791383,257681,4366
O,1547791383,258750,8509
O,1547791384,256873,2460
O,1547791385,258542,3675
O,1547791385,258462,7286
O,1547791386,257666,6388
O,1547791386,259153,4519
P,1547791387,5155
O,1547791387,259106,2615
O,1547791387,260986,3864
O,1547791388,260128,4770
O,1547791389,256830,4717
O,1547791389,259123,7124
T,1547791389,2745
P,1547791417,5166
P,1547791446,5164
P,1547791475,5167
P,1547791505,5165
P,1547791534,5166
P,1547791563,5164
P,1547791592,5163
P,1547791623,5165
P,1547791652,5167
P,1547791681,5165
P,1547791711,5166
P,1547791740,5167
P,1547791769,5164
P,1547791798,5165
P,1547791828,5164
P,1547791857,5166
P,1547791886,5165
P,1547791916,5166
P,1547791946,5165
P,1547791975,5166
P,1547792004,5164
P,1547792034,5165
P,1547792063,5166
P,1547792092,5164
P,1547792121,5166
P,1547792151,5166
P,1547792180,5166
P,1547792210,5166
P,1547792240,5165
P,1547792269,5165
P,1547792298,5165
P,1547792327,5166
P,1547792357,5164
P,1547792387,5166
P,1547792416,5165
P,1547792446,5166
P,1547792475,5166
P,1547792505,5165
P,1547792534,5164
P,1547792564,5165
P,1547792593,5167
P,1547792622,5164
P,1547792652,5166
P,1547792681,5165
P,1547792710,5164
P,1547792739,5158
P,1547792769,5166
P,1547792799,5166
P,1547792828,5164
P,1547792858,5164
P,1547792887,5166
P,1547792916,5166
P,1547792945,5166
P,1547792975,5164
P,1547793004,5166
P,1547793033,5165
P,1547793063,5166
P,1547793093,5165
P,1547793122,5165
P,1547793151,5166
P,1547793181,5165
