H,1548654301,272382
P,1548654301,5125
P,1548654331,5125
P,1548654360,5125
P,1548654389,5122
P,1548654419,5122
P,1548654448,5125
P,1548654477,5125
P,1548654507,5125
P,1548654536,5123
P,1548654565,5125
P,1548654594,5124
P,1548654625,5126
P,1548654654,5124
P,1548654683,5125
P,1548654713,5124
P,1548654742,5124
P,1548654771,5124
P,1548654800,5124
P,1548654830,5121
P,1548654859,5124
P,1548654888,5124
P,1548654919,5124
P,1548654948,5124
P,1548654977,5125
P,1548655006,5126
P,1548655036,5124
P,1548655066,5126
P,1548655095,5123
P,1548655125,5125
P,1548655154,5125
P,1548655183,5124
P,1548655213,5124
P,1548655243,5126
P,1548655272,5124
P,1548655301,5124
P,1548655331,5124
P,1548655360,5124
P,1548655389,5125
P,1548655418,5125
P,1548655448,5124
P,1548655477,5123
P,1548655507,5126
P,1548655536,5122
P,1548655566,5125
P,1548655595,5124
P,1548655624,5125
P,1548655654,5124
O,1548655676,258192,1769
O,1548655676,258360,317
O,1548655677,258381,198
O,1548655677,258383,157
O,1548655678,258404,118
O,1548655678,258391,111
O,1548655679,258384,77
O,1548655680,258392,134
O,1548655680,258454,178
O,1548655681,258463,128
O,1548655681,258430,110
O,1548655682,258448,132
O,1548655682,258429,289
O,1548655683,258438,173
P,1548655683,5114
O,1548655683,258393,75
O,1548655684,258388,64
O,1548655685,258369,95
O,1548655685,258339,221
O,1548655686,258361,161
O,1548655686,258298,270
O,1548655687,258329,230
O,1548655687,258241,283
O,1548655688,258319,213
O,1548655689,258333,229
O,1548655689,258318,229
O,1548655690,258304,219
O,1548655690,258330,126
O,1548655691,258321,116
O,1548655691,258265,182
O,1548655692,258209,131
O,1548655693,258249,104
O,1548655693,258270,121
O,1548655694,258294,148
O,1548655694,258328,134
O,1548655695,258322,80
O,1548655695,258315,103
O,1548655696,258362,75
O,1548655697,258366,164
O,1548655697,258426,225
O,1548655698,258397,107
O,1548655698,258264,333
O,1548655699,258364,242
O,1548655699,258337,238
O,1548655700,258202,159
O,1548655700,258361,238
O,1548655700,258197,245
O,1548655701,258071,175
O,1548655701,258245,154
O,1548655702,258304,182
O,1548655702,258380,178
O,1548655703,258398,142
O,1548655703,258421,88
O,1548655704,258417,133
O,1548655705,258383,148
O,1548655705,258382,449
O,1548655706,258723,547
O,1548655706,258758,359
O,1548655707,258561,145
O,1548655707,258427,116
O,1548655708,258393,71
O,1548655709,258407,109
O,1548655709,258432,139
O,1548655710,258443,67
O,1548655710,258427,118
O,1548655711,258448,119
O,1548655711,258455,156
O,1548655712,258474,126
P,1548655712,5115
O,1548655713,258479,183
O,1548655713,258439,160
O,1548655714,258440,165
O,1548655714,258472,112
O,1548655715,258540,119
O,1548655715,258640,135
O,1548655716,258661,142
O,1548655717,258578,89
O,1548655717,258604,205
O,1548655718,258937,536
O,1548655718,259988,1443
O,1548655719,260526,548
O,1548655719,259871,1054
O,1548655720,259272,491
O,1548655721,258855,547
O,1548655721,258748,389
O,1548655722,258854,351
O,1548655722,258777,197
O,1548655723,258762,275
O,1548655723,258735,209
O,1548655724,259033,240
O,1548655724,258812,324
O,1548655725,258788,324
O,1548655726,258801,280
O,1548655726,258641,213
O,1548655727,258568,169
O,1548655727,258477,185
O,1548655728,258437,139
O,1548655728,258409,112
O,1548655729,258444,169
O,1548655730,258465,163
O,1548655730,258441,182
O,1548655731,258415,190
O,1548655731,258434,83
T,1548655731,2740
P,1548655741,5124
P,1548655771,5125
P,1548655801,5123
P,1548655830,5124
P,1548655860,5123
P,1548655889,5125
P,1548655918,5124
P,1548655947,5125
P,1548655977,5123
P,1548656006,5124
P,1548656035,5122
P,1548656065,5125
P,1548656095,5125
P,1548656124,5123
P,1548656153,5125
P,1548656183,5123
P,1548656212,5125
P,1548656241,5124
P,1548656271,5123
P,1548656300,5122
P,1548656329,5124
P,1548656358,5125
P,1548656389,5124
P,1548656418,5125
P,1548656447,5122
P,1548656477,5124
P,1548656506,5124
P,1548656535,5123
P,1548656564,5124
P,1548656594,5125
P,1548656623,5125
P,1548656652,5125
P,1548656683,5123
P,1548656712,5122
P,1548656741,5125
P,1548656770,5124
P,1548656800,5125
P,1548656829,5123
P,1548656858,5125
P,1548656888,5124
P,1548656917,5124
P,1548656946,5124
P,1548656976,5123
P,1548657006,5124
P,1548657035,5124
P,1548657064,5123
P,1548657094,5125
P,1548657123,5122
P,1548657152,5125
P,1548657181,5124
P,1548657211,5124
P,1548657240,5124
