1550379656,5146
P,1550379685,5145
P,1550379714,5146
P,1550379744,5146
D,1550379751,544256
R,1550379751,5C00DDFC36
R,1550379751,5C00DDFC36
R,1550379751,5C00DDFC36
X,1550379752,803246,23508
X,1550379752,804016,9889
X,1550379753,804108,19626
X,1550379753,804349,13252
X,1550379754,805207,23932
X,1550379755,804222,24473
X,1550379755,799748,41830
X,1550379756,807406,38605
X,1550379756,808016,24767
X,1550379757,804035,30573
X,1550379757,806140,20886
X,1550379758,804352,14988
X,1550379759,803870,51744
X,1550379759,804648,6481
X,1550379760,804705,2619
X,1550379760,804635,3263
X,1550379761,804578,2189
X,1550379761,805003,2127
X,1550379762,804804,2003
X,1550379762,805025,3930
X,1550379763,805070,2068
X,1550379764,805231,1612
X,1550379764,805253,1648
X,1550379765,805021,4344
X,1550379765,804926,13711
X,1550379766,805570,5730
X,1550379766,805521,1949
X,1550379767,805485,3335
X,1550379768,805723,2526
X,1550379768,805792,1857
X,1550379769,805620,2165
X,1550379769,805850,3019
X,1550379770,805720,1494
X,1550379770,805757,2351
X,1550379771,806112,2056
X,1550379772,805707,1622
X,1550379772,806022,1976
X,1550379773,806153,2693
P,1550379773,5140
X,1550379773,805892,1440
X,1550379774,806061,1843
X,1550379774,805907,2229
X,1550379775,806184,1579
X,1550379776,805999,1275
X,1550379776,806319,896
X,1550379777,806324,2077
X,1550379777,806136,1824
X,1550379778,806532,1544
X,1550379778,806512,1226
X,1550379779,806398,1722
X,1550379780,806409,1810
X,1550379780,806497,1981
X,1550379781,806387,14867
X,1550379781,806389,4023
X,1550379782,806968,1843
X,1550379782,806812,1799
X,1550379783,806474,25493
X,1550379783,806195,21013
X,1550379784,806328,5300
X,1550379785,806526,2958
X,1550379785,805413,11364
X,1550379786,806170,8093
X,1550379786,806486,5974
X,1550379787,806242,1550
X,1550379787,806087,1637
X,1550379788,806093,7737
X,1550379789,806433,3851
X,1550379789,806239,1496
X,1550379790,806472,1974
X,1550379790,806558,1937
X,1550379791,806538,2190
X,1550379791,806188,12297
X,1550379792,806443,2087
X,1550379793,806422,1687
X,1550379793,806197,1523
X,1550379793,806392,1113
X,1550379793,806509,1760
X,1550379794,806388,1146
X,1550379794,806218,1622
X,1550379795,806413,1168
X,1550379796,806369,2500
X,1550379796,806344,11000
X,1550379797,806501,4540
X,1550379797,806564,1674
X,1550379798,806604,1259
X,1550379798,806452,1778
X,1550379799,806529,1086
X,1550379800,806563,1608
X,1550379800,806407,1512
X,1550379801,806621,1089
X,1550379801,806684,1872
X,1550379802,806704,1290
X,1550379802,806593,1218
P,1550379802,5138
X,1550379803,806658,2004
X,1550379803,806793,7884
X,1550379804,806362,15542
X,1550379805,806979,3763
X,1550379805,806773,2467
X,1550379806,805972,22616
X,1550379806,807260,4272
X,1550379807,802503,26439
X,1550379807,559977,55048
X,1550379808,443788,3258
X,1550379809,443450,1062
X,1550379809,443359,373
X,1550379810,443164,287
X,1550379810,442934,258
X,1550379811,442799,131
X,1550379811,442641,211
X,1550379812,442463,179
X,1550379813,442262,134
X,1550379813,442202,100
X,1550379814,442167,107
O,1550379814,442106,70
O,1550379815,442024,115
O,1550379815,441989,93
O,1550379816,441909,184
O,1550379817,441859,144
O,1550379817,441837,98
O,1550379818,441766,96
O,1550379818,441746,68
O,1550379819,441726,123
O,1550379819,441713,79
O,1550379820,441693,101
O,1550379820,441645,87
O,1550379821,441644,94
O,1550379822,441597,107
O,1550379822,441547,90
O,1550379823,441501,95
O,1550379823,441507,120
O,1550379824,441516,147
O,1550379824,441468,135
O,1550379825,441343,263
O,1550379826,441221,130
O,1550379826,441203,200
O,1550379827,441175,241
O,1550379827,440902,151
O,1550379828,440898,104
O,1550379828,441117,307
O,1550379829,441091,121
O,1550379830,441041,163
O,1550379830,441004,249
O,1550379831,440780,95
O,1550379831,440841,271
O,1550379832,440899,129
O,1550379832,440999,195
P,1550379832,5138
O,1550379833,441087,75
O,1550379834,441089,165
O,1550379834,441107,127
O,1550379834,441127,115
O,1550379834,441096,152
O,1550379835,441115,80
O,1550379835,441173,115
O,1550379836,441102,182
