1549867809,5138
P,1549867839,5140
P,1549867868,5140
P,1549867898,5139
P,1549867927,5140
P,1549867957,5140
P,1549867986,5139
P,1549868015,5140
P,1549868045,5137
P,1549868074,5137
P,1549868103,5137
P,1549868132,5139
P,1549868162,5139
P,1549868192,5140
P,1549868221,5138
P,1549868251,5138
P,1549868280,5138
P,1549868309,5137
P,1549868338,5136
P,1549868368,5140
P,1549868398,5140
P,1549868427,5140
P,1549868457,5140
P,1549868487,5139
P,1549868516,5140
P,1549868545,5137
P,1549868575,5138
P,1549868604,5140
P,1549868633,5140
P,1549868663,5138
P,1549868692,5138
P,1549868721,5137
P,1549868750,5140
P,1549868781,5140
P,1549868810,5138
P,1549868839,5140
P,1549868869,5140
P,1549868898,5137
P,1549868927,5138
P,1549868956,5139
P,1549868986,5139
P,1549869015,5139
P,1549869044,5139
P,1549869074,5140
P,1549869104,5140
P,1549869133,5140
P,1549869162,5139
P,1549869192,5140
P,1549869221,5139
P,1549869250,5140
P,1549869279,5138
P,1549869309,5139
P,1549869338,5140
P,1549869368,5139
P,1549869398,5137
P,1549869427,5140
P,1549869456,5139
P,1549869485,5140
P,1549869515,5139
P,1549869544,5137
P,1549869573,5139
P,1549869603,5139
O,1549869626,474069,8535
T,1549869626,2733
P,1549869632,5139
P,1549869662,5138
P,1549869691,5139
P,1549869721,5140
P,1549869750,5138
P,1549869779,5139
P,1549869809,5139
P,1549869838,5140
P,1549869867,5138
P,1549869896,5138
P,1549869926,5139
P,1549869956,5137
P,1549869985,5138
P,1549870015,5139
P,1549870044,5138
P,1549870073,5138
P,1549870102,5140
P,1549870132,5137
P,1549870161,5140
P,1549870190,5138
P,1549870220,5139
P,1549870250,5140
P,1549870279,5139
P,1549870308,5139
P,1549870338,5138
P,1549870367,5135
P,1549870396,5139
P,1549870426,5139
P,1549870455,5139
P,1549870484,5139
P,1549870513,5139
P,1549870544,5139
P,1549870573,5138
P,1549870602,5139
P,1549870632,5138
P,1549870661,5139
P,1549870690,5138
P,1549870719,5139
P,1549870749,5139
P,1549870778,5138
P,1549870807,5136
P,1549870837,5139
P,1549870867,5138
P,1549870896,5139
P,1549870925,5139
P,1549870955,5137
P,1549870984,5137
P,1549871014,5139
P,1549871043,5139
P,1549871073,5139
P,1549871102,5137
P,1549871132,5139
P,1549871162,5139
P,1549871191,5139
P,1549871220,5139
P,1549871249,5139
P,1549871279,5139
P,1549871308,5137
P,1549871337,5139
P,1549871367,5139
P,1549871396,5138
P,1549871426,5139
P,1549871455,5137
P,1549871485,5139
P,1549871514,5139
P,1549871543,5139
P,1549871573,5139
P,1549871602,5139
P,1549871631,5138
P,1549871660,5139
P,1549871690,5140
P,1549871720,5138
P,1549871749,5139
P,1549871779,5138
P,1549871808,5138
P,1549871837,5139
P,1549871866,5139
P,1549871896,5138
P,1549871925,5137
P,1549871954,5137
P,1549871984,5139
E,1549872013,0
