H,1561426246,278906
P,1561426246,5179
P,1561426275,5179
P,1561426304,5178
P,1561426333,5177
P,1561426363,5179
P,1561426393,5178
P,1561426422,5178
P,1561426452,5178
P,1561426481,5177
P,1561426510,5178
P,1561426539,5176
P,1561426569,5178
P,1561426598,5177
P,1561426627,5178
P,1561426657,5179
P,1561426687,5177
P,1561426716,5178
P,1561426745,5178
P,1561426775,5178
P,1561426804,5178
P,1561426833,5178
P,1561426863,5179
P,1561426892,5178
P,1561426921,5178
P,1561426950,5177
P,1561426981,5178
P,1561427010,5178
P,1561427039,5178
P,1561427068,5178
P,1561427098,5177
P,1561427127,5179
P,1561427156,5178
P,1561427186,5178
P,1561427215,5178
P,1561427245,5179
P,1561427275,5178
P,1561427305,5178
P,1561427334,5177
P,1561427363,5176
D,1561427379,429568
R,1561427379,700D9CE52
R,1561427379,700D9CE52
R,1561427379,700D9CE52
X,1561427381,650425,21153
X,1561427382,652014,22083
X,1561427382,652343,13125
X,1561427383,657021,48143
X,1561427383,646566,12593
X,1561427384,652129,17378
X,1561427384,651392,4958
X,1561427385,651814,18493
X,1561427386,652103,3903
X,1561427386,652303,2971
X,1561427387,652103,3400
X,1561427387,651802,4679
X,1561427388,650514,21453
X,1561427388,653076,22117
X,1561427389,655494,19133
X,1561427390,651024,54979
X,1561427390,661999,59473
X,1561427391,649349,18002
X,1561427391,598710,41865
X,1561427392,285973,9727
X,1561427392,287610,1023
X,1561427393,287508,621
P,1561427393,5171
X,1561427394,287454,877
X,1561427394,287412,1310
X,1561427395,287409,1449
X,1561427395,287306,1522
X,1561427396,287196,2971
X,1561427396,287427,1517
X,1561427397,287290,2420
X,1561427397,287391,2424
O,1561427397,287240,1362
O,1561427398,287292,2350
O,1561427398,287176,1650
O,1561427399,287198,1928
O,1561427399,287197,1775
O,1561427400,287252,1180
O,1561427400,287062,3616
O,1561427401,287209,1910
O,1561427402,287084,2405
O,1561427402,287103,2234
O,1561427403,287089,2232
O,1561427403,287099,1593
O,1561427404,287141,1764
O,1561427404,287113,1152
O,1561427405,287060,784
O,1561427406,287071,452
O,1561427406,287110,782
O,1561427407,287094,1235
O,1561427407,287051,1465
O,1561427408,287055,1524
O,1561427408,286993,1045
O,1561427409,287095,1091
O,1561427409,287136,886
O,1561427410,287103,810
O,1561427411,287060,607
O,1561427411,287037,756
O,1561427412,287111,1452
O,1561427412,287170,3245
O,1561427413,287093,1726
O,1561427413,287044,675
O,1561427414,286998,661
O,1561427415,287053,552
O,1561427415,287010,832
O,1561427416,287046,762
O,1561427416,287015,609
O,1561427417,286998,672
O,1561427417,286980,820
O,1561427418,287009,667
O,1561427419,287019,428
O,1561427419,287018,539
O,1561427420,287012,435
O,1561427420,287025,439
O,1561427421,286980,434
O,1561427421,287009,653
O,1561427422,286940,308
P,1561427422,5169
O,1561427423,286924,494
O,1561427423,286955,893
O,1561427424,286973,614
O,1561427424,286932,1477
O,1561427425,287002,795
O,1561427425,286951,490
O,1561427426,286967,905
O,1561427426,287005,1023
O,1561427427,287016,729
O,1561427428,286985,716
O,1561427428,287030,869
O,1561427429,287001,1282
O,1561427429,287001,734
O,1561427430,286948,929
O,1561427430,287042,2040
O,1561427431,286931,1448
O,1561427432,286913,1738
O,1561427432,286924,927
O,1561427433,286966,1572
O,1561427433,286988,655
O,1561427434,286968,1289
O,1561427434,287021,1405
O,1561427435,286974,858
O,1561427436,286895,778
O,1561427436,286996,860
O,1561427437,286841,1366
O,1561427437,286941,772
O,1561427438,286971,379
O,1561427438,286969,722
O,1561427438,286929,447
O,1561427438,286939,739
O,1561427439,286952,217
O,1561427440,286924,891
O,1561427440,286900,649
O,1561427441,286915,392
O,1561427441,286884,327
O,1561427442,286894,352
O,1561427442,286900,320
O,1561427443,286904,511
O,1561427444,286924,320
O,1561427444,286926,272
O,1561427445,286889,333
O,1561427445,286855,279
O,1561427446,286864,406
O,1561427446,286882,822
T,1561427447,2923
P,1561427451,5177
P,1561427480,5178
P,1561427510,5178
P,1561427539,5178
P,1561427569,5178
P,1561427599,5178
P,1561427628,5178
P,1561427657,5177
P,1561427686,5178
P,1561427716,5177
P,1561427745,5178
P,1561427774,5178
P,1561427804,5177
P,1561427833,5176
P,1561427863,5178
P,1561427892,5177
P,1561427922,5177
P,1561427951,5175
P,1561427980,5176
P,1561428010,5178
P,1561428039,5176
P,1561428068,5177
P,1561428097,5177
P,1561428127,5177
P,1561428157,5178
P,1561428186,5178
P,1561428216,5178
P,1561428245,5178
