H,1558731177,278906
P,1558731177,5432
P,1558731206,5433
P,1558731236,5433
P,1558731266,5433
P,1558731295,5434
P,1558731325,5433
P,1558731354,5432
P,1558731383,5431
P,1558731412,5430
P,1558731442,5434
P,1558731471,5433
P,1558731500,5433
P,1558731530,5432
P,1558731560,5433
P,1558731589,5432
P,1558731618,5433
P,1558731648,5434
P,1558731677,5433
P,1558731706,5433
P,1558731736,5432
P,1558731765,5433
P,1558731795,5433
P,1558731824,5434
P,1558731855,5433
P,1558731884,5432
P,1558731913,5434
P,1558731943,5434
D,1558731960,411392
R,1558731960,700D9CE55
R,1558731960,700D9CE55
R,1558731960,700D9CE55
X,1558731962,634953,16004
X,1558731962,633590,17361
X,1558731963,634962,17097
X,1558731964,633974,21622
X,1558731964,637312,24527
X,1558731965,632679,891
X,1558731965,632055,34719
X,1558731966,633961,48947
X,1558731966,634569,60708
X,1558731967,634857,13342
X,1558731968,634868,6130
X,1558731968,634708,3283
X,1558731969,634803,4472
X,1558731969,634970,3051
X,1558731970,635034,17273
X,1558731970,634464,6315
X,1558731971,634360,2666
X,1558731971,634585,2817
P,1558731972,5423
X,1558731972,634308,1751
X,1558731973,634485,3235
X,1558731973,634790,13251
X,1558731974,634639,4576
X,1558731974,630029,39908
X,1558731975,629764,1236
X,1558731975,630173,21175
X,1558731976,632325,7290
X,1558731977,633318,39691
X,1558731977,637221,41124
X,1558731978,629393,13750
X,1558731978,635528,15457
X,1558731979,635947,24592
X,1558731979,634257,7526
X,1558731980,634679,3661
X,1558731981,634632,7321
X,1558731981,634803,3993
X,1558731982,634569,3197
X,1558731982,634978,2829
X,1558731983,634226,10526
X,1558731983,634866,9519
X,1558731984,634919,5951
X,1558731984,634792,2784
X,1558731984,634894,3466
X,1558731985,635063,2535
X,1558731985,633609,13236
X,1558731986,635815,17426
X,1558731986,634057,16466
X,1558731987,635234,21875
X,1558731987,635578,27999
X,1558731988,634233,26415
X,1558731989,634964,36796
X,1558731989,634043,43435
X,1558731990,636960,52237
X,1558731990,635006,25110
X,1558731991,632586,38982
X,1558731991,637516,42123
X,1558731992,635179,27043
X,1558731993,634734,5985
X,1558731993,634912,3329
X,1558731994,634793,4432
X,1558731994,634819,2271
X,1558731995,635154,3298
X,1558731995,635991,39411
X,1558731996,627607,27833
X,1558731997,635987,18663
X,1558731997,634492,33518
X,1558731998,634922,24431
X,1558731998,634958,18437
X,1558731999,632173,32100
X,1558731999,634355,61680
X,1558732000,636440,4641
X,1558732000,636155,44750
X,1558732001,634067,4846
P,1558732001,5424
X,1558732002,633607,37196
X,1558732002,635514,17247
X,1558732003,634205,22084
X,1558732003,635293,13132
X,1558732004,634668,4324
X,1558732004,634513,3377
X,1558732005,634618,1172
X,1558732006,634564,2566
X,1558732006,634572,2693
X,1558732007,634784,2418
X,1558732007,634444,3007
X,1558732008,634696,9388
X,1558732008,634685,5346
X,1558732009,634626,3430
X,1558732010,634515,1945
X,1558732010,634765,12422
X,1558732011,634472,3917
X,1558732011,634575,2375
X,1558732012,634465,1381
X,1558732012,634486,2260
X,1558732013,634430,3027
X,1558732014,634120,5349
X,1558732014,635405,9086
X,1558732015,634882,2374
X,1558732015,634715,3202
X,1558732016,634718,2262
X,1558732016,634725,11241
X,1558732017,634273,8432
X,1558732017,635627,14157
X,1558732018,635843,29357
X,1558732019,633833,53303
X,1558732019,633558,34712
X,1558732020,635871,34741
X,1558732020,634240,28211
X,1558732021,634847,36014
X,1558732021,633419,34950
X,1558732022,636280,29798
X,1558732023,634905,10576
X,1558732023,633587,22235
X,1558732024,634084,21963
X,1558732024,634157,6283
X,1558732025,635562,8040
X,1558732025,634163,7472
X,1558732025,634939,2862
X,1558732026,634747,2907
X,1558732026,634616,2359
X,1558732027,634908,1242
X,1558732027,634699,1591
X,1558732028,634232,11025
X,1558732028,634967,11943
X,1558732029,634768,3524
X,1558732029,634773,2755
X,1558732030,634881,1376
P,1558732030,5422
X,1558732031,634559,2874
X,1558732031,634838,2371
X,1558732032,634760,1867
X,1558732032,635714,16830
X,1558732033,634066,39993
X,1558732033,634437,36304
X,1558732034,633330,17390
X,1558732035,634755,9415
X,1558732035,634725,3430
X,1558732036,634993,2375
X,1558732036,634826,1905
X,1558732037,634861,1444
X,1558732037,634081,7637
X,1558732038,636098,26884
X,1558732039,634631,40211
X,1558732039,634045,26512
X,1558732040,635628,24861
X,1558732040,635008,43188
X,1558732041,636479,40264
X,1558732041,635093,42016
X,1558732042,634940,11044
X,1558732043,634539,10866
