H,1561581085,278906
P,1561581085,5191
P,1561581114,5192
P,1561581143,5191
P,1561581173,5191
P,1561581202,5191
P,1561581231,5191
P,1561581261,5191
P,1561581291,5191
P,1561581320,5191
P,1561581349,5191
P,1561581379,5192
P,1561581408,5191
P,1561581437,5192
P,1561581466,5191
P,1561581496,5192
P,1561581525,5190
P,1561581555,5190
P,1561581585,5192
P,1561581614,5190
P,1561581643,5191
P,1561581672,5192
P,1561581702,5190
P,1561581731,5190
P,1561581760,5191
P,1561581790,5191
P,1561581819,5191
P,1561581849,5192
P,1561581878,5192
P,1561581908,5192
P,1561581938,5191
P,1561581967,5192
P,1561581997,5192
P,1561582026,5192
P,1561582055,5190
P,1561582084,5192
P,1561582114,5189
P,1561582144,5189
P,1561582173,5190
P,1561582203,5191
P,1561582232,5192
P,1561582261,5192
P,1561582290,5191
P,1561582320,5191
P,1561582349,5191
P,1561582378,5192
P,1561582408,5191
P,1561582438,5191
P,1561582467,5191
D,1561582472,428800
R,1561582472,700D9CE52
R,1561582472,700D9CE52
R,1561582472,700D9CE52
X,1561582473,293963,3455
X,1561582474,294106,2010
X,1561582475,293932,994
X,1561582475,293853,1230
X,1561582476,293789,978
X,1561582476,293883,787
X,1561582477,293817,468
X,1561582477,293860,775
X,1561582478,293857,561
X,1561582479,293860,684
X,1561582479,293807,485
O,1561582480,293831,669
O,1561582480,293794,1440
O,1561582481,293836,647
O,1561582481,293794,560
O,1561582482,293858,768
O,1561582483,293788,857
O,1561582483,293809,384
O,1561582484,293795,511
O,1561582484,293798,343
O,1561582485,293819,532
O,1561582485,293805,512
O,1561582486,293836,746
O,1561582486,293793,705
O,1561582487,293786,632
O,1561582488,293736,879
O,1561582488,293776,516
O,1561582489,293770,922
O,1561582489,293753,567
O,1561582490,293785,493
O,1561582490,293784,385
O,1561582491,293807,410
O,1561582491,293739,438
O,1561582491,293809,411
O,1561582492,293775,745
O,1561582492,293797,647
O,1561582493,293812,569
O,1561582493,293726,867
O,1561582494,293808,1326
O,1561582495,293751,543
O,1561582495,293765,374
O,1561582496,293756,505
P,1561582496,5183
O,1561582496,293782,473
O,1561582497,293800,255
O,1561582497,293811,892
O,1561582498,293797,386
O,1561582499,293780,719
O,1561582499,293752,400
O,1561582500,293714,964
O,1561582500,293794,1277
O,1561582501,293715,948
O,1561582501,293736,1304
O,1561582502,293799,396
O,1561582502,293512,2032
O,1561582503,292984,645
O,1561582504,293532,468
O,1561582504,293815,2234
O,1561582505,293805,1768
O,1561582505,293794,1185
O,1561582506,293841,300
O,1561582506,293867,1840
O,1561582507,293904,1448
O,1561582508,293787,712
O,1561582508,293827,228
O,1561582509,293829,251
O,1561582509,293824,461
O,1561582510,293816,1361
O,1561582510,293860,1109
O,1561582511,293837,1229
O,1561582512,293800,688
O,1561582512,293790,1124
O,1561582513,293826,501
O,1561582513,293823,272
O,1561582514,293802,288
O,1561582514,293825,1412
O,1561582515,293806,596
O,1561582515,293815,739
O,1561582516,293806,1268
O,1561582517,293778,1512
O,1561582517,293779,1521
O,1561582518,293805,727
O,1561582518,293819,1016
O,1561582519,293792,561
O,1561582519,293792,810
O,1561582520,293759,882
O,1561582521,293811,840
O,1561582521,293775,475
O,1561582522,293821,505
O,1561582522,293802,2068
O,1561582523,293734,2016
O,1561582523,293855,1524
O,1561582524,293747,1409
O,1561582525,293712,1460
O,1561582525,293780,765
O,1561582526,293788,1258
P,1561582526,5182
O,1561582526,293770,990
O,1561582527,293732,601
O,1561582527,293756,383
O,1561582528,293775,500
O,1561582529,293790,225
O,1561582529,293777,271
T,1561582529,3019
P,1561582555,5192
P,1561582584,5191
P,1561582614,5191
P,1561582643,5191
P,1561582672,5191
P,1561582701,5190
P,1561582732,5192
P,1561582761,5191
P,1561582790,5190
P,1561582819,5191
P,1561582849,5190
P,1561582878,5192
O,1561582879,293583,1959
O,1561582879,293697,212
O,1561582880,293651,185
O,1561582880,293708,269
O,1561582881,293354,916
O,1561582882,293408,440
O,1561582882,293443,405
O,1561582883,293582,242
O,1561582883,293710,279
O,1561582884,293689,436
O,1561582884,293695,471
O,1561582885,293646,298
O,1561582886,293717,360
O,1561582886,293644,454
O,1561582887,293775,292
O,1561582887,293735,440
O,1561582888,293608,282
O,1561582888,293711,141
O,1561582889,293776,281
O,1561582890,293773,146
O,1561582890,293583,446
O,1561582891,293710,271
O,1561582891,293526,428
O,1561582892,293411,382
