H,1565130345,278906
T,1565130345,2924
X,1565130347,625100,1799
X,1565130347,624941,619
X,1565130348,625060,574
X,1565130349,625028,524
X,1565130349,624779,10717
X,1565130350,625117,7988
X,1565130350,625304,23796
X,1565130351,623995,24081
X,1565130351,625191,7541
X,1565130352,624941,1450
X,1565130353,624972,1922
X,1565130353,624842,939
X,1565130354,625015,629
X,1565130354,625028,849
X,1565130355,624867,984
X,1565130355,624969,19959
X,1565130356,625273,2582
X,1565130357,625171,1460
X,1565130357,625206,957
X,1565130358,624967,785
X,1565130358,625291,1071
X,1565130359,625217,1135
X,1565130359,624977,736
X,1565130360,625048,816
X,1565130360,624597,4866
X,1565130361,625102,749
X,1565130362,625099,993
X,1565130362,624880,803
X,1565130363,625128,644
X,1565130363,624941,954
P,1565130363,5016
X,1565130364,625127,1209
X,1565130364,625226,922
X,1565130365,625178,1018
X,1565130366,625200,924
X,1565130366,625159,699
X,1565130367,625018,1034
X,1565130367,624918,1424
X,1565130368,624977,661
A,1565130368,625034,384
T,1565130368,2924
X,1565130370,624588,5859
X,1565130370,624925,1492
X,1565130371,624971,1016
X,1565130372,624814,630
X,1565130372,624905,781
X,1565130373,624861,554
X,1565130373,624821,1100
X,1565130374,625024,542
X,1565130374,625052,688
X,1565130375,624979,512
X,1565130375,625024,701
X,1565130376,624809,1615
X,1565130377,625157,1641
X,1565130377,625015,1003
X,1565130378,625008,1166
X,1565130378,624907,833
X,1565130379,624900,986
X,1565130379,625046,22288
X,1565130380,625581,2448
X,1565130381,625508,11466
X,1565130381,625612,37759
X,1565130382,625008,4537
X,1565130382,624989,19856
X,1565130383,625261,910
X,1565130383,625181,1251
X,1565130384,625164,3636
X,1565130384,624935,2133
X,1565130384,625133,852
X,1565130385,625130,1461
X,1565130385,625115,485
X,1565130386,625096,777
X,1565130386,624887,886
X,1565130387,625083,1044
X,1565130388,625186,852
X,1565130388,625147,812
X,1565130389,625161,839
X,1565130389,624964,890
X,1565130390,625030,1609
X,1565130390,626821,12047
X,1565130391,624525,15926
X,1565130391,625399,13475
X,1565130392,625795,23827
P,1565130392,5018
X,1565130393,625702,20784
X,1565130393,625583,5235
X,1565130394,625422,1173
X,1565130394,625433,5753
X,1565130395,625656,4074
X,1565130395,625209,930
X,1565130396,625166,1196
X,1565130397,625432,31140
X,1565130397,624874,23557
X,1565130398,625441,2309
X,1565130398,625154,769
A,1565130398,625038,447
T,1565130398,2924
X,1565130400,625930,3331
X,1565130401,625786,2167
X,1565130401,625317,3671
X,1565130402,625866,593
X,1565130402,625703,1009
X,1565130403,625728,555
X,1565130404,625833,1145
X,1565130404,625531,1528
X,1565130405,625693,761
X,1565130405,625682,1123
X,1565130406,625520,879
X,1565130406,625428,837
X,1565130407,625334,2157
X,1565130408,625536,1967
X,1565130408,625590,1188
X,1565130409,625409,1736
X,1565130409,625508,3666
X,1565130410,625206,3282
X,1565130410,625515,2025
X,1565130411,625691,11646
X,1565130412,625907,4814
X,1565130412,625862,4473
X,1565130413,625403,1365
X,1565130413,625499,2347
X,1565130414,625440,932
X,1565130414,625299,2005
X,1565130415,625555,973
X,1565130416,625446,3088
X,1565130416,625432,1045
X,1565130417,625170,964
X,1565130417,625378,2966
X,1565130418,625876,1843
X,1565130418,625448,864
X,1565130419,625524,608
X,1565130419,625375,904
X,1565130420,625677,885
X,1565130421,625642,878
X,1565130421,625595,841
X,1565130422,625598,1065
X,1565130422,625439,1325
P,1565130423,5019
X,1565130423,625591,427
X,1565130423,625673,946
X,1565130424,625508,772
X,1565130425,625591,749
X,1565130425,625442,788
X,1565130425,625565,4403
X,1565130425,625621,1359
X,1565130426,625622,3600
X,1565130426,625809,1099
X,1565130427,625536,2659
X,1565130428,625738,1168
X,1565130428,625732,3396
X,1565130429,625459,5125
X,1565130429,625343,1252
X,1565130430,625416,7032
X,1565130430,625385,1011
X,1565130431,625465,749
A,1565130431,625546,696
T,1565130431,2924
R,1565130431,000000000
X,1565130433,625481,2655
X,1565130433,625614,1053
X,1565130434,625320,832
X,1565130435,625530,797
X,1565130435,625645,994
X,1565130436,625501,885
X,1565130436,625638,817
X,1565130437,625586,959
X,1565130437,625491,1267
X,1565130438,625654,599
X,1565130439,625735,549
X,1565130439,625621,2599
X,1565130440,625788,1022
X,1565130440,625647,723
