H,1564354598,278906
T,1564354598,2897
X,1564354599,605648,543
X,1564354600,605614,1135
X,1564354601,605606,1154
X,1564354601,605628,870
X,1564354602,605524,1529
X,1564354602,605737,989
X,1564354603,605678,701
X,1564354603,605695,1075
X,1564354604,605631,574
X,1564354605,605564,1123
X,1564354605,605744,875
X,1564354606,605731,532
X,1564354606,605693,695
X,1564354607,605610,682
X,1564354607,605626,1078
X,1564354608,606042,7088
X,1564354608,605477,2046
X,1564354609,605548,1143
X,1564354610,605636,1103
X,1564354610,605447,1515
X,1564354611,605394,8277
X,1564354611,605881,4154
X,1564354612,605480,1594
X,1564354612,605524,1274
X,1564354613,605532,6474
X,1564354614,605713,2797
X,1564354614,605730,1249
X,1564354615,606849,31016
P,1564354615,5053
X,1564354615,605450,15607
X,1564354616,607910,42686
X,1564354616,596197,2039
X,1564354617,606629,46406
X,1564354618,603430,28122
X,1564354618,605804,9977
X,1564354619,604632,23572
X,1564354619,605043,1203
X,1564354620,605102,907
X,1564354620,605171,2047
X,1564354621,605255,15375
X,1564354621,605701,27193
X,1564354622,608031,30595
X,1564354623,607561,21894
X,1564354623,607781,25932
X,1564354624,609512,10051
X,1564354624,603374,42471
X,1564354624,605796,42767
X,1564354624,604416,62497
X,1564354625,606942,40634
X,1564354626,605974,40314
X,1564354626,605787,49151
X,1564354627,607007,50667
X,1564354627,607252,55009
X,1564354628,602524,60977
X,1564354628,604766,63432
X,1564354629,604951,26848
X,1564354630,606522,14126
X,1564354630,604448,22213
X,1564354631,605218,36301
X,1564354631,604775,34696
X,1564354632,605221,7611
X,1564354632,604877,57362
X,1564354633,605400,6073
X,1564354634,606034,36169
X,1564354634,606362,27056
X,1564354635,605787,8706
X,1564354635,604072,48796
X,1564354636,602888,15780
X,1564354636,605737,4241
X,1564354637,604980,3202
X,1564354637,605246,2558
X,1564354638,604739,3319
X,1564354639,606006,33195
X,1564354639,605589,12826
X,1564354640,605083,14410
X,1564354640,604859,2425
X,1564354641,605069,1725
X,1564354641,604786,32278
X,1564354642,603843,13432
X,1564354643,605545,5339
X,1564354643,604962,2119
X,1564354644,604897,1849
P,1564354644,5052
X,1564354644,604890,3076
X,1564354645,604984,2629
X,1564354645,605144,2911
X,1564354646,605064,1546
X,1564354647,604928,1199
X,1564354647,605146,2334
X,1564354648,605206,2041
X,1564354648,605092,7833
X,1564354649,605180,2155
X,1564354649,605241,1585
X,1564354650,605525,31226
X,1564354650,604461,10902
X,1564354651,605249,3084
X,1564354652,605002,2345
X,1564354652,605066,1693
X,1564354653,605182,968
X,1564354653,604842,2572
X,1564354654,606050,9403
X,1564354654,605219,18242
X,1564354655,605320,3162
X,1564354656,605349,8787
X,1564354656,605267,3834
X,1564354657,605463,29173
X,1564354657,602704,48465
X,1564354658,604887,5567
X,1564354658,605532,3638
X,1564354659,605425,2400
X,1564354660,605206,2489
X,1564354660,605075,1352
X,1564354661,605137,32635
X,1564354661,605154,12360
X,1564354662,605189,3890
X,1564354662,605139,2135
X,1564354663,605168,1230
X,1564354664,605117,811
X,1564354664,605051,1147
X,1564354665,605208,3249
X,1564354665,605305,1374
X,1564354665,605090,587
X,1564354665,605125,1075
X,1564354666,604998,32000
X,1564354666,605048,3112
X,1564354667,604926,17648
X,1564354668,605085,1763
X,1564354668,605185,762
X,1564354669,605241,2897
X,1564354669,604995,1042
X,1564354670,605250,875
X,1564354670,605795,33878
X,1564354671,605296,1884
X,1564354672,605318,15444
X,1564354672,605189,1651
X,1564354673,605267,969
P,1564354673,5053
X,1564354673,605151,1123
X,1564354674,605090,1382
X,1564354674,605091,1352
X,1564354675,605241,1083
X,1564354676,605163,1224
X,1564354676,605118,1172
X,1564354677,605242,1338
X,1564354677,605248,830
X,1564354678,605522,22931
X,1564354678,604901,4165
X,1564354679,605442,14205
X,1564354679,605125,2464
X,1564354680,605170,785
X,1564354681,605076,2044
X,1564354681,604957,1476
X,1564354682,605430,1571
X,1564354682,605316,1286
X,1564354683,605325,1143
X,1564354683,605181,979
X,1564354684,605143,1146
X,1564354685,605093,2880
X,1564354685,605055,1772
X,1564354686,605359,972
A,1564354686,605412,654
T,1564354686,2897
X,1564354688,605194,4218
X,1564354688,605349,1710
X,1564354689,605380,1374
X,1564354689,605110,9264
X,1564354690,605394,4168
X,1564354691,605271,1482
X,1564354691,605217,1005
X,1564354692,605164,765
X,1564354692,605139,1394
