H,1563667707,278906
P,1563667707,5124
P,1563667736,5124
P,1563667765,5123
P,1563667795,5125
P,1563667824,5126
P,1563667853,5123
P,1563667882,5124
P,1563667912,5124
P,1563667941,5125
P,1563667971,5125
P,1563668001,5123
P,1563668030,5124
P,1563668059,5125
P,1563668088,5125
P,1563668118,5125
P,1563668147,5124
P,1563668176,5125
P,1563668206,5122
P,1563668235,5125
D,1563668243,374016
R,1563668244,700D9CE55
R,1563668244,700D9CE55
R,1563668244,700D9CE55
X,1563668245,567964,22918
X,1563668246,562324,43629
X,1563668246,566025,52265
X,1563668247,565739,35473
X,1563668247,569840,4011
X,1563668247,573003,15625
X,1563668248,578364,9229
X,1563668248,570493,17210
X,1563668249,578376,11616
X,1563668249,578823,10818
X,1563668250,582063,20506
X,1563668251,581624,4419
X,1563668251,585038,13080
X,1563668252,569928,11099
X,1563668252,577038,48627
X,1563668253,582765,17488
X,1563668253,582380,11008
X,1563668254,581458,11351
X,1563668255,579625,15258
X,1563668255,580781,8234
X,1563668256,581262,4223
X,1563668256,582809,13113
X,1563668257,581611,12175
X,1563668257,582362,7261
X,1563668258,583112,7430
X,1563668258,582167,7826
X,1563668259,582082,18219
X,1563668260,577802,36923
X,1563668260,454726,32131
X,1563668261,272821,4909
X,1563668261,275142,2285
X,1563668262,275571,4662
X,1563668262,273113,3619
X,1563668263,274266,2929
X,1563668264,273887,1884
X,1563668264,274528,1719
P,1563668265,5118
X,1563668265,274813,812
X,1563668265,275271,569
X,1563668266,275757,271
X,1563668266,275684,339
O,1563668267,276033,640
O,1563668268,276066,894
O,1563668268,275617,679
O,1563668269,275488,539
O,1563668269,275454,1409
O,1563668270,275894,841
O,1563668270,275672,515
O,1563668271,275189,363
O,1563668271,274532,1044
O,1563668272,274760,3355
O,1563668273,275645,1173
O,1563668273,276049,685
O,1563668274,275505,251
O,1563668274,275815,805
O,1563668275,275147,1213
O,1563668275,275075,649
O,1563668276,275630,1140
O,1563668277,275633,361
O,1563668277,275236,196
O,1563668278,275279,295
O,1563668278,275309,219
O,1563668279,275377,246
O,1563668279,274923,444
O,1563668280,275223,631
O,1563668281,275377,276
O,1563668281,275434,941
O,1563668282,276320,1322
O,1563668282,275477,1009
O,1563668283,275198,671
O,1563668283,274703,646
O,1563668284,274366,1653
O,1563668285,274833,1382
O,1563668285,275089,2149
O,1563668286,275162,1321
O,1563668286,274700,654
O,1563668287,275051,494
O,1563668287,274901,626
O,1563668288,274781,2227
O,1563668288,268595,6967
O,1563668288,273704,5479
O,1563668289,274784,1104
O,1563668289,272942,2717
O,1563668290,273652,3000
O,1563668290,271028,3439
O,1563668291,271841,2253
O,1563668291,273774,1182
O,1563668292,272973,1490
O,1563668293,274020,3768
O,1563668293,274830,755
P,1563668294,5118
O,1563668294,274596,774
O,1563668294,275030,1073
O,1563668295,274283,2262
O,1563668295,273967,2744
O,1563668296,274962,1473
O,1563668297,273787,1874
O,1563668297,275176,673
O,1563668298,275292,482
O,1563668298,275375,343
O,1563668299,275514,421
O,1563668299,275950,785
O,1563668300,275579,558
O,1563668300,275125,461
O,1563668301,274695,1220
O,1563668302,273561,2419
O,1563668302,274088,2393
O,1563668303,274807,1076
O,1563668303,275095,1734
O,1563668304,276744,1321
O,1563668304,275784,1720
O,1563668305,276050,674
O,1563668306,276578,945
O,1563668306,275755,1769
O,1563668307,273696,1524
O,1563668307,274888,568
O,1563668308,275202,299
O,1563668308,275612,737
O,1563668309,275494,581
O,1563668310,275774,639
O,1563668310,275869,622
O,1563668311,276003,271
O,1563668311,275786,376
O,1563668312,274814,1515
O,1563668312,274056,1561
O,1563668313,271683,2651
O,1563668314,274578,1967
O,1563668314,274918,494
O,1563668315,275493,1347
O,1563668315,275534,858
O,1563668316,274710,1655
O,1563668316,274545,3508
T,1563668316,2972
P,1563668324,5124
P,1563668353,5125
P,1563668382,5124
P,1563668411,5125
P,1563668441,5124
P,1563668471,5125
P,1563668500,5125
P,1563668530,5125
P,1563668560,5124
P,1563668589,5124
P,1563668618,5124
P,1563668648,5126
P,1563668677,5124
P,1563668706,5125
P,1563668736,5125
P,1563668765,5124
P,1563668794,5124
P,1563668823,5125
P,1563668854,5124
P,1563668883,5125
P,1563668912,5124
P,1563668942,5125
P,1563668971,5124
P,1563669000,5126
P,1563669029,5124
P,1563669059,5124
P,1563669088,5123
P,1563669117,5125
P,1563669148,5124
P,1563669177,5125
P,1563669206,5125
