H,1564452441,278906
T,1564452441,2898
X,1564452443,651187,1301
X,1564452444,651208,690
X,1564452444,651235,686
X,1564452445,650998,1642
X,1564452445,651021,945
X,1564452446,651122,1110
X,1564452446,651113,1025
X,1564452447,651014,545
X,1564452447,651004,643
X,1564452448,650993,892
X,1564452449,651073,808
X,1564452449,651133,738
X,1564452450,651078,924
P,1564452450,5024
X,1564452450,651256,585
X,1564452451,651174,1206
X,1564452451,651339,474
X,1564452452,651178,683
X,1564452453,651238,508
X,1564452453,651375,719
X,1564452454,651280,1368
X,1564452454,651249,442
X,1564452455,651210,817
X,1564452455,651532,1436
X,1564452456,651432,774
X,1564452457,651385,1101
X,1564452457,651367,870
X,1564452458,651346,580
X,1564452458,651309,954
A,1564452458,651202,439
T,1564452458,2898
X,1564452460,651425,643
X,1564452460,651374,769
X,1564452460,651433,915
X,1564452461,651448,1132
X,1564452461,651228,789
X,1564452462,651247,856
X,1564452463,651226,672
X,1564452463,651258,970
X,1564452464,651415,730
X,1564452464,651390,1452
X,1564452465,651298,901
X,1564452465,651264,5141
X,1564452466,651587,2878
X,1564452467,651589,18796
X,1564452467,651925,6467
X,1564452468,651620,2164
X,1564452468,651746,1366
X,1564452469,651818,1565
X,1564452469,651799,1281
X,1564452470,651723,336
X,1564452471,651790,911
X,1564452471,651813,1106
X,1564452472,651685,709
X,1564452472,651817,541
X,1564452473,651687,776
X,1564452473,651683,1004
X,1564452474,651849,2895
X,1564452474,652191,4385
X,1564452475,652221,13767
X,1564452476,652168,6693
X,1564452476,652020,2918
X,1564452477,651858,1018
X,1564452477,651816,1190
X,1564452478,651933,1646
X,1564452478,652078,1424
X,1564452479,651744,780
P,1564452479,5035
X,1564452480,651818,304
X,1564452480,651765,463
X,1564452481,651893,1202
X,1564452481,651862,1594
X,1564452482,651898,463
X,1564452482,651872,674
X,1564452483,651935,540
A,1564452483,651581,709
T,1564452483,2898
X,1564452485,651492,1094
X,1564452485,651803,733
X,1564452486,651705,1728
X,1564452487,651607,628
X,1564452487,651805,699
X,1564452488,652032,764
X,1564452488,651833,703
X,1564452489,652153,784
X,1564452489,651842,793
X,1564452490,651770,839
X,1564452491,651724,767
X,1564452491,651982,827
X,1564452492,652010,1138
X,1564452492,651886,702
X,1564452493,651741,646
X,1564452493,651692,641
X,1564452494,651721,627
X,1564452495,651836,1702
X,1564452495,651841,887
X,1564452496,651787,855
X,1564452496,651674,931
X,1564452497,651795,754
X,1564452497,651920,1440
X,1564452498,651844,747
X,1564452498,651846,912
A,1564452498,651818,546
T,1564452499,2898
X,1564452500,651913,730
X,1564452501,651768,791
X,1564452501,651854,902
X,1564452501,652006,983
X,1564452502,652003,1122
X,1564452502,651982,1377
X,1564452503,651961,1314
X,1564452503,652068,942
X,1564452504,652181,1609
X,1564452505,652132,594
X,1564452505,652160,625
X,1564452506,652163,569
X,1564452506,652161,343
X,1564452507,652267,629
X,1564452507,652149,424
X,1564452508,652233,846
P,1564452508,5034
X,1564452509,652235,466
X,1564452509,652208,1253
X,1564452510,652164,1444
X,1564452510,651881,824
X,1564452511,651826,1383
X,1564452511,652077,563
X,1564452512,652072,1125
X,1564452512,651882,799
X,1564452513,651782,619
X,1564452514,651840,768
X,1564452514,652068,1445
X,1564452515,651871,559
X,1564452515,651782,756
A,1564452515,652011,499
T,1564452515,2898
R,1564452516,000000000
X,1564452517,651983,985
X,1564452518,651980,814
X,1564452518,652026,803
X,1564452519,652216,866
X,1564452520,652134,1496
X,1564452520,652210,711
X,1564452521,652213,978
X,1564452521,652247,1180
X,1564452522,651987,1065
X,1564452522,651997,1228
X,1564452523,652014,488
X,1564452523,651961,530
X,1564452524,652122,780
X,1564452525,652028,2141
X,1564452525,651926,1588
X,1564452526,651865,841
X,1564452526,651806,735
X,1564452527,651874,847
X,1564452527,651893,765
X,1564452528,651993,1246
X,1564452529,651935,776
X,1564452529,651871,859
X,1564452530,651918,642
X,1564452530,652000,928
X,1564452531,652260,1398
X,1564452531,652071,1008
X,1564452532,651867,721
X,1564452533,651995,898
X,1564452533,652011,1260
X,1564452534,651887,621
A,1564452534,651981,410
T,1564452534,2898
X,1564452536,652091,1579
X,1564452536,651965,531
