H,1564452724,278906
T,1564452724,2898
X,1564452726,652228,925
X,1564452727,652163,563
X,1564452727,652176,982
X,1564452728,652264,1414
X,1564452729,652135,386
X,1564452729,652048,752
X,1564452730,652140,861
X,1564452730,652196,616
X,1564452731,652291,1191
X,1564452731,652216,604
X,1564452732,652201,830
X,1564452732,652298,1210
X,1564452733,652354,885
X,1564452734,652311,1497
X,1564452734,652140,894
X,1564452735,652296,887
X,1564452735,652280,1084
X,1564452736,652403,710
X,1564452736,652262,771
X,1564452737,652360,753
X,1564452738,652325,919
X,1564452738,652331,708
X,1564452739,652442,775
X,1564452739,652385,871
X,1564452740,652461,1026
X,1564452740,652288,959
A,1564452740,652254,394
T,1564452741,2898
X,1564452742,652384,796
X,1564452743,652377,688
X,1564452744,652371,1277
X,1564452744,652443,1489
P,1564452744,5034
X,1564452745,652483,2448
X,1564452745,652358,1342
X,1564452746,652286,706
X,1564452746,652287,760
X,1564452747,652392,547
X,1564452747,652334,421
X,1564452747,652231,651
X,1564452748,652305,521
X,1564452748,652272,603
X,1564452749,652335,574
X,1564452749,652338,571
X,1564452750,652261,607
X,1564452750,652272,966
X,1564452751,652302,1065
X,1564452752,652387,1145
X,1564452752,652599,1074
X,1564452753,652495,1601
X,1564452753,652596,963
X,1564452754,652603,1206
X,1564452754,652613,1112
X,1564452755,652467,492
X,1564452756,652594,1019
X,1564452756,652482,1312
X,1564452757,652481,1372
X,1564452757,652337,1349
X,1564452758,652311,1048
X,1564452758,652390,907
X,1564452759,652433,1119
X,1564452760,652496,1747
X,1564452760,652316,2217
X,1564452761,652299,957
X,1564452761,652369,899
X,1564452762,652279,474
X,1564452762,652336,908
A,1564452762,652340,365
T,1564452762,2898
X,1564452764,652386,951
X,1564452765,652382,581
X,1564452765,652428,820
X,1564452766,652441,678
X,1564452767,652504,1345
X,1564452767,652407,617
X,1564452768,652356,816
X,1564452768,652221,654
X,1564452769,652400,863
X,1564452769,652316,1808
X,1564452770,652194,749
X,1564452771,652312,1011
X,1564452771,652486,1051
X,1564452772,652441,1422
X,1564452772,652350,1139
X,1564452773,652418,1095
P,1564452773,5035
X,1564452773,652328,941
X,1564452774,652418,1004
X,1564452774,652524,1430
X,1564452775,652396,1006
X,1564452776,652398,981
X,1564452776,652496,817
X,1564452777,652561,715
X,1564452777,652421,871
X,1564452778,652321,679
X,1564452778,652162,847
X,1564452779,652290,914
X,1564452780,652370,1374
X,1564452780,652164,822
X,1564452781,652247,792
X,1564452781,652161,760
A,1564452781,652338,400
T,1564452781,2898
R,1564452782,000000000
X,1564452783,652167,764
X,1564452784,652007,781
X,1564452784,652189,820
X,1564452785,652143,667
X,1564452786,652145,792
X,1564452786,652214,449
X,1564452787,652241,679
X,1564452787,652209,798
X,1564452788,652296,685
X,1564452788,652204,545
X,1564452788,652199,725
X,1564452788,652240,698
X,1564452789,652131,1295
X,1564452790,652179,1593
X,1564452790,652335,705
X,1564452791,652175,551
X,1564452791,652226,862
X,1564452792,652337,1291
X,1564452792,652179,912
X,1564452793,652182,637
X,1564452794,652245,846
X,1564452794,652389,764
X,1564452795,652441,892
A,1564452795,652221,434
T,1564452795,2897
X,1564452797,652212,948
X,1564452797,652275,836
X,1564452798,652230,1204
X,1564452798,652198,881
X,1564452799,652154,727
X,1564452800,652204,590
X,1564452800,652233,834
X,1564452801,652223,706
X,1564452801,652334,649
X,1564452802,652178,568
X,1564452802,652179,1107
P,1564452802,5033
X,1564452803,652233,1658
X,1564452803,652145,1276
X,1564452804,652297,769
X,1564452805,652213,845
X,1564452805,652263,823
X,1564452806,652329,1110
X,1564452806,651906,4142
X,1564452807,652722,1864
X,1564452807,652341,706
X,1564452808,652245,771
X,1564452809,652194,645
X,1564452809,652236,1095
X,1564452810,652141,1143
X,1564452810,652138,864
X,1564452811,652050,676
X,1564452811,652179,1013
X,1564452812,652205,923
X,1564452813,652028,1669
X,1564452813,652066,609
X,1564452814,652061,625
A,1564452814,652204,291
T,1564452814,2898
X,1564452816,652267,686
X,1564452816,652262,642
X,1564452817,652217,732
X,1564452817,652184,1134
X,1564452818,652298,502
X,1564452818,652129,865
X,1564452819,652196,591
X,1564452820,652173,861
X,1564452820,652201,774
