H,1565378334,278906
P,1565378334,5055
P,1565378363,5055
P,1565378393,5056
P,1565378422,5054
P,1565378451,5056
P,1565378481,5055
D,1565378501,380672
D,1565378503,391680
D,1565378505,390912
D,1565378507,392192
D,1565378510,393984
P,1565378510,5055
D,1565378512,363520
D,1565378514,400384
D,1565378516,400128
D,1565378518,390400
D,1565378521,391168
D,1565378523,396800
D,1565378525,395520
D,1565378527,392960
R,1565378527,700D98F45
X,1565378528,601400,3636
X,1565378529,602072,2426
X,1565378529,602128,1879
X,1565378530,602254,3017
X,1565378530,602971,7471
X,1565378531,603199,38383
X,1565378531,601620,17395
X,1565378532,602146,5700
X,1565378533,602125,35951
X,1565378533,602942,8644
X,1565378534,602633,9079
X,1565378534,602348,3580
X,1565378535,602179,3112
X,1565378535,603220,6477
X,1565378536,597075,30957
X,1565378536,606772,21191
X,1565378537,602305,49074
X,1565378538,603963,16788
X,1565378538,602134,43695
X,1565378539,602266,2872
X,1565378539,601939,2560
P,1565378539,5045
X,1565378540,601988,9790
X,1565378540,601869,6913
X,1565378541,602441,3674
X,1565378542,601204,34033
X,1565378542,603210,4645
X,1565378543,601939,7758
X,1565378543,602545,4104
X,1565378544,602415,2325
X,1565378544,603795,18357
X,1565378545,600351,33356
X,1565378546,603148,2570
X,1565378546,602844,1743
X,1565378547,602742,2199
X,1565378547,602834,2736
X,1565378548,602599,2324
X,1565378548,602979,24914
X,1565378549,601946,15048
X,1565378549,602632,5032
X,1565378550,602723,4267
X,1565378551,602703,1293
X,1565378551,602804,5598
X,1565378552,602466,25052
X,1565378552,602943,25440
X,1565378553,602404,21788
X,1565378553,602499,1684
X,1565378554,602498,3555
X,1565378555,602474,21801
X,1565378555,602562,9824
X,1565378556,602755,5592
X,1565378556,602556,2015
X,1565378557,602685,3259
X,1565378557,602622,1597
X,1565378558,602611,5580
X,1565378559,603026,2370
X,1565378559,605316,16545
X,1565378560,599936,27680
X,1565378560,602251,17392
X,1565378561,606502,26345
X,1565378561,600534,11832
X,1565378562,603624,16040
X,1565378563,603490,22143
X,1565378563,602457,5139
X,1565378564,602917,7691
X,1565378564,603866,16806
X,1565378565,601927,13635
X,1565378565,593494,25535
X,1565378566,599431,23798
X,1565378566,599639,18573
X,1565378567,607901,27893
X,1565378568,606385,21239
X,1565378568,607584,15905
X,1565378568,604369,21190
X,1565378568,608345,20790
P,1565378568,5048
X,1565378569,598898,32136
X,1565378569,522432,24471
X,1565378570,448923,35997
X,1565378571,447681,38582
X,1565378571,449483,765
X,1565378572,470572,9842
X,1565378572,472759,3229
X,1565378573,509798,59204
X,1565378573,539718,36386
X,1565378574,565451,24142
X,1565378575,607971,28061
X,1565378575,602603,63602
X,1565378576,604563,24285
X,1565378576,603953,12044
X,1565378577,602910,4281
X,1565378577,602861,3695
X,1565378578,603561,5008
X,1565378579,602187,27235
X,1565378579,603482,5461
X,1565378580,603236,4532
X,1565378580,603411,3545
X,1565378581,603357,3020
X,1565378581,603798,12288
X,1565378582,602335,25454
X,1565378582,605963,25293
X,1565378583,600757,6967
X,1565378584,603464,7524
X,1565378584,603444,1899
X,1565378585,603319,3573
X,1565378585,603300,582
X,1565378586,603341,1700
X,1565378586,603809,18492
X,1565378587,603604,4004
X,1565378588,603885,1214
X,1565378588,603889,1601
X,1565378589,603608,885
X,1565378589,603606,2767
X,1565378590,603680,775
X,1565378590,603727,1410
X,1565378591,603618,1294
X,1565378592,603608,2310
X,1565378592,603649,2035
X,1565378593,604023,1644
X,1565378593,603705,29038
X,1565378594,603149,8825
X,1565378594,603593,4005
X,1565378595,603806,2721
X,1565378595,603355,4814
X,1565378596,603997,1562
X,1565378597,603594,1429
X,1565378597,603613,4750
X,1565378598,603163,7589
X,1565378598,603901,19371
P,1565378599,5047
X,1565378599,604042,20273
X,1565378599,603784,25090
X,1565378600,603162,9388
X,1565378601,603503,6705
X,1565378601,603777,4973
X,1565378602,603911,6409
X,1565378602,604714,16688
X,1565378603,605888,12227
X,1565378603,602667,8782
X,1565378604,603886,10997
X,1565378605,604825,8209
X,1565378605,603815,14923
X,1565378606,603871,15687
X,1565378606,604700,23915
X,1565378607,603208,5257
X,1565378607,610934,54894
X,1565378608,600062,57248
X,1565378609,599465,14197
X,1565378609,594088,52762
X,1565378609,604771,22762
X,1565378609,603608,4008
X,1565378610,603767,5494
X,1565378610,604089,2577
X,1565378611,604009,2226
X,1565378611,604106,7811
X,1565378612,602576,32266
X,1565378613,603866,1757
