H,1564360301,278906
T,1564360301,2898
U,1564360302,0
X,1564360303,610214,1504
X,1564360304,610337,1200
X,1564360304,610306,1182
X,1564360305,610211,1268
X,1564360305,610352,785
X,1564360306,610359,1505
X,1564360306,610288,1231
X,1564360307,610268,1023
X,1564360308,610496,1326
X,1564360308,610313,1201
X,1564360309,610345,936
X,1564360309,610255,2145
X,1564360310,610302,1430
X,1564360310,611580,11670
X,1564360311,610158,2826
X,1564360312,610005,20441
X,1564360312,610415,1034
X,1564360313,610411,21163
X,1564360313,609736,7197
X,1564360314,610406,6044
X,1564360314,610366,1538
X,1564360315,610312,1582
X,1564360315,610433,2131
X,1564360316,610047,2221
X,1564360317,610327,1270
P,1564360317,5041
X,1564360317,610269,16066
X,1564360318,610524,2253
X,1564360318,611159,11567
X,1564360319,610443,1337
X,1564360319,610360,1087
X,1564360320,610413,818
X,1564360321,610226,2407
X,1564360321,610282,740
X,1564360322,610480,1107
X,1564360322,610323,1070
X,1564360323,610162,1437
X,1564360323,610387,630
X,1564360324,611617,12279
X,1564360325,610336,3954
X,1564360325,610220,16844
X,1564360325,610366,1150
X,1564360325,610424,1088
X,1564360326,609446,10345
X,1564360326,610198,15838
X,1564360327,610357,1404
X,1564360328,610527,1447
X,1564360328,610366,13313
X,1564360329,609494,8735
X,1564360329,610140,3783
X,1564360330,610429,1639
X,1564360330,610520,17803
X,1564360331,609601,6053
X,1564360331,610253,2434
X,1564360332,610445,1266
X,1564360333,610598,1344
X,1564360333,610152,2356
X,1564360334,610339,15227
X,1564360334,610301,3205
X,1564360335,610531,12460
X,1564360335,610419,961
X,1564360336,610331,1065
X,1564360337,610181,2141
X,1564360337,610368,964
X,1564360338,610399,1356
X,1564360338,610357,498
X,1564360339,610065,33770
X,1564360339,611872,31227
X,1564360340,610377,2170
X,1564360341,610538,16909
X,1564360341,610317,9766
X,1564360342,610510,1803
X,1564360342,610594,1376
X,1564360343,610481,738
X,1564360343,610291,3013
X,1564360344,610540,844
X,1564360344,610601,826
X,1564360345,610523,741
X,1564360346,610344,1607
X,1564360346,610437,1675
P,1564360346,5043
X,1564360347,610526,455
X,1564360347,610635,19681
X,1564360348,610305,3707
X,1564360348,610264,17387
X,1564360349,609932,4308
X,1564360350,610725,15026
X,1564360350,610787,14755
X,1564360351,610558,2427
X,1564360351,610509,1523
X,1564360352,609536,9064
X,1564360352,610908,10299
X,1564360353,610140,2199
X,1564360354,610389,1188
X,1564360354,610423,1147
X,1564360355,610258,948
X,1564360355,610355,1604
X,1564360356,610387,1352
X,1564360356,610331,1128
X,1564360357,610236,1170
X,1564360358,610332,965
X,1564360358,610484,1315
X,1564360359,610181,1247
X,1564360359,610397,21975
X,1564360360,610459,1314
X,1564360360,610501,13158
X,1564360361,610428,20292
X,1564360361,610264,1973
X,1564360362,611166,11517
X,1564360363,610438,1340
X,1564360363,610353,1225
X,1564360364,610228,2116
X,1564360364,610410,1313
X,1564360365,610458,1002
X,1564360365,610373,1021
X,1564360366,610201,2890
X,1564360366,610413,862
X,1564360366,610472,1078
X,1564360367,610399,969
X,1564360367,610392,969
X,1564360368,610427,2189
X,1564360368,610489,1143
X,1564360369,610598,1243
X,1564360370,610616,937
X,1564360370,610399,1457
X,1564360371,610499,1166
X,1564360371,610492,1230
X,1564360372,610473,1112
X,1564360372,610414,900
A,1564360372,610420,358
T,1564360373,2898
U,1564360373,0
X,1564360374,610343,1469
X,1564360375,610323,648
P,1564360375,5041
X,1564360375,610270,826
X,1564360376,610045,773
X,1564360377,610253,1243
X,1564360377,610341,1349
X,1564360378,610441,21437
X,1564360378,610175,3004
X,1564360379,611249,16049
X,1564360379,610238,1365
X,1564360380,610233,1123
X,1564360381,610139,2043
X,1564360381,610248,1508
X,1564360382,610193,1059
X,1564360382,610069,1403
X,1564360383,610211,1170
X,1564360383,610373,1664
X,1564360384,610189,1097
X,1564360385,610154,1489
X,1564360385,610269,16270
X,1564360386,610356,2446
X,1564360386,610241,11030
X,1564360387,610059,1284
X,1564360387,610262,1291
X,1564360388,610229,809
X,1564360388,610197,21978
X,1564360389,609905,13646
X,1564360390,610275,1176
X,1564360390,610313,1755
X,1564360391,610300,972
X,1564360391,610165,1378
X,1564360392,611206,7268
X,1564360392,609653,16700
X,1564360393,610208,16925
X,1564360394,610158,1265
X,1564360394,610241,2557
X,1564360395,610290,780
