H,1561048811,278906
P,1561048811,5183
P,1561048840,5184
P,1561048870,5183
P,1561048899,5184
P,1561048928,5183
P,1561048958,5184
P,1561048987,5184
P,1561049016,5183
P,1561049045,5184
P,1561049076,5184
P,1561049105,5183
P,1561049134,5183
P,1561049164,5182
P,1561049193,5184
P,1561049222,5184
P,1561049251,5184
P,1561049281,5185
P,1561049310,5183
P,1561049339,5184
P,1561049370,5183
P,1561049399,5183
P,1561049428,5183
P,1561049457,5184
P,1561049487,5184
P,1561049516,5184
P,1561049545,5184
P,1561049575,5184
P,1561049604,5184
P,1561049633,5184
P,1561049663,5183
P,1561049693,5183
P,1561049723,5183
P,1561049752,5184
P,1561049782,5185
P,1561049811,5184
P,1561049840,5184
P,1561049869,5184
P,1561049899,5185
P,1561049928,5184
P,1561049958,5182
P,1561049987,5184
P,1561050017,5184
P,1561050046,5184
P,1561050075,5184
P,1561050105,5183
P,1561050134,5183
D,1561050154,257280
D,1561050156,309504
D,1561050158,307712
D,1561050160,303104
D,1561050163,310528
P,1561050163,5184
D,1561050165,309504
D,1561050167,307968
D,1561050170,450560
D,1561050172,362240
D,1561050175,362240
D,1561050177,362240
D,1561050179,363776
R,1561050179,000000000
X,1561050181,553896,6589
X,1561050181,554410,2949
X,1561050182,554440,2891
X,1561050183,554324,3704
X,1561050183,554454,3137
X,1561050184,554405,5239
X,1561050184,554445,5400
X,1561050185,554572,3560
X,1561050185,554483,3690
X,1561050186,553624,9022
X,1561050187,554383,8322
X,1561050187,555023,4659
X,1561050188,554736,4309
X,1561050188,554035,5850
X,1561050189,554802,8040
X,1561050189,554673,9430
X,1561050190,553725,12035
X,1561050191,554568,8804
X,1561050191,554678,3004
X,1561050192,554549,2968
X,1561050192,554684,2648
X,1561050192,554587,3179
P,1561050192,5175
X,1561050192,554719,1922
X,1561050193,554526,2440
X,1561050194,554560,4625
X,1561050194,554632,2883
X,1561050195,554601,2753
X,1561050195,554490,5294
X,1561050196,554676,3022
X,1561050196,554704,6906
X,1561050197,554354,12468
X,1561050197,554762,3562
X,1561050198,555447,7118
X,1561050199,554309,22182
X,1561050199,555006,20036
X,1561050200,554763,1719
X,1561050200,554436,5655
X,1561050201,554492,8457
X,1561050201,554395,4428
X,1561050202,554585,3786
X,1561050203,554721,7811
X,1561050203,554456,3534
X,1561050204,554514,6200
X,1561050204,554666,2309
X,1561050205,554443,2270
X,1561050205,554633,1739
X,1561050206,554632,5206
X,1561050207,554672,2684
X,1561050207,554698,3427
X,1561050208,554775,7146
X,1561050208,554796,3042
X,1561050209,554398,5976
X,1561050209,554543,4001
X,1561050210,554577,1512
X,1561050210,554539,2688
X,1561050211,554500,4055
X,1561050212,554669,1766
X,1561050212,554580,2009
X,1561050213,554600,2706
X,1561050213,554587,3326
X,1561050214,554633,2595
X,1561050214,554542,2573
X,1561050215,554521,2289
X,1561050216,554852,3654
X,1561050216,554578,1689
X,1561050217,554662,2409
X,1561050217,554551,4382
X,1561050218,554724,1991
X,1561050218,555395,18757
X,1561050219,553942,20044
X,1561050220,554510,2570
X,1561050220,554555,1687
X,1561050221,554409,2028
X,1561050221,554450,2067
X,1561050222,554420,2969
X,1561050222,554558,922
P,1561050222,5173
X,1561050223,554530,13486
X,1561050224,554437,2191
X,1561050224,554712,5151
X,1561050225,546237,29652
X,1561050225,315692,39880
X,1561050226,293015,1740
X,1561050226,292884,460
X,1561050227,293356,540
X,1561050227,293363,224
X,1561050228,293312,126
X,1561050229,293315,255
X,1561050229,293325,209
X,1561050230,293341,95
X,1561050230,293335,159
X,1561050231,293329,119
O,1561050231,293305,113
O,1561050232,293293,151
O,1561050233,293286,90
O,1561050233,293269,160
O,1561050233,293250,173
O,1561050233,293243,167
O,1561050234,293220,277
O,1561050234,293223,186
O,1561050235,293196,162
O,1561050236,293199,136
O,1561050236,293212,269
O,1561050237,293221,160
O,1561050237,293170,116
O,1561050238,293158,158
O,1561050238,293128,63
O,1561050239,293100,151
O,1561050239,293085,92
O,1561050240,293114,129
O,1561050241,293131,101
O,1561050241,293151,141
O,1561050242,293135,103
O,1561050242,293148,110
O,1561050243,293146,68
O,1561050243,293135,87
O,1561050244,293131,166
O,1561050245,293105,107
O,1561050245,293137,183
O,1561050246,293180,100
O,1561050246,293134,192
O,1561050247,293119,110
O,1561050247,293172,109
O,1561050248,293170,107
O,1561050249,293166,110
O,1561050249,293176,129
O,1561050250,293124,133
O,1561050250,293143,140
O,1561050251,293116,1314
O,1561050251,293183,2093
