H,1560453680,278906
P,1560453680,5208
P,1560453710,5208
P,1560453740,5208
P,1560453769,5208
P,1560453798,5209
P,1560453828,5208
P,1560453857,5209
P,1560453886,5207
P,1560453915,5208
P,1560453945,5208
P,1560453974,5209
P,1560454004,5210
P,1560454034,5209
P,1560454063,5209
P,1560454092,5208
P,1560454121,5209
P,1560454151,5207
P,1560454180,5209
P,1560454209,5208
P,1560454239,5207
P,1560454268,5209
P,1560454298,5209
P,1560454327,5208
P,1560454357,5207
P,1560454386,5209
P,1560454415,5209
P,1560454445,5208
P,1560454474,5208
P,1560454504,5209
P,1560454533,5209
P,1560454563,5209
P,1560454593,5209
P,1560454622,5209
P,1560454652,5209
P,1560454681,5209
P,1560454710,5207
P,1560454739,5208
P,1560454769,5208
P,1560454798,5208
P,1560454827,5208
P,1560454857,5209
P,1560454887,5209
P,1560454916,5208
P,1560454945,5209
P,1560454975,5209
P,1560455004,5209
P,1560455033,5208
P,1560455063,5209
P,1560455092,5207
P,1560455121,5209
P,1560455150,5209
P,1560455181,5209
P,1560455210,5209
P,1560455239,5209
P,1560455268,5209
P,1560455298,5208
P,1560455327,5209
P,1560455356,5208
P,1560455386,5208
P,1560455415,5209
P,1560455444,5208
P,1560455474,5206
P,1560455504,5208
P,1560455533,5207
P,1560455562,5208
P,1560455592,5208
P,1560455621,5206
P,1560455650,5208
P,1560455679,5207
P,1560455709,5208
P,1560455738,5209
O,1560455749,295463,1946
O,1560455750,295710,135
O,1560455750,295693,116
O,1560455751,295673,204
O,1560455751,295651,185
O,1560455752,295620,201
O,1560455752,295636,161
O,1560455753,295688,64
O,1560455753,295709,156
O,1560455754,295679,149
O,1560455755,295683,84
O,1560455755,295685,108
O,1560455756,295666,108
O,1560455756,295647,137
O,1560455757,295683,75
O,1560455757,295681,118
O,1560455758,295665,108
O,1560455759,295647,79
O,1560455759,295664,111
O,1560455760,295669,86
O,1560455760,295653,156
O,1560455760,295661,124
O,1560455760,295645,130
O,1560455761,295649,89
O,1560455762,295659,91
O,1560455762,295671,79
O,1560455763,295668,71
O,1560455763,295684,127
O,1560455764,295688,155
O,1560455764,295691,113
O,1560455765,295710,63
O,1560455766,295724,92
O,1560455766,295721,152
O,1560455767,295720,160
O,1560455767,295738,132
P,1560455768,5198
O,1560455768,295732,153
O,1560455768,295675,191
O,1560455769,295695,178
O,1560455769,295690,154
O,1560455770,295694,88
O,1560455771,295689,99
O,1560455771,295692,61
O,1560455772,295697,123
O,1560455772,295712,123
O,1560455773,295789,80
O,1560455773,295782,96
O,1560455774,295736,101
O,1560455775,295770,115
O,1560455775,295757,104
O,1560455776,295782,108
O,1560455776,295786,117
O,1560455777,295749,180
O,1560455777,295699,192
O,1560455778,295709,170
O,1560455779,295719,164
O,1560455779,295715,124
O,1560455780,295679,83
O,1560455780,295669,178
O,1560455781,295663,219
O,1560455781,295614,175
O,1560455782,295655,102
O,1560455782,295656,175
O,1560455783,295651,112
O,1560455784,295687,87
O,1560455784,295670,102
O,1560455785,295675,112
O,1560455785,295757,46
O,1560455786,295769,122
O,1560455786,295731,116
O,1560455787,295726,75
O,1560455788,295718,123
O,1560455788,295713,67
O,1560455789,295688,221
O,1560455789,295690,220
O,1560455790,295669,143
O,1560455790,295658,179
O,1560455791,295616,187
O,1560455792,295582,143
O,1560455792,295623,84
O,1560455793,295605,205
O,1560455793,295653,181
O,1560455794,295586,169
O,1560455794,295591,183
O,1560455795,295640,161
O,1560455796,295635,151
O,1560455796,295635,114
O,1560455797,295641,91
O,1560455797,295677,112
P,1560455798,5199
O,1560455798,295678,90
O,1560455798,295679,83
O,1560455799,295690,92
O,1560455799,295680,168
O,1560455800,295700,119
O,1560455801,295714,89
O,1560455801,295651,202
O,1560455801,295675,153
O,1560455801,295733,111
O,1560455802,295773,103
O,1560455802,295752,150
O,1560455803,295765,60
O,1560455804,295764,115
T,1560455804,2943
P,1560455827,5207
P,1560455856,5207
P,1560455885,5207
P,1560455915,5207
P,1560455944,5209
P,1560455973,5208
P,1560456003,5208
P,1560456032,5209
P,1560456062,5207
P,1560456091,5209
P,1560456121,5208
P,1560456150,5208
P,1560456179,5208
P,1560456209,5207
P,1560456238,5208
P,1560456267,5207
P,1560456296,5207
P,1560456326,5207
P,1560456356,5207
P,1560456385,5207
P,1560456415,5208
P,1560456444,5208
P,1560456473,5208
P,1560456502,5208
P,1560456532,5208
P,1560456561,5208
P,1560456590,5208
P,1560456620,5207
P,1560456650,5208
P,1560456679,5207
