H,1556165075,254470
P,1556165075,5399
P,1556165105,5407
P,1556165134,5408
P,1556165163,5406
P,1556165193,5408
P,1556165222,5408
P,1556165251,5407
P,1556165281,5406
P,1556165310,5407
P,1556165339,5408
P,1556165368,5405
P,1556165399,5407
P,1556165428,5407
P,1556165457,5406
P,1556165487,5408
P,1556165516,5407
P,1556165545,5406
P,1556165574,5405
P,1556165604,5404
P,1556165633,5407
P,1556165662,5406
P,1556165693,5407
P,1556165722,5406
P,1556165751,5408
P,1556165780,5407
P,1556165810,5406
P,1556165839,5407
P,1556165868,5407
P,1556165898,5405
P,1556165927,5405
P,1556165956,5405
P,1556165986,5407
P,1556166016,5406
P,1556166045,5408
P,1556166074,5407
P,1556166104,5405
P,1556166133,5405
P,1556166162,5407
P,1556166191,5406
P,1556166221,5407
P,1556166250,5407
P,1556166280,5407
P,1556166310,5406
P,1556166339,5406
P,1556166368,5407
P,1556166397,5407
P,1556166427,5407
P,1556166456,5406
P,1556166485,5407
P,1556166515,5406
P,1556166544,5406
P,1556166574,5406
P,1556166603,5407
P,1556166633,5406
P,1556166662,5407
P,1556166691,5406
P,1556166721,5406
O,1556166726,263164,1674
O,1556166727,263367,49
O,1556166727,263357,81
O,1556166728,263357,108
O,1556166729,263372,113
O,1556166729,263354,41
O,1556166730,263361,78
O,1556166730,263372,131
O,1556166731,263347,105
O,1556166731,263360,100
O,1556166732,263356,67
O,1556166733,263366,79
O,1556166733,263339,66
O,1556166734,263349,112
O,1556166734,263336,92
O,1556166735,263338,145
O,1556166735,263351,64
O,1556166736,263344,80
O,1556166737,263350,69
O,1556166737,263342,88
O,1556166738,263339,108
O,1556166738,263344,166
O,1556166739,263324,98
O,1556166739,263335,107
O,1556166740,263340,86
O,1556166740,263341,97
O,1556166741,263342,133
O,1556166742,263358,56
O,1556166742,263348,86
O,1556166743,263350,77
O,1556166743,263323,116
O,1556166744,263341,149
O,1556166744,263369,110
O,1556166745,263353,107
O,1556166746,263358,75
O,1556166746,263369,114
O,1556166747,263343,103
O,1556166747,263338,106
O,1556166748,263357,73
O,1556166748,263357,147
O,1556166749,263366,140
O,1556166750,263377,127
P,1556166750,5398
O,1556166750,263376,87
O,1556166751,263394,81
O,1556166751,263416,123
O,1556166752,263418,99
O,1556166752,263395,122
O,1556166753,263407,125
O,1556166754,263397,153
O,1556166754,263414,108
O,1556166755,263395,70
O,1556166755,263414,124
O,1556166756,263413,87
O,1556166756,263399,88
O,1556166757,263409,104
O,1556166758,263410,75
O,1556166758,263409,53
O,1556166759,263401,65
O,1556166759,263404,107
O,1556166760,263418,103
O,1556166760,263400,76
O,1556166761,263417,66
O,1556166761,263420,136
O,1556166762,263436,69
O,1556166762,263413,100
O,1556166762,263425,98
O,1556166763,263425,103
O,1556166763,263449,71
O,1556166764,263417,60
O,1556166764,263404,110
O,1556166765,263405,112
O,1556166766,263409,90
O,1556166766,263411,117
O,1556166767,263381,49
O,1556166767,263416,90
O,1556166768,263446,68
O,1556166768,263430,95
O,1556166769,263390,124
O,1556166770,263417,82
O,1556166770,263387,118
O,1556166771,263403,94
O,1556166771,263389,69
O,1556166772,263403,125
O,1556166772,263386,141
O,1556166773,263346,98
O,1556166774,263363,123
O,1556166774,263323,89
O,1556166775,263321,87
O,1556166775,263320,78
O,1556166776,263308,65
O,1556166776,263299,69
O,1556166777,263303,102
O,1556166777,263313,95
O,1556166778,263312,107
O,1556166779,263353,69
O,1556166779,263331,93
P,1556166779,5398
O,1556166780,263319,65
O,1556166780,263353,53
O,1556166781,263355,84
O,1556166781,263351,106
O,1556166782,263368,152
T,1556166782,2800
P,1556166808,5406
P,1556166838,5405
P,1556166868,5404
P,1556166897,5405
P,1556166926,5406
P,1556166956,5406
P,1556166985,5407
P,1556167014,5406
P,1556167044,5405
P,1556167073,5407
P,1556167102,5405
P,1556167131,5406
P,1556167162,5406
P,1556167191,5406
P,1556167220,5405
P,1556167250,5407
P,1556167279,5406
P,1556167308,5408
P,1556167337,5405
P,1556167367,5405
P,1556167396,5405
P,1556167425,5405
P,1556167456,5406
P,1556167485,5406
P,1556167514,5406
P,1556167543,5406
P,1556167573,5405
P,1556167602,5405
P,1556167631,5405
P,1556167661,5407
P,1556167691,5405
P,1556167720,5407
P,1556167750,5406
P,1556167780,5406
P,1556167809,5407
P,1556167838,5405
P,1556167868,5407
P,1556167897,5406
P,1556167926,5404
P,1556167955,5406
P,1556167985,5406
P,1556168014,5406
