H,3758970,233298
P,3758970,5077
P,3758999,5075
P,3759028,5076
P,3759058,5077
P,3759087,5078
P,3759116,5078
P,3759145,5078
P,3759176,5075
P,3759205,5078
P,3759234,5077
P,3759264,5076
P,3759293,5076
P,3759322,5077
P,3759351,5077
P,3759381,5077
P,3759410,5077
P,3759439,5078
P,3759469,5077
P,3759499,5077
P,3759528,5077
P,3759557,5076
P,3759587,5078
P,3759616,5074
P,3759645,5077
P,3759674,5079
P,3759704,5078
P,3759733,5077
P,3759763,5077
P,3759793,5076
P,3759822,5078
P,3759851,5078
P,3759880,5077
P,3759910,5077
P,3759939,5077
P,3759968,5076
P,3759998,5076
P,3760027,5075
P,3760057,5076
P,3760086,5076
P,3760116,5076
P,3760145,5076
P,3760174,5078
P,3760204,5078
O,3760227,226286,137
O,3760228,226290,155
O,3760228,226287,83
O,3760229,226295,132
O,3760229,226252,90
O,3760230,226244,119
O,3760230,226271,135
O,3760231,226281,77
O,3760232,226312,144
O,3760232,226314,91
O,3760233,226319,81
P,3760233,5061
O,3760233,226333,158
O,3760234,226301,59
O,3760234,226333,94
O,3760235,226288,113
O,3760236,226313,153
O,3760236,226295,80
O,3760237,226301,123
O,3760237,226266,123
O,3760238,226239,69
O,3760238,226230,49
O,3760239,226261,70
O,3760240,226255,73
O,3760240,226242,23
O,3760241,226276,94
O,3760241,226288,101
O,3760242,226311,127
O,3760242,226290,79
O,3760243,226271,77
O,3760244,226289,78
O,3760244,226298,77
O,3760245,226296,113
O,3760245,226302,88
O,3760246,226335,85
O,3760246,226283,152
O,3760247,226279,86
O,3760247,226251,120
O,3760248,226223,83
O,3760248,226194,106
O,3760248,226186,88
O,3760249,226143,98
O,3760249,226071,116
O,3760250,226065,269
O,3760250,226132,110
O,3760251,226149,102
O,3760252,226274,140
O,3760252,226368,99
O,3760253,226231,147
O,3760253,226147,105
O,3760254,226248,100
O,3760254,226202,88
O,3760255,226134,59
O,3760256,226131,112
O,3760256,226196,116
O,3760257,226230,55
O,3760257,226283,91
O,3760258,226261,71
O,3760258,226248,99
O,3760259,226282,77
O,3760260,226287,102
O,3760260,226276,110
O,3760261,226323,93
O,3760261,226317,100
O,3760262,226333,78
P,3760262,5062
O,3760262,226321,90
O,3760263,226322,78
O,3760264,226346,92
O,3760264,226319,88
O,3760265,226324,124
O,3760265,226316,94
O,3760266,226296,129
O,3760266,226319,127
O,3760267,226338,34
O,3760268,226327,149
O,3760268,226311,98
O,3760269,226171,128
O,3760269,226204,74
O,3760270,226171,121
O,3760270,226173,102
O,3760271,226254,92
O,3760272,226216,125
O,3760272,226184,193
O,3760273,226235,76
O,3760273,226146,135
O,3760274,226197,132
O,3760274,226278,81
O,3760275,226256,70
O,3760275,226285,134
O,3760276,226262,168
O,3760277,226205,134
O,3760277,226189,96
O,3760278,226211,86
O,3760278,226179,126
O,3760279,226210,114
O,3760279,226265,133
O,3760280,226272,171
O,3760281,226253,111
O,3760281,226309,96
O,3760282,226266,119
O,3760282,226245,126
O,3760283,226121,204
T,3760283,2739
P,3760291,5077
P,3760321,5073
P,3760351,5077
P,3760380,5077
P,3760410,5076
P,3760439,5076
P,3760468,5078
P,3760497,5078
P,3760527,5078
P,3760556,5077
P,3760585,5077
P,3760615,5078
P,3760645,5075
P,3760674,5077
P,3760703,5077
P,3760733,5077
P,3760762,5076
P,3760791,5075
P,3760821,5078
P,3760850,5077
P,3760879,5078
P,3760908,5077
P,3760939,5077
P,3760968,5076
P,3760997,5077
P,3761027,5075
P,3761056,5078
P,3761085,5077
P,3761114,5077
P,3761144,5075
P,3761173,5076
P,3761202,5077
P,3761232,5077
P,3761262,5077
P,3761291,5077
P,3761320,5076
P,3761350,5076
P,3761379,5075
P,3761408,5078
P,3761437,5077
P,3761467,5076
P,3761496,5074
P,3761526,5074
P,3761556,5076
P,3761586,5077
P,3761615,5075
P,3761644,5078
P,3761674,5078
P,3761703,5078
P,3761732,5077
P,3761762,5078
P,3761791,5077
P,3761821,5078
P,3761850,5075
P,3761880,5079
P,3761909,5077
