H,1415011,233298
X,1415011,570639,625
X,1415012,570630,1537
X,1415012,570593,1371
X,1415013,570499,5533
X,1415013,570709,1752
X,1415014,570527,485
X,1415015,570394,910
X,1415015,570509,1289
X,1415016,570656,1041
X,1415016,571062,1770
X,1415016,570758,680
X,1415016,570643,812
X,1415017,570686,1266
X,1415018,570768,948
X,1415018,571091,1521
X,1415019,570785,871
X,1415019,570788,673
P,1415020,5097
X,1415020,570712,676
X,1415020,570807,1361
X,1415021,570778,1610
X,1415022,571003,1937
X,1415022,570826,425
X,1415023,570743,655
X,1415023,570709,920
A,1415023,570599,640
T,1415024,2735
X,1415025,570801,745
X,1415026,570665,585
X,1415026,570511,778
X,1415027,570612,1044
X,1415027,570769,1293
X,1415028,570707,649
X,1415029,570648,628
X,1415029,570607,676
X,1415030,570827,1451
X,1415030,570998,1153
X,1415031,571203,1873
X,1415031,570941,778
X,1415032,570819,783
X,1415033,570840,1657
X,1415033,570996,934
X,1415034,571159,1696
X,1415034,571126,890
X,1415035,571069,708
X,1415035,570858,816
X,1415036,570906,1420
X,1415037,571047,1032
X,1415037,571385,1006
X,1415038,571107,688
X,1415038,571027,643
X,1415039,571009,764
X,1415039,570981,818
X,1415040,570937,1001
X,1415041,570952,878
X,1415041,570799,603
X,1415042,570745,856
X,1415042,570997,804
A,1415042,570868,615
T,1415043,2735
X,1415044,571394,659
X,1415045,571291,901
X,1415045,571121,941
X,1415046,571064,1066
X,1415046,571234,936
X,1415047,571350,1212
X,1415048,571070,766
X,1415048,571107,895
X,1415049,571105,676
X,1415049,571132,1212
P,1415050,5100
X,1415050,571325,1046
X,1415050,571306,1100
X,1415051,571107,551
X,1415052,571159,787
X,1415052,571160,1048
X,1415053,571183,1316
X,1415053,571374,863
X,1415054,571281,894
X,1415054,571250,624
X,1415055,571192,951
X,1415056,571230,1345
X,1415056,571342,896
X,1415057,571341,747
X,1415057,571373,1271
X,1415057,571327,710
X,1415057,571144,1231
X,1415058,571225,1086
X,1415058,571333,1146
X,1415059,571500,965
X,1415060,571467,1013
X,1415060,571310,753
X,1415061,571237,1102
X,1415061,571276,738
X,1415062,571380,904
A,1415062,571258,430
T,1415062,2735
X,1415064,571235,668
X,1415064,571327,1259
X,1415065,571446,596
X,1415066,571641,1304
X,1415066,571444,597
X,1415067,571484,793
X,1415067,571428,917
X,1415068,571457,1356
X,1415068,571491,970
X,1415069,571650,5260
X,1415070,571027,8252
X,1415070,571379,6574
X,1415071,571226,4122
X,1415071,571293,3648
X,1415072,571422,1190
X,1415072,571603,1811
X,1415073,571367,765
X,1415073,571393,1209
X,1415074,571474,1007
X,1415075,571559,1259
X,1415075,571436,512
X,1415076,571430,783
X,1415076,571332,687
X,1415077,571326,754
X,1415077,571380,945
X,1415078,571574,958
X,1415079,571573,935
P,1415079,5095
X,1415079,571662,985
X,1415080,571634,889
X,1415080,571688,973
X,1415081,571839,874
X,1415081,571782,1719
X,1415082,571671,907
X,1415083,571576,708
A,1415083,571500,604
T,1415083,2735
X,1415084,571841,647
X,1415085,571945,1092
X,1415085,571757,746
X,1415086,571698,1096
X,1415087,571589,1000
X,1415087,571507,1060
X,1415088,571461,884
X,1415088,571651,1355
X,1415089,571420,703
X,1415089,571313,935
X,1415090,571266,973
X,1415091,571410,1701
X,1415091,571574,1146
X,1415092,571712,1177
X,1415092,571491,907
X,1415093,571566,568
X,1415093,571538,807
X,1415094,571748,1014
X,1415095,571867,906
X,1415095,572029,912
X,1415096,571960,783
X,1415096,571975,1079
X,1415097,571765,911
X,1415097,571764,1197
X,1415098,571973,1062
X,1415098,572185,1485
X,1415098,571962,446
X,1415099,572101,746
X,1415099,572056,932
X,1415100,572074,1209
X,1415100,572000,818
X,1415101,572180,1118
X,1415102,571949,1033
X,1415102,571944,674
X,1415103,572076,880
A,1415103,571750,835
T,1415103,2735
X,1415104,572500,1024
X,1415105,571600,4568
