X,13819,547317,132
X,13819,547327,99
X,13820,547317,81
X,13820,547287,208
X,13821,547299,158
X,13821,547309,107
X,13822,547318,97
X,13823,547321,121
X,13823,547328,95
A,13823,547310,50
T,13823,2971
X,13825,547316,223
X,13825,547311,71
X,13826,547282,58
X,13827,547289,121
X,13827,547297,104
X,13828,547319,212
X,13828,547325,120
X,13829,547320,71
X,13829,547313,91
X,13830,547314,121
X,13831,547309,113
X,13831,547319,167
X,13832,547313,135
X,13832,547287,175
P,13833,5702
X,13833,547327,89
X,13833,547297,88
X,13834,547320,129
X,13835,547304,142
X,13835,547310,117
X,13836,547330,112
A,13836,547310,48
T,13836,2971
X,13837,547323,109
X,13838,547322,139
X,13839,547303,183
X,13839,547302,133
X,13840,547304,119
X,13840,547311,161
X,13841,547316,86
X,13841,547318,178
X,13842,547313,142
X,13842,547300,179
X,13842,547304,132
X,13843,547310,128
X,13843,547316,81
X,13844,547306,72
X,13844,547319,147
X,13845,547296,114
X,13845,547317,182
X,13846,547313,133
X,13847,547325,153
X,13847,547299,59
A,13847,547310,29
T,13847,2971
X,13849,547293,156
X,13850,547299,160
X,13850,547310,98
X,13851,547316,116
X,13851,547317,124
X,13852,547311,99
X,13852,547301,72
X,13853,547325,118
X,13853,547315,95
X,13854,547317,144
X,13855,547320,107
X,13855,547324,79
X,13856,547313,163
X,13856,547330,130
X,13857,547305,68
X,13857,547305,99
X,13858,547322,90
X,13859,547303,94
X,13859,547310,118
X,13860,547320,119
A,13860,547312,37
T,13860,2971
X,13861,547298,136
P,13862,5701
X,13862,547310,93
X,13863,547316,60
X,13863,547323,89
X,13864,547308,138
X,13864,547313,118
X,13865,547323,143
X,13865,547311,113
X,13866,547319,146
X,13867,547310,166
X,13867,547315,130
X,13868,547308,86
X,13868,547305,66
X,13869,547314,98
X,13869,547319,98
X,13870,547322,128
X,13871,547310,134
X,13871,547318,118
X,13872,547316,115
X,13872,547317,105
A,13872,547313,25
T,13872,2971
X,13874,547298,106
X,13875,547310,152
X,13875,547287,100
X,13876,547306,150
X,13876,547316,54
X,13877,547302,92
X,13877,547303,98
X,13878,547317,150
X,13879,547294,110
X,13879,547311,73
X,13880,547316,90
X,13880,547319,93
X,13881,547292,125
X,13881,547313,113
X,13882,547321,109
X,13882,547306,137
X,13883,547302,107
X,13883,547300,105
X,13883,547307,134
X,13884,547309,84
A,13884,547306,34
T,13884,2971
X,13885,547317,125
X,13886,547307,147
X,13887,547305,125
X,13887,547303,109
X,13888,547289,88
X,13888,547297,62
X,13889,547307,130
X,13889,547304,67
X,13890,547312,142
X,13891,547313,104
P,13891,5700
X,13891,547314,107
X,13892,547309,183
X,13892,547310,199
X,13893,547319,167
X,13893,547301,118
X,13894,547315,126
X,13895,547295,64
X,13895,547317,95
X,13896,547322,116
X,13896,547304,119
A,13896,547308,33
T,13896,2971
X,13898,547321,148
X,13899,547319,120
X,13899,547304,118
X,13900,547320,112
X,13900,547295,168
X,13901,547302,132
X,13901,547300,180
X,13902,547313,107
X,13903,547318,114
X,13903,547313,90
X,13904,547332,134
X,13904,547308,107
X,13905,547324,148
X,13905,547312,108
X,13906,547315,147
X,13907,547311,124
X,13907,547310,162
X,13908,547314,198
X,13908,547309,174
X,13909,547300,108
A,13909,547312,37
T,13909,2971
X,13911,547321,143
X,13911,547332,93
X,13912,547302,92
X,13912,547316,137
X,13913,547306,63
X,13913,547301,95
