T,43055,2972
X,43057,547291,386
X,43058,547283,438
X,43058,547263,531
X,43059,547263,423
X,43059,547247,445
X,43060,547238,803
X,43060,547242,559
X,43061,547272,449
X,43062,547260,588
X,43062,547294,554
X,43063,547282,666
X,43063,547272,723
X,43064,547267,752
X,43064,547242,754
X,43065,547227,659
X,43065,547228,558
X,43066,547240,388
X,43067,547249,368
X,43067,547287,428
X,43068,547281,576
A,43068,547261,67
T,43068,2972
X,43070,547300,375
X,43070,547278,388
X,43071,547255,484
X,43071,547258,566
X,43072,547249,352
X,43072,547269,384
X,43073,547268,447
X,43073,547285,553
X,43074,547253,727
X,43075,547254,474
X,43075,547228,324
X,43076,547240,217
X,43076,547264,269
X,43077,547263,256
X,43077,547272,140
X,43078,547275,291
X,43079,547281,146
X,43079,547249,180
X,43080,547251,144
P,43080,5599
X,43080,547264,283
A,43080,547262,72
T,43080,2972
X,43082,547239,297
X,43083,547264,381
X,43083,547246,313
X,43084,547271,242
X,43084,547270,344
X,43085,547251,290
X,43085,547276,318
X,43086,547249,251
X,43086,547259,244
X,43086,547250,229
X,43087,547286,325
X,43087,547291,318
X,43088,547271,452
X,43088,547254,287
X,43089,547260,271
X,43090,547267,153
X,43090,547252,254
X,43091,547265,265
X,43091,547265,358
X,43092,547255,225
A,43092,547262,52
T,43092,2972
X,43094,547239,444
X,43094,547256,285
X,43095,547246,365
X,43095,547269,247
X,43096,547272,327
X,43096,547276,390
X,43097,547291,326
X,43098,547272,426
X,43098,547233,398
X,43099,547240,236
X,43099,547264,193
X,43100,547264,482
X,43100,547259,533
X,43101,547261,405
X,43101,547269,426
X,43102,547256,454
X,43103,547264,466
X,43103,547268,156
X,43104,547256,129
X,43104,547274,272
A,43104,547261,58
T,43104,2972
X,43106,547250,262
X,43107,547252,531
X,43107,547275,421
X,43108,547249,311
X,43108,547269,351
X,43109,547265,346
P,43109,5600
X,43109,547265,455
X,43110,547278,312
X,43111,547264,329
X,43111,547236,364
X,43112,547236,355
X,43112,547293,451
X,43113,547261,220
X,43113,547258,464
X,43114,547295,943
X,43115,547226,1202
X,43115,547210,1000
X,43116,547226,699
X,43116,547262,602
X,43117,547286,465
A,43117,547257,85
T,43117,2972
X,43119,547257,390
X,43119,547247,538
X,43120,547273,359
X,43120,547270,299
X,43121,547273,343
X,43121,547282,415
X,43122,547259,268
X,43122,547267,275
X,43123,547245,127
X,43124,547262,170
X,43124,547262,238
X,43125,547279,220
X,43125,547292,286
X,43126,547253,311
X,43126,547251,118
X,43127,547260,167
X,43127,547271,327
X,43127,547249,342
X,43128,547262,368
X,43128,547250,302
A,43128,547263,47
T,43128,2972
X,43130,547261,214
X,43131,547251,298
X,43131,547258,350
X,43132,547283,213
X,43132,547285,319
X,43133,547304,522
X,43133,547257,500
X,43134,547258,415
X,43135,547231,544
X,43135,547246,603
X,43136,547248,430
X,43136,547256,358
X,43137,547270,153
X,43137,547252,324
X,43138,547247,436
P,43138,5601
X,43139,547253,413
X,43139,547249,523
X,43140,547237,440
X,43140,547259,446
X,43141,547300,490
A,43141,547260,73
T,43141,2972
X,43143,547274,270
X,43143,547269,135
X,43144,547268,308
X,43144,547277,324
X,43145,547259,569
X,43145,547237,456
X,43146,547240,604
X,43147,547231,629
X,43147,547262,492
X,43148,547288,686
X,43148,547283,649
X,43149,547283,760
X,43149,547251,363
X,43150,547252,367
X,43150,547237,454
