H,1548833068,381601
P,1548833068,5130
P,1548833097,5130
P,1548833126,5133
P,1548833156,5130
P,1548833185,5132
P,1548833214,5130
P,1548833243,5132
P,1548833273,5131
P,1548833302,5131
P,1548833331,5130
P,1548833362,5132
P,1548833391,5131
P,1548833420,5129
P,1548833449,5132
P,1548833479,5129
P,1548833508,5132
P,1548833537,5131
P,1548833567,5127
P,1548833596,5131
P,1548833625,5131
P,1548833655,5131
P,1548833685,5131
P,1548833714,5131
P,1548833743,5132
P,1548833773,5131
P,1548833802,5132
P,1548833831,5131
P,1548833860,5129
P,1548833890,5131
P,1548833919,5128
P,1548833949,5131
P,1548833979,5131
P,1548834008,5132
P,1548834037,5131
P,1548834066,5130
P,1548834096,5128
P,1548834125,5132
P,1548834154,5131
P,1548834184,5131
P,1548834213,5129
P,1548834243,5132
P,1548834272,5132
P,1548834302,5131
P,1548834331,5132
P,1548834360,5132
P,1548834389,5132
P,1548834419,5130
P,1548834448,5131
P,1548834477,5132
P,1548834507,5129
P,1548834537,5132
P,1548834566,5128
P,1548834595,5129
P,1548834625,5128
P,1548834654,5130
P,1548834683,5131
P,1548834713,5129
P,1548834743,5131
P,1548834772,5131
P,1548834801,5130
P,1548834832,5131
P,1548834861,5131
P,1548834890,5132
P,1548834920,5131
P,1548834949,5129
P,1548834978,5129
P,1548835007,5129
P,1548835037,5130
O,1548835064,290734,1867
O,1548835065,290880,354
O,1548835065,291245,762
O,1548835066,291016,462
P,1548835066,5120
O,1548835067,291148,588
O,1548835067,290728,310
O,1548835068,290713,740
O,1548835068,291262,723
O,1548835069,290487,1414
O,1548835069,291137,849
O,1548835070,292262,516
O,1548835071,290595,5445
O,1548835071,289742,2518
O,1548835072,286681,8241
O,1548835072,288390,3395
O,1548835073,288796,6044
O,1548835073,288399,4604
O,1548835074,286979,2412
O,1548835075,288104,2331
O,1548835075,289729,1932
O,1548835076,289714,1397
O,1548835076,289662,375
O,1548835077,290159,1832
O,1548835077,289385,3692
O,1548835078,290147,11962
O,1548835079,293445,7209
O,1548835079,290261,2461
O,1548835080,289642,1514
O,1548835080,289970,5609
O,1548835081,287571,7740
O,1548835081,285128,8611
O,1548835082,287009,3960
O,1548835082,289126,2266
O,1548835083,290290,2278
O,1548835084,290469,2950
O,1548835084,287785,2591
O,1548835085,288621,9078
O,1548835085,288657,1397
O,1548835086,288462,942
O,1548835086,290099,3012
O,1548835087,289033,4210
O,1548835087,289705,2389
O,1548835087,289916,1205
O,1548835088,288395,4762
O,1548835088,289773,3132
O,1548835089,288848,4423
O,1548835089,289151,2927
O,1548835090,288473,2563
O,1548835091,289645,1976
O,1548835091,290472,2024
O,1548835092,290394,1024
O,1548835092,291350,1188
O,1548835093,291077,689
O,1548835093,290662,4239
O,1548835094,288337,10650
O,1548835095,286353,6983
O,1548835095,288266,9439
P,1548835095,5122
O,1548835096,284555,7954
O,1548835096,286655,9042
O,1548835097,288383,8433
O,1548835097,291064,3828
O,1548835098,292211,1090
O,1548835098,295093,4967
O,1548835099,293920,2831
O,1548835100,292441,4149
O,1548835100,291876,1139
O,1548835101,289286,2643
O,1548835101,289879,1509
O,1548835102,289687,2060
O,1548835102,288061,2558
O,1548835103,285496,2997
O,1548835104,286001,4475
O,1548835104,289348,2887
O,1548835105,286996,7886
O,1548835105,288783,2665
O,1548835106,284361,5883
O,1548835106,286530,8287
O,1548835107,281437,24638
O,1548835108,285011,12098
O,1548835108,284365,9792
O,1548835109,281051,5770
O,1548835109,277748,4963
O,1548835110,282073,6149
O,1548835110,287927,4028
O,1548835111,289354,2282
O,1548835112,290322,1669
O,1548835112,286986,5669
O,1548835113,284127,6105
O,1548835113,286602,5161
O,1548835114,285225,6546
O,1548835114,282546,13897
O,1548835115,288002,4966
O,1548835115,290553,5149
O,1548835116,292838,3786
O,1548835117,290293,6259
O,1548835117,287824,3449
O,1548835118,287497,4536
O,1548835118,290619,1524
O,1548835119,291019,323
O,1548835119,290974,198
O,1548835120,290282,1189
T,1548835120,2745
P,1548835126,5131
P,1548835155,5129
P,1548835184,5131
E,1548835213,0
