H,1556319417,268731
T,1556319417,2817
D,1556319418,388864
R,1556319418,700D9DFBA
R,1556319418,700D9DFBA
X,1556319420,584098,25546
X,1556319421,579588,64836
X,1556319421,577254,60405
X,1556319422,581449,36520
X,1556319422,584358,24399
X,1556319423,585270,58469
X,1556319423,584054,18442
X,1556319424,583500,8342
X,1556319424,584497,7838
X,1556319425,584712,1541
X,1556319426,584577,2089
X,1556319426,584437,2619
X,1556319427,584351,2192
X,1556319427,584660,1923
X,1556319427,584202,10690
X,1556319427,584634,8624
X,1556319428,584798,14213
X,1556319429,584254,4199
X,1556319429,584930,4525
X,1556319430,583333,18449
X,1556319430,584919,9751
X,1556319431,584632,6002
X,1556319431,584475,3577
X,1556319432,584602,6304
X,1556319433,584359,3054
X,1556319433,584153,2288
X,1556319434,584295,2797
X,1556319434,584259,1782
X,1556319435,584064,7042
X,1556319435,584382,2291
X,1556319436,584503,2002
X,1556319437,584314,1755
X,1556319437,584439,1651
X,1556319438,584319,1772
X,1556319438,584268,2078
X,1556319439,584265,2316
X,1556319439,584425,1891
X,1556319440,584405,2031
X,1556319440,584330,2054
X,1556319441,584348,1517
X,1556319442,584268,2541
X,1556319442,584171,11111
X,1556319443,584531,9372
X,1556319443,584178,8148
X,1556319444,584220,3022
X,1556319444,584468,3172
P,1556319444,5030
X,1556319445,584424,1427
X,1556319446,584374,1868
X,1556319446,584231,6508
X,1556319447,584526,2814
X,1556319447,584390,1243
X,1556319448,584348,1089
X,1556319448,584289,1441
X,1556319449,584586,2412
X,1556319450,584551,901
X,1556319450,584460,1759
X,1556319451,584389,1333
X,1556319451,584406,3101
X,1556319452,584480,1904
X,1556319452,584165,8226
X,1556319453,583077,11886
X,1556319454,584624,35102
X,1556319454,582507,54087
X,1556319455,582038,37186
X,1556319455,584299,53540
X,1556319456,584588,9130
X,1556319456,584440,15370
X,1556319457,584290,30787
X,1556319457,584324,19946
X,1556319458,585424,10582
X,1556319459,583655,56909
X,1556319459,584662,9498
X,1556319460,584182,6524
X,1556319460,584523,9940
X,1556319461,583970,8257
X,1556319461,585623,27887
X,1556319462,583612,43575
X,1556319463,584609,21735
X,1556319463,584252,7516
X,1556319464,584744,18634
X,1556319464,585324,30494
X,1556319465,582458,48669
X,1556319465,583213,46604
X,1556319466,583286,12143
X,1556319467,583854,9785
X,1556319467,584065,35317
X,1556319468,583727,17052
X,1556319468,583719,9697
X,1556319468,584288,6595
X,1556319468,584375,3022
X,1556319469,583837,6845
X,1556319469,584051,31407
X,1556319470,584402,20498
X,1556319471,582873,31692
X,1556319471,582814,23429
X,1556319472,585154,16195
X,1556319472,584233,9054
X,1556319473,584135,7643
X,1556319473,584287,6162
P,1556319474,5032
X,1556319474,584841,11877
X,1556319475,584474,20796
X,1556319475,584404,4565
X,1556319476,584278,2852
X,1556319476,583976,16411
X,1556319477,583351,27622
X,1556319477,583070,27011
X,1556319478,584791,22216
X,1556319479,584828,15542
X,1556319479,584177,18119
X,1556319480,584817,19805
X,1556319480,584717,30338
X,1556319481,583597,47282
X,1556319481,584299,9164
X,1556319482,584627,25734
X,1556319483,584307,28721
X,1556319483,584235,14950
X,1556319484,584404,15414
X,1556319484,584197,13574
X,1556319485,583770,9020
X,1556319485,583708,19806
X,1556319486,584753,13831
X,1556319486,584771,8631
X,1556319487,583672,14534
X,1556319488,584722,13025
X,1556319488,584361,15286
X,1556319489,585098,13120
X,1556319489,583766,19103
X,1556319490,584532,18695
X,1556319490,585061,21230
X,1556319491,584735,37578
X,1556319492,583522,16624
X,1556319492,583772,14181
X,1556319493,584592,30561
X,1556319493,584706,23558
X,1556319494,584302,7504
X,1556319494,584158,4457
X,1556319495,584017,7419
X,1556319496,584037,5257
X,1556319496,583943,18449
X,1556319497,584324,7080
X,1556319497,582845,10067
X,1556319498,583863,14494
X,1556319498,582624,42306
X,1556319499,584613,22471
X,1556319500,584512,8617
X,1556319500,583741,14426
X,1556319501,584030,28733
X,1556319501,583751,9047
X,1556319502,583811,13940
X,1556319502,585215,14285
X,1556319503,583219,20915
X,1556319503,584261,8136
P,1556319504,5031
X,1556319504,584739,7283
X,1556319505,585451,30121
X,1556319505,583570,11088
X,1556319506,584634,5966
X,1556319506,583189,25467
X,1556319507,586393,24535
X,1556319507,583991,2702
X,1556319508,584413,2599
X,1556319509,584431,11061
X,1556319509,583780,6141
X,1556319509,584008,12890
X,1556319509,583974,20711
