H,1553639369,268731
P,1553639369,5125
P,1553639398,5123
P,1553639427,5122
P,1553639457,5124
P,1553639486,5124
P,1553639515,5125
P,1553639545,5124
P,1553639575,5125
P,1553639604,5123
P,1553639633,5124
P,1553639663,5125
P,1553639692,5124
P,1553639721,5124
P,1553639750,5125
P,1553639780,5124
P,1553639809,5123
P,1553639839,5125
P,1553639869,5124
P,1553639898,5125
P,1553639927,5123
P,1553639956,5125
P,1553639986,5124
P,1553640015,5122
P,1553640044,5124
P,1553640074,5125
P,1553640103,5124
P,1553640133,5125
P,1553640162,5125
P,1553640192,5125
P,1553640221,5124
P,1553640250,5123
P,1553640280,5124
P,1553640309,5124
P,1553640338,5124
P,1553640367,5124
P,1553640397,5124
P,1553640427,5125
P,1553640456,5124
P,1553640486,5124
P,1553640515,5123
P,1553640544,5124
P,1553640573,5124
P,1553640603,5124
P,1553640632,5123
P,1553640661,5125
P,1553640691,5125
P,1553640721,5125
P,1553640750,5121
P,1553640779,5126
P,1553640809,5124
P,1553640838,5124
P,1553640867,5123
P,1553640897,5123
P,1553640926,5124
P,1553640955,5124
P,1553640984,5122
P,1553641015,5123
P,1553641044,5122
P,1553641073,5123
P,1553641102,5125
P,1553641132,5124
P,1553641161,5126
D,1553641171,409856
R,1553641171,700D9CE52
R,1553641171,700D9CE52
R,1553641171,700D9CE52
X,1553641173,622916,8681
X,1553641173,623174,39905
X,1553641174,622729,17016
X,1553641174,622934,5698
X,1553641175,624106,11410
X,1553641176,621299,16694
X,1553641176,622902,19468
X,1553641177,619884,39801
X,1553641177,620618,32837
X,1553641178,621439,39014
X,1553641178,622143,5260
X,1553641179,622199,18493
X,1553641179,622303,4286
X,1553641180,622149,4693
X,1553641181,622511,3124
X,1553641181,622437,21558
X,1553641182,623116,6721
X,1553641182,622170,22216
X,1553641183,622072,20220
X,1553641183,622802,5113
X,1553641184,621848,16480
X,1553641184,623246,6997
X,1553641184,622349,6354
X,1553641185,620868,15953
X,1553641185,623200,10769
X,1553641186,622226,22763
X,1553641186,622809,4286
X,1553641187,622087,5218
X,1553641188,621434,11226
X,1553641188,622422,5459
X,1553641189,622160,6457
X,1553641189,622223,7048
X,1553641190,621831,3227
P,1553641190,5115
X,1553641190,621949,6595
X,1553641191,622698,5250
X,1553641192,622155,11663
X,1553641192,621832,9258
X,1553641193,621949,11496
X,1553641193,620911,64712
X,1553641194,621130,65131
X,1553641194,622172,10179
X,1553641195,621984,6343
X,1553641195,621947,8875
X,1553641196,622432,2143
X,1553641197,621741,9805
X,1553641197,621860,29756
X,1553641198,622098,16921
X,1553641198,622271,4345
X,1553641199,621564,17128
X,1553641199,623131,6789
X,1553641200,621728,4807
X,1553641201,621626,1092
X,1553641201,621394,2978
X,1553641202,621586,2439
X,1553641202,621521,1964
X,1553641203,621048,10236
X,1553641203,621592,2321
X,1553641204,622166,8886
X,1553641205,621404,2384
X,1553641205,622693,12104
X,1553641206,621763,4118
X,1553641206,622006,7533
X,1553641207,621053,3417
X,1553641207,621391,2998
X,1553641208,621248,3135
X,1553641209,621338,1065
X,1553641209,621315,2924
X,1553641210,622121,6037
X,1553641210,620866,9631
X,1553641211,621235,5418
X,1553641211,622112,6342
X,1553641212,621949,2470
X,1553641212,621995,10091
X,1553641213,621011,10037
X,1553641214,621410,10554
X,1553641214,620968,5535
X,1553641215,621210,29531
X,1553641215,621124,3606
X,1553641216,621478,3054
X,1553641216,621928,6834
X,1553641217,621758,3263
X,1553641218,621897,2923
X,1553641218,621269,2658
X,1553641219,621543,3268
X,1553641219,621195,2316
X,1553641220,621515,8638
P,1553641220,5116
X,1553641220,621839,3796
X,1553641221,622139,4294
X,1553641222,622215,9619
X,1553641222,621877,2731
X,1553641223,621706,2983
X,1553641223,621363,2653
X,1553641224,621524,3501
X,1553641224,622033,1881
X,1553641225,622023,3012
X,1553641225,622060,5999
X,1553641225,622241,3176
X,1553641226,622567,2573
X,1553641226,622567,15484
X,1553641227,621917,12408
X,1553641227,623109,9302
X,1553641228,622392,3026
X,1553641228,622778,3584
X,1553641229,622708,2131
X,1553641230,622264,2927
X,1553641230,622267,2524
X,1553641231,622442,13197
X,1553641231,620865,14655
X,1553641232,623531,28557
X,1553641232,622065,4776
X,1553641233,621789,19874
X,1553641234,621288,26093
X,1553641234,621933,2430
X,1553641235,621975,1962
X,1553641235,621342,6421
X,1553641236,621750,1145
X,1553641236,621721,1086
X,1553641237,621682,24649
X,1553641238,621697,2508
X,1553641238,621174,2609
X,1553641239,620808,1729
X,1553641239,621127,14143
X,1553641240,621126,2381
