H,1554001492,268731
X,1554001492,603552,719
X,1554001493,603771,947
X,1554001494,603700,1554
X,1554001494,603617,1158
X,1554001495,603610,853
X,1554001495,603505,884
X,1554001496,603720,1386
X,1554001496,603608,2251
X,1554001497,603706,1446
X,1554001498,603688,1197
X,1554001498,603502,1338
X,1554001499,603674,2025
X,1554001499,603667,1556
X,1554001500,603695,1043
X,1554001500,603658,1096
X,1554001501,603526,808
X,1554001502,603727,1862
X,1554001502,603662,1873
X,1554001503,603682,1230
X,1554001503,603660,1235
X,1554001504,603523,1315
X,1554001504,603638,1328
X,1554001505,603623,1691
X,1554001505,603631,1340
X,1554001506,603694,1046
X,1554001507,603629,2137
X,1554001507,603605,1471
X,1554001508,603611,1388
X,1554001508,603681,1049
X,1554001509,603631,1279
X,1554001509,603755,2222
X,1554001510,603691,1131
X,1554001511,603806,1097
X,1554001511,603690,1025
X,1554001512,603627,878
X,1554001512,603657,1602
X,1554001513,603646,1703
X,1554001513,603707,802
X,1554001514,603643,1342
X,1554001515,603634,1428
X,1554001515,603723,1569
X,1554001516,603691,1986
X,1554001516,603772,846
X,1554001517,603679,1279
X,1554001517,603632,1512
P,1554001517,5109
X,1554001518,603696,1752
X,1554001519,603768,1534
X,1554001519,603660,1332
X,1554001520,603596,1560
X,1554001520,603735,2250
X,1554001521,603742,1965
X,1554001521,603700,1721
X,1554001522,603670,1210
X,1554001522,603608,1106
X,1554001523,603692,1521
X,1554001524,603701,1239
X,1554001524,603646,1512
X,1554001525,603664,1140
X,1554001525,603621,1201
X,1554001526,603729,1994
X,1554001526,603770,1813
X,1554001527,603713,1351
X,1554001528,603735,867
X,1554001528,603525,1352
X,1554001529,603810,1717
X,1554001529,603599,2056
X,1554001530,603682,1181
X,1554001530,603665,1411
X,1554001531,603518,1350
X,1554001532,603666,1273
X,1554001532,603641,1250
X,1554001533,603704,979
X,1554001533,603617,1117
X,1554001533,603700,1218
X,1554001533,603705,1507
X,1554001534,603670,1312
X,1554001534,603660,1009
X,1554001535,603639,1303
X,1554001536,603718,1443
X,1554001536,603635,1865
X,1554001537,603758,1323
X,1554001537,603711,1386
X,1554001538,603576,1123
X,1554001538,603782,1241
X,1554001539,603706,2161
X,1554001540,603678,1326
X,1554001540,603667,1333
X,1554001541,603693,1247
X,1554001541,603713,1267
X,1554001542,603722,1976
X,1554001542,603752,4363
X,1554001543,603736,3025
X,1554001544,603776,1327
X,1554001544,603728,1666
X,1554001545,603733,1970
X,1554001545,603690,1305
X,1554001546,603620,1139
X,1554001546,603740,1261
P,1554001547,5109
X,1554001547,603637,1682
X,1554001548,603674,1796
X,1554001548,603694,1331
X,1554001549,603580,1812
X,1554001549,603832,1854
X,1554001550,603739,1723
X,1554001550,603707,1834
X,1554001551,603703,1206
X,1554001551,603664,1642
X,1554001552,603734,1783
X,1554001553,603667,1417
X,1554001553,603728,1091
X,1554001554,603648,1477
X,1554001554,603706,1405
X,1554001555,603727,1684
X,1554001555,603651,1836
X,1554001556,603699,1021
X,1554001557,603655,1148
X,1554001557,603716,1333
X,1554001558,603648,1374
X,1554001558,603703,2012
X,1554001559,603686,1059
X,1554001559,603657,935
X,1554001560,603763,1099
X,1554001561,603634,1172
X,1554001561,603693,1701
X,1554001562,603655,1489
X,1554001562,603582,1065
X,1554001563,603763,2446
X,1554001563,603701,1448
X,1554001564,603684,1303
X,1554001565,603708,1576
X,1554001565,603565,1243
X,1554001566,603752,1287
X,1554001566,603752,1843
X,1554001567,603680,1582
X,1554001567,603753,1292
X,1554001568,603541,1805
X,1554001568,603655,1717
X,1554001569,603689,1704
X,1554001570,603640,1571
X,1554001570,603621,1329
X,1554001571,603710,1927
X,1554001571,603624,1895
X,1554001572,603757,1798
X,1554001572,603734,1339
X,1554001573,603581,1185
X,1554001574,603771,1380
X,1554001574,603728,1775
X,1554001574,603694,1357
X,1554001574,603727,1115
X,1554001575,603598,1613
X,1554001575,603652,1385
P,1554001576,5109
X,1554001576,603740,1515
X,1554001577,603707,1646
X,1554001577,603657,982
X,1554001578,603644,1389
X,1554001578,603724,1302
X,1554001579,603747,1047
X,1554001579,603703,1594
X,1554001580,603652,906
X,1554001580,603672,1579
X,1554001581,603799,1792
X,1554001582,603723,1490
X,1554001582,603699,1069
X,1554001583,603654,992
X,1554001583,603707,1232
X,1554001584,603745,2650
X,1554001584,603751,1257
X,1554001585,603656,1251
