H,1556996799,268731
P,1556996799,4979
P,1556996829,4977
P,1556996858,4977
P,1556996888,4977
P,1556996918,4978
P,1556996947,4978
P,1556996976,4976
P,1556997005,4976
P,1556997035,4979
P,1556997064,4977
P,1556997093,4978
P,1556997123,4977
P,1556997152,4977
P,1556997182,4977
P,1556997211,4977
P,1556997241,4978
P,1556997270,4978
P,1556997299,4978
P,1556997329,4978
P,1556997358,4976
P,1556997387,4977
P,1556997416,4979
P,1556997446,4978
P,1556997476,4978
P,1556997505,4978
P,1556997534,4978
P,1556997564,4979
D,1556997578,391424
R,1556997578,700D9DFBA
R,1556997578,700D9DFBA
R,1556997578,700D9DFBA
X,1556997580,577614,13234
X,1556997580,582664,24991
X,1556997581,586461,18234
X,1556997581,587244,15142
X,1556997582,581773,33838
X,1556997582,584615,36688
X,1556997583,583915,51847
X,1556997584,580551,28736
X,1556997584,581808,58296
X,1556997585,578608,16619
X,1556997585,582021,9447
X,1556997586,599376,31330
X,1556997586,270301,7539
X,1556997587,269391,1203
X,1556997588,269163,1748
X,1556997588,270198,1828
X,1556997589,271024,1404
X,1556997589,271599,1692
X,1556997590,271159,3750
X,1556997590,271986,1251
X,1556997591,270519,5434
X,1556997591,267239,1239
X,1556997592,265453,2499
O,1556997593,267512,1918
P,1556997593,4969
O,1556997593,266926,2787
O,1556997594,267384,4867
O,1556997594,269847,2276
O,1556997595,270758,3454
O,1556997595,271933,1457
O,1556997596,273008,1984
O,1556997597,273373,1372
O,1556997597,275304,7174
O,1556997598,273877,9716
O,1556997598,281026,10298
O,1556997599,274558,5288
O,1556997599,273272,7016
O,1556997600,269221,6058
O,1556997601,270781,8905
O,1556997601,268569,3885
O,1556997602,272705,5413
O,1556997602,269539,3309
O,1556997603,269466,2748
O,1556997603,269305,3194
O,1556997604,267592,4768
O,1556997605,271086,4487
O,1556997605,270271,2524
O,1556997606,266973,3302
O,1556997606,264025,4630
O,1556997607,267302,2098
O,1556997607,269436,2071
O,1556997608,271776,1920
O,1556997608,271610,1125
O,1556997609,271396,969
O,1556997610,269876,2758
O,1556997610,267523,6230
O,1556997611,269910,5787
O,1556997611,270401,2803
O,1556997612,268189,4245
O,1556997612,266236,8341
O,1556997613,264180,6497
O,1556997614,265347,6007
O,1556997614,268547,8244
O,1556997615,265974,7399
O,1556997615,268558,1635
O,1556997616,269579,1503
O,1556997616,269996,2131
O,1556997616,271566,2094
O,1556997617,272604,1185
O,1556997617,268934,5638
O,1556997618,265606,3547
O,1556997618,268228,2880
O,1556997619,270205,1829
O,1556997619,269091,2236
O,1556997620,271177,1719
O,1556997620,269031,5476
O,1556997621,267815,2307
O,1556997622,269839,3690
P,1556997622,4969
O,1556997622,270042,1464
O,1556997623,269407,2833
O,1556997623,268611,880
O,1556997624,268746,492
O,1556997624,266045,3708
O,1556997625,265927,3657
O,1556997626,269115,1662
O,1556997626,269452,2276
O,1556997627,270655,969
O,1556997627,270830,1511
O,1556997628,268713,4407
O,1556997628,264417,1843
O,1556997629,265462,6138
O,1556997630,269095,3546
O,1556997630,268262,2544
O,1556997631,269670,2994
O,1556997631,271339,1549
O,1556997632,271158,2783
O,1556997632,271532,3267
O,1556997633,268819,7209
O,1556997634,267812,5184
O,1556997634,266082,5748
O,1556997635,265728,3997
O,1556997635,266526,3325
O,1556997636,266692,6379
O,1556997636,268796,5136
O,1556997637,266489,6374
O,1556997637,269730,2634
O,1556997638,268797,5276
O,1556997639,268343,2643
O,1556997639,269165,3117
O,1556997640,268087,2391
O,1556997640,268375,1172
O,1556997641,266388,3870
O,1556997641,270344,3615
O,1556997642,271538,1780
T,1556997642,2757
P,1556997652,4976
P,1556997681,4978
P,1556997710,4978
P,1556997739,4976
P,1556997770,4977
P,1556997799,4975
P,1556997828,4976
O,1556997832,268111,3848
O,1556997833,268163,7005
O,1556997833,270832,1798
O,1556997834,268639,3487
O,1556997835,267177,4762
O,1556997835,269957,5504
O,1556997836,272546,6776
O,1556997836,267759,8857
O,1556997837,267443,2978
O,1556997837,269313,3244
O,1556997838,264837,4162
O,1556997839,267273,5574
O,1556997839,267426,5542
O,1556997840,270646,4464
O,1556997840,269294,6499
O,1556997841,266464,4035
O,1556997841,267115,5472
O,1556997842,268848,3831
O,1556997843,267380,6267
O,1556997843,268423,6973
O,1556997844,270511,1680
O,1556997844,271812,2021
O,1556997845,273834,2567
O,1556997845,276217,4061
O,1556997846,276690,2386
O,1556997847,277197,2503
O,1556997847,278172,3451
O,1556997848,274632,4903
O,1556997848,270359,2145
