H,1556922950,268731
P,1556922950,4980
P,1556922980,4980
P,1556923010,4981
P,1556923039,4981
P,1556923069,4982
P,1556923098,4981
P,1556923127,4982
P,1556923156,4982
P,1556923186,4982
P,1556923215,4981
P,1556923244,4981
P,1556923274,4981
P,1556923304,4981
P,1556923333,4981
P,1556923362,4981
P,1556923392,4982
P,1556923421,4981
P,1556923450,4980
P,1556923480,4982
P,1556923509,4981
P,1556923538,4981
P,1556923567,4982
P,1556923598,4982
P,1556923627,4982
P,1556923656,4981
P,1556923686,4980
P,1556923715,4981
P,1556923744,4980
P,1556923773,4981
P,1556923803,4981
P,1556923832,4979
P,1556923861,4982
P,1556923892,4982
P,1556923921,4982
P,1556923950,4982
P,1556923979,4981
P,1556924009,4981
P,1556924038,4980
P,1556924067,4983
P,1556924097,4982
P,1556924126,4981
P,1556924155,4982
P,1556924185,4980
P,1556924215,4982
P,1556924244,4982
P,1556924273,4980
P,1556924302,4983
P,1556924332,4981
P,1556924361,4983
P,1556924390,4981
P,1556924420,4982
P,1556924449,4980
P,1556924479,4981
P,1556924508,4981
P,1556924538,4982
P,1556924567,4983
P,1556924597,4981
P,1556924627,4981
P,1556924656,4983
P,1556924685,4982
P,1556924714,4983
P,1556924744,4981
D,1556924768,358400
R,1556924768,700D9DFBA
R,1556924769,700D9DFBA
R,1556924769,700D9DFBA
X,1556924770,543636,5769
X,1556924771,545377,21061
X,1556924771,545096,16761
X,1556924772,544251,55342
X,1556924772,544661,7008
X,1556924773,542500,26835
P,1556924774,4973
X,1556924774,544105,17232
X,1556924774,544249,3967
X,1556924775,544006,3265
X,1556924775,544199,2575
X,1556924776,543557,12345
X,1556924776,544942,12778
X,1556924777,543496,5475
X,1556924778,543310,8685
X,1556924778,543350,2919
X,1556924779,543521,2466
X,1556924779,543231,2658
X,1556924780,543151,4965
X,1556924780,543292,2687
X,1556924781,543039,2334
X,1556924782,543132,2990
X,1556924782,542342,7342
X,1556924783,542194,5694
X,1556924783,541810,21397
X,1556924784,541224,10242
X,1556924784,541849,8260
X,1556924785,541338,3756
X,1556924786,541300,10070
X,1556924786,540598,8699
X,1556924787,540422,2556
X,1556924787,540365,3290
X,1556924788,540443,6528
X,1556924788,540242,2259
X,1556924789,540068,2579
X,1556924789,540041,2751
X,1556924790,540042,2075
X,1556924791,540997,19781
X,1556924791,540682,23342
X,1556924792,539694,2761
X,1556924792,539720,6607
X,1556924793,539614,2386
X,1556924793,539254,2423
X,1556924794,539512,1683
X,1556924795,539690,1825
X,1556924795,539457,1655
X,1556924795,538594,13939
X,1556924795,539361,6327
X,1556924796,538339,6091
X,1556924796,538845,3632
X,1556924797,538457,1931
X,1556924798,538008,2995
X,1556924798,537936,16685
X,1556924799,537825,4166
X,1556924799,537638,1390
X,1556924800,537367,1955
X,1556924800,537285,2118
X,1556924801,536991,1701
X,1556924802,537163,1775
X,1556924802,537522,1736
X,1556924803,537173,2053
P,1556924803,4973
X,1556924803,536835,1484
X,1556924804,536438,1298
X,1556924804,536852,1525
X,1556924805,536636,1599
X,1556924805,537106,8314
X,1556924806,536612,8954
X,1556924807,538655,14570
X,1556924807,535731,51295
X,1556924808,538043,15426
X,1556924808,536799,10456
X,1556924809,536962,20777
X,1556924809,536922,4278
X,1556924810,536776,1913
X,1556924811,536788,13564
X,1556924811,537019,8892
X,1556924812,536987,4747
X,1556924812,537240,5530
X,1556924813,536820,3863
X,1556924813,537362,10420
X,1556924814,537757,8534
X,1556924815,537948,1527
X,1556924815,537937,10014
X,1556924816,538168,5516
X,1556924816,538086,6951
X,1556924817,538484,5116
X,1556924817,538690,20728
X,1556924818,537495,40204
X,1556924818,538203,7925
X,1556924819,538515,6131
X,1556924820,538514,2210
X,1556924820,538500,3597
X,1556924821,538461,3795
X,1556924821,538927,6115
X,1556924822,538439,8986
X,1556924822,538245,3743
X,1556924823,538643,3281
X,1556924824,538503,10879
X,1556924824,538648,4864
X,1556924825,538316,5994
X,1556924825,538374,1921
X,1556924826,538327,1898
X,1556924826,538404,2808
X,1556924827,538390,12223
X,1556924828,538068,10628
X,1556924828,538360,8218
X,1556924829,538450,10319
X,1556924829,538199,2745
X,1556924830,538410,2824
X,1556924830,538630,9078
X,1556924831,535801,40477
X,1556924832,543048,21082
X,1556924832,533272,38331
X,1556924833,539828,46349
P,1556924833,4971
X,1556924833,538366,32556
X,1556924834,539356,46290
X,1556924834,533590,28825
X,1556924835,442109,33909
X,1556924835,248179,1782
X,1556924836,250264,1926
X,1556924836,250260,1553
X,1556924836,248937,347
X,1556924837,249843,812
X,1556924837,249761,748
