H,1552188940,268731
P,1552188940,5148
P,1552188969,5148
P,1552188998,5148
P,1552189027,5148
P,1552189057,5147
P,1552189086,5149
P,1552189116,5149
P,1552189147,5149
P,1552189176,5148
P,1552189205,5148
P,1552189234,5148
P,1552189264,5148
P,1552189293,5149
D,1552189303,427520
R,1552189303,700D9DFBA
X,1552189305,617722,33560
X,1552189306,621224,49617
X,1552189306,623657,14759
X,1552189307,627378,426
X,1552189307,626406,13415
X,1552189308,619845,18138
X,1552189309,610571,52560
X,1552189309,629616,10140
X,1552189310,625099,37990
X,1552189310,625072,7151
X,1552189311,627039,48851
X,1552189311,629098,25550
X,1552189312,627811,9523
X,1552189312,629841,19984
X,1552189313,628675,3337
X,1552189314,627726,12986
X,1552189314,624318,59575
X,1552189314,616849,4531
X,1552189314,621728,14458
X,1552189315,623035,12162
X,1552189315,615952,15716
X,1552189316,611709,24032
X,1552189317,621368,7008
X,1552189317,623119,3668
X,1552189318,619568,8118
X,1552189318,627737,3575
X,1552189319,630436,3735
X,1552189319,624168,28343
X,1552189320,628778,46647
X,1552189321,625131,26017
X,1552189321,630972,16645
X,1552189322,627627,15542
P,1552189322,5140
X,1552189322,630896,31040
X,1552189323,631942,15752
X,1552189323,631214,8173
X,1552189324,630930,7814
X,1552189325,629721,10103
X,1552189325,628449,14633
X,1552189326,630040,5000
X,1552189326,630551,4292
X,1552189327,630558,2220
X,1552189327,630054,2216
X,1552189328,629616,6203
X,1552189328,631014,5546
X,1552189329,629735,1148
X,1552189330,629069,1493
X,1552189330,628515,3193
X,1552189331,626763,7309
X,1552189331,628202,11224
X,1552189332,630406,2419
X,1552189332,626515,3840
X,1552189333,619835,6971
X,1552189334,627169,6796
X,1552189334,630480,3403
X,1552189335,630740,2861
X,1552189335,632634,1716
X,1552189336,630883,4679
X,1552189336,633610,6254
X,1552189337,635545,7019
X,1552189338,633748,4929
X,1552189338,630973,5611
X,1552189339,630013,26930
X,1552189339,628622,17256
X,1552189340,628556,5457
X,1552189340,627519,5599
X,1552189341,631009,4238
X,1552189342,633918,2651
X,1552189342,634560,4257
X,1552189343,632114,4276
X,1552189343,631189,1652
X,1552189344,631497,2450
X,1552189344,629159,3936
X,1552189345,628156,5370
X,1552189345,628662,5271
X,1552189346,629041,4830
X,1552189347,631539,2904
X,1552189347,631630,2540
X,1552189348,631545,3355
X,1552189348,631366,2361
X,1552189349,629399,3312
X,1552189349,628941,6919
X,1552189350,624118,11384
X,1552189351,623095,7501
X,1552189351,626466,3904
X,1552189352,626984,3508
X,1552189352,627493,3020
P,1552189352,5138
X,1552189353,628097,3455
X,1552189353,624908,4842
X,1552189354,623783,2727
X,1552189355,623192,4117
X,1552189355,624320,4989
X,1552189355,627400,4112
X,1552189355,627032,4135
X,1552189356,625638,3515
X,1552189356,626596,2363
X,1552189357,627939,4243
X,1552189357,629346,4416
X,1552189358,624487,8080
X,1552189359,623808,7757
X,1552189359,627418,33494
X,1552189360,624511,7507
X,1552189360,625423,4669
X,1552189361,629770,3959
X,1552189361,630897,2813
X,1552189362,632228,4651
X,1552189363,634467,7147
X,1552189363,633372,51260
X,1552189364,630641,51821
X,1552189364,628829,38706
X,1552189365,630542,7239
X,1552189365,630132,21231
X,1552189366,630238,5795
X,1552189367,629874,4410
X,1552189367,629296,16836
X,1552189368,627891,39899
X,1552189368,662322,55120
X,1552189369,272938,5211
X,1552189369,273478,1815
X,1552189370,272348,1077
X,1552189371,273255,550
X,1552189371,272846,498
X,1552189372,272504,555
X,1552189372,272708,568
X,1552189373,272907,321
X,1552189373,273184,326
X,1552189374,273361,277
X,1552189374,273457,216
O,1552189375,273549,283
O,1552189376,273247,534
O,1552189376,272620,1172
O,1552189377,272343,1049
O,1552189377,272817,871
O,1552189378,270680,1954
O,1552189378,270362,2494
O,1552189379,270792,1322
O,1552189380,270000,1758
O,1552189380,271390,387
O,1552189381,271701,529
O,1552189381,272606,921
P,1552189381,5139
O,1552189382,272706,488
O,1552189382,272761,630
O,1552189383,272753,410
O,1552189384,272905,468
O,1552189384,273230,386
O,1552189385,273305,1002
O,1552189385,273471,395
O,1552189386,273449,549
O,1552189386,272181,1613
O,1552189387,271897,788
O,1552189388,271931,803
O,1552189388,272203,401
O,1552189389,272893,568
O,1552189389,272891,353
O,1552189390,272948,116
O,1552189390,273113,149
O,1552189391,273324,394
O,1552189391,273183,571
