H,1552945700,268731
P,1552945700,5142
P,1552945729,5143
P,1552945759,5143
P,1552945789,5143
P,1552945818,5143
P,1552945847,5142
P,1552945877,5144
P,1552945906,5142
P,1552945935,5143
P,1552945964,5143
P,1552945994,5143
P,1552946023,5141
P,1552946052,5144
P,1552946083,5143
P,1552946112,5142
P,1552946141,5144
P,1552946170,5143
P,1552946200,5143
P,1552946229,5142
P,1552946258,5144
P,1552946288,5141
P,1552946317,5142
P,1552946346,5144
P,1552946376,5142
P,1552946406,5142
P,1552946435,5143
P,1552946464,5144
P,1552946494,5144
P,1552946523,5143
P,1552946552,5142
P,1552946581,5144
P,1552946611,5144
P,1552946640,5143
P,1552946670,5143
P,1552946700,5142
P,1552946729,5143
P,1552946758,5144
P,1552946787,5143
P,1552946817,5144
P,1552946846,5143
P,1552946876,5144
P,1552946906,5142
P,1552946935,5143
P,1552946965,5144
P,1552946994,5142
P,1552947024,5141
P,1552947053,5142
P,1552947082,5143
P,1552947112,5142
P,1552947141,5141
P,1552947170,5142
P,1552947199,5143
P,1552947229,5143
P,1552947259,5144
P,1552947288,5143
P,1552947318,5144
P,1552947347,5143
P,1552947376,5141
P,1552947405,5144
P,1552947435,5144
P,1552947464,5144
D,1552947483,382464
R,1552947483,700D9DFBA
R,1552947484,700D9DFBA
R,1552947484,700D9DFBA
X,1552947485,576094,33039
X,1552947486,575550,28265
X,1552947486,575759,25229
X,1552947487,575650,4652
X,1552947487,576230,5152
X,1552947488,575732,7128
X,1552947489,575768,4614
X,1552947489,577472,12110
X,1552947490,572912,39247
X,1552947490,575986,23011
X,1552947491,575733,28294
X,1552947491,575977,6809
X,1552947492,576557,11808
X,1552947493,574849,18328
X,1552947493,575619,34890
P,1552947493,5135
X,1552947494,573778,17299
X,1552947494,576291,9383
X,1552947495,576714,21398
X,1552947495,576511,27994
X,1552947496,576066,3235
X,1552947497,576230,16644
X,1552947497,575240,31434
X,1552947498,575453,24032
X,1552947498,575801,24611
X,1552947499,577988,14029
X,1552947499,575636,19604
X,1552947500,576421,25070
X,1552947501,575414,35353
X,1552947501,575896,9064
X,1552947502,576636,18341
X,1552947502,574980,47788
X,1552947503,576397,21547
X,1552947503,576272,5759
X,1552947504,576261,2031
X,1552947504,576561,4668
X,1552947505,575908,4182
X,1552947506,576458,3530
X,1552947506,576174,2088
X,1552947507,576229,1632
X,1552947507,576637,3259
X,1552947508,576088,5624
X,1552947508,576319,4720
X,1552947509,576538,11076
X,1552947510,575853,7580
X,1552947510,576479,3347
X,1552947511,576459,2901
X,1552947511,576472,9977
X,1552947512,578330,20875
X,1552947512,579662,42332
X,1552947513,570599,17245
X,1552947514,579781,40249
X,1552947514,574046,47077
X,1552947515,597509,45729
X,1552947515,263683,2751
X,1552947516,263857,508
X,1552947516,263988,115
X,1552947517,264014,139
X,1552947518,264028,119
X,1552947518,264041,132
X,1552947519,264054,76
X,1552947519,264034,115
X,1552947520,264046,105
X,1552947520,264056,105
X,1552947521,264080,106
O,1552947521,264095,105
O,1552947522,264077,120
O,1552947523,264096,145
O,1552947523,264095,146
P,1552947523,5135
O,1552947523,264124,99
O,1552947523,264085,89
O,1552947524,264091,114
O,1552947524,264065,96
O,1552947525,264074,102
O,1552947526,264073,103
O,1552947526,264098,81
O,1552947527,264137,131
O,1552947527,264194,84
O,1552947528,264157,165
O,1552947528,264182,153
O,1552947529,264180,82
O,1552947530,264085,122
O,1552947530,264013,109
O,1552947531,263994,82
O,1552947531,263977,77
O,1552947532,264020,92
O,1552947532,263981,79
O,1552947533,264000,132
O,1552947533,263999,212
O,1552947534,264019,75
O,1552947535,263994,136
O,1552947535,263996,102
O,1552947536,263963,137
O,1552947536,264000,43
O,1552947537,263966,87
O,1552947537,263941,91
O,1552947538,263953,99
O,1552947539,263960,107
O,1552947539,263944,81
O,1552947540,263964,112
O,1552947540,263975,133
O,1552947541,263929,95
O,1552947541,263953,81
O,1552947542,263948,95
O,1552947543,263944,138
O,1552947543,263930,116
O,1552947544,263915,60
O,1552947544,263920,100
O,1552947545,263890,121
O,1552947545,263910,149
O,1552947546,263904,97
O,1552947547,263901,144
O,1552947547,263870,88
O,1552947548,263869,90
O,1552947548,263867,172
O,1552947549,263873,109
O,1552947549,263850,75
O,1552947550,263845,127
O,1552947550,263835,86
O,1552947551,263838,81
O,1552947552,263848,80
O,1552947552,263851,104
P,1552947553,5134
O,1552947553,263834,106
O,1552947553,263832,110
