H,1555105230,268731
P,1555105230,5095
P,1555105259,5094
P,1555105288,5093
P,1555105317,5093
P,1555105347,5093
P,1555105376,5095
P,1555105405,5094
P,1555105435,5093
P,1555105464,5095
P,1555105493,5095
P,1555105523,5093
P,1555105553,5093
P,1555105582,5095
P,1555105611,5094
P,1555105641,5094
D,1555105653,394240
R,1555105653,700D9DFBA
R,1555105653,700D9DFBA
R,1555105653,700D9DFBA
X,1555105654,558409,13946
X,1555105655,560707,25863
X,1555105656,560266,26154
X,1555105656,558205,11291
X,1555105657,558709,18369
X,1555105657,560282,26899
X,1555105658,562103,4606
X,1555105658,559397,37640
X,1555105659,559222,8054
X,1555105660,558673,3427
X,1555105660,559487,8006
X,1555105661,559335,4761
X,1555105661,559787,7946
X,1555105662,560431,15823
X,1555105662,560159,2804
X,1555105663,560239,3352
X,1555105663,561552,12559
X,1555105664,561670,10106
X,1555105665,561936,4461
X,1555105665,561616,2596
X,1555105666,561963,2561
X,1555105666,561857,3232
X,1555105667,562561,3018
X,1555105667,561767,2212
X,1555105668,561063,6619
X,1555105669,561164,6779
X,1555105669,562255,24478
X,1555105670,561227,24654
P,1555105670,5084
X,1555105670,562711,6620
X,1555105671,563246,3866
X,1555105671,563184,2581
X,1555105672,563069,2842
X,1555105673,563248,2650
X,1555105673,563287,4810
X,1555105674,561972,9494
X,1555105674,561957,13278
X,1555105675,562968,16202
X,1555105675,561526,31169
X,1555105676,560059,39740
X,1555105677,565576,17861
X,1555105677,563287,14731
X,1555105678,563589,4363
X,1555105678,563715,2030
X,1555105679,565294,65325
X,1555105679,568298,5433
X,1555105680,559692,9113
X,1555105680,565773,49951
X,1555105681,567081,17882
X,1555105682,566422,26348
X,1555105682,565912,43526
X,1555105683,561605,65503
X,1555105683,563458,35901
X,1555105684,564236,54072
X,1555105684,563934,13701
X,1555105685,561418,24735
X,1555105685,562873,17048
X,1555105685,563057,5748
X,1555105686,562769,7153
X,1555105686,561889,2470
X,1555105687,561435,11422
X,1555105687,561673,12045
X,1555105688,561574,3544
X,1555105689,561748,1809
X,1555105689,561637,2202
X,1555105690,561712,1528
X,1555105690,561295,16756
X,1555105691,560880,4657
X,1555105691,560124,1956
X,1555105692,560411,2805
X,1555105693,560555,3123
X,1555105693,561708,2764
X,1555105694,562385,7478
X,1555105694,562628,3767
X,1555105695,562221,4119
X,1555105695,554573,58183
X,1555105696,346529,26510
X,1555105696,264006,2350
X,1555105697,264487,1147
X,1555105698,263698,603
X,1555105698,263389,465
X,1555105699,263657,344
P,1555105699,5087
X,1555105699,263838,363
X,1555105700,263848,324
X,1555105700,264090,231
X,1555105701,264311,334
X,1555105702,264486,211
X,1555105702,264845,342
O,1555105703,265322,396
O,1555105703,265244,483
O,1555105704,264742,757
O,1555105704,263940,340
O,1555105705,264047,434
O,1555105706,264107,1181
O,1555105706,263881,247
O,1555105707,263805,512
O,1555105707,263902,127
O,1555105708,264032,139
O,1555105708,263887,121
O,1555105709,263770,417
O,1555105710,263898,197
O,1555105710,263991,400
O,1555105711,263913,208
O,1555105711,263873,337
O,1555105712,264001,388
O,1555105712,264003,232
O,1555105713,264007,339
O,1555105713,264102,272
O,1555105714,264113,139
O,1555105715,263825,226
O,1555105715,264513,635
O,1555105716,264139,521
O,1555105716,264075,460
O,1555105717,264305,217
O,1555105717,264380,119
O,1555105718,264431,69
O,1555105719,264698,579
O,1555105719,264924,533
O,1555105720,264864,608
O,1555105720,265285,176
O,1555105721,264644,472
O,1555105721,264160,342
O,1555105722,264031,107
O,1555105723,264192,649
O,1555105723,263896,189
O,1555105724,263913,366
O,1555105724,263840,527
O,1555105725,263992,171
O,1555105725,264086,181
O,1555105726,264081,108
O,1555105726,264281,232
O,1555105726,264229,314
O,1555105727,264394,277
O,1555105727,264536,1652
O,1555105728,265256,870
P,1555105728,5086
O,1555105728,264981,416
O,1555105729,264552,327
O,1555105729,265718,2317
O,1555105730,266259,1081
O,1555105731,265948,355
O,1555105731,265537,779
O,1555105732,264315,754
O,1555105732,264353,807
O,1555105733,264288,466
O,1555105733,264294,529
O,1555105734,263876,252
O,1555105735,263827,520
O,1555105735,263460,917
O,1555105736,263738,196
O,1555105736,263785,306
O,1555105737,263940,292
O,1555105737,263990,159
O,1555105738,263681,710
O,1555105739,263796,388
O,1555105739,263858,412
