H,1553022416,164236
D,1553022416,156416
D,1553022418,157184
D,1553022420,155392
D,1553022422,155648
D,1553022424,157184
D,1553022427,155392
P,1553022428,5048
D,1553022429,156416
D,1553022431,156928
D,1553022433,155392
D,1553022435,156416
D,1553022438,156672
D,1553022440,157440
D,1553022442,156928
D,1553022444,156928
D,1553022446,156928
D,1553022449,156672
D,1553022451,156416
D,1553022452,156416
D,1553022454,156416
D,1553022456,157696
P,1553022457,5057
D,1553022459,156928
D,1553022461,156672
D,1553022463,156160
D,1553022465,156672
D,1553022467,156416
D,1553022470,156416
D,1553022472,156416
D,1553022474,156928
D,1553022476,156416
D,1553022478,155648
D,1553022481,156928
D,1553022483,157184
D,1553022485,156416
D,1553022487,156160
P,1553022487,4957
D,1553022489,156416
D,1553022492,156416
D,1553022493,155648
D,1553022495,156928
D,1553022497,156160
D,1553022499,156160
D,1553022502,156672
D,1553022504,156672
D,1553022506,157952
D,1553022508,155904
D,1553022510,157440
D,1553022513,156416
D,1553022515,156928
P,1553022517,5058
D,1553022517,156416
D,1553022519,156416
D,1553022521,156672
D,1553022524,155648
D,1553022526,155648
D,1553022528,155136
D,1553022530,155904
D,1553022532,156416
D,1553022534,156928
D,1553022536,154880
D,1553022538,155392
D,1553022540,156160
D,1553022542,156672
D,1553022545,157184
P,1553022546,5058
D,1553022547,156928
D,1553022549,155136
D,1553022551,156160
D,1553022553,156928
D,1553022556,157440
D,1553022558,156928
D,1553022560,156928
D,1553022562,156928
D,1553022564,156160
D,1553022567,156160
D,1553022569,157696
D,1553022571,156672
D,1553022573,156928
D,1553022574,156672
P,1553022575,4954
D,1553022577,156416
D,1553022579,157696
D,1553022581,157184
D,1553022583,156672
D,1553022585,156672
D,1553022588,155904
D,1553022590,156928
D,1553022592,156672
D,1553022594,156928
D,1553022597,155904
D,1553022599,156416
D,1553022601,156928
D,1553022603,156928
P,1553022605,5058
D,1553022605,156928
D,1553022608,156928
D,1553022610,156928
D,1553022612,158208
D,1553022614,157952
D,1553022615,156928
D,1553022618,156928
D,1553022620,156928
D,1553022622,156928
D,1553022624,157696
D,1553022626,157696
D,1553022629,157184
D,1553022631,156160
D,1553022633,157184
P,1553022634,5057
D,1553022635,156416
D,1553022637,156672
D,1553022640,157440
D,1553022642,156928
D,1553022644,157184
D,1553022646,156672
D,1553022648,156416
D,1553022651,156416
D,1553022653,155904
D,1553022655,156672
D,1553022656,156416
D,1553022658,156672
D,1553022661,156928
D,1553022663,157440
P,1553022663,5056
D,1553022665,157184
D,1553022667,156928
D,1553022669,157440
D,1553022672,157440
D,1553022674,157184
D,1553022676,156672
D,1553022678,156672
D,1553022680,156672
D,1553022683,156416
D,1553022685,157184
D,1553022687,157440
D,1553022689,157696
D,1553022691,156928
P,1553022693,5058
D,1553022694,156928
D,1553022696,156928
D,1553022697,157184
D,1553022699,156928
D,1553022701,157184
D,1553022704,156928
D,1553022706,157440
D,1553022708,156672
D,1553022710,156928
D,1553022712,157184
D,1553022715,157184
D,1553022717,155904
D,1553022719,156160
D,1553022721,156416
P,1553022722,5058
D,1553022723,156672
D,1553022726,156160
D,1553022728,156672
D,1553022730,155904
D,1553022732,156416
D,1553022734,156416
D,1553022737,157184
D,1553022738,156672
D,1553022740,156928
D,1553022742,157440
D,1553022744,156928
D,1553022747,157184
D,1553022749,156672
D,1553022751,156160
P,1553022751,5056
D,1553022753,156672
D,1553022755,157696
D,1553022758,157184
D,1553022760,157184
D,1553022762,156160
D,1553022764,156672
D,1553022766,156416
D,1553022769,156928
D,1553022771,156672
D,1553022773,156928
D,1553022775,156928
D,1553022777,157696
D,1553022779,156928
P,1553022780,5057
D,1553022781,157184
D,1553022783,157696
D,1553022785,157440
D,1553022787,157952
D,1553022790,156672
D,1553022792,157696
D,1553022794,157952
D,1553022796,157184
D,1553022798,156928
D,1553022801,156416
D,1553022803,157440
D,1553022805,157184
D,1553022807,155136
D,1553022809,155392
P,1553022811,5058
D,1553022812,156672
D,1553022814,155392
D,1553022816,157440
D,1553022818,157952
D,1553022820,157440
D,1553022822,157184
D,1553022824,156416
D,1553022826,157440
D,1553022828,156160
D,1553022831,157952
D,1553022833,157184
D,1553022835,156928
D,1553022837,156672
D,1553022839,156928
P,1553022840,5057
D,1553022842,156160
D,1553022844,156672
D,1553022846,157696
D,1553022848,155904
D,1553022850,157184
D,1553022853,156672
D,1553022855,156672
D,1553022857,156928
D,1553022859,156160
D,1553022861,157184
D,1553022863,158976
D,1553022865,156928
D,1553022867,158208
P,1553022869,5057
D,1553022869,158464
D,1553022871,157696
D,1553022874,155904
D,1553022876,156416
D,1553022878,155648
D,1553022880,156928
D,1553022882,156416
D,1553022885,156928
D,1553022887,159232
D,1553022889,159232
D,1553022891,158208
D,1553022893,156160
D,1553022896,159232
D,1553022898,155648
P,1553022899,5058
D,1553022900,160000
D,1553022902,157184
D,1553022903,157696
D,1553022906,154368
D,1553022908,153856
D,1553022910,159232
D,1553022912,156160
D,1553022914,157696
D,1553022917,156928
D,1553022919,156928
D,1553022921,157440
D,1553022923,157184
D,1553022925,157440
