H,1555450300,281312
P,1555450300,5077
P,1555450329,5077
P,1555450359,5077
P,1555450389,5077
P,1555450418,5076
P,1555450447,5077
P,1555450476,5077
P,1555450506,5077
P,1555450535,5075
P,1555450564,5078
P,1555450594,5077
P,1555450623,5077
P,1555450653,5076
P,1555450682,5074
P,1555450712,5076
P,1555450741,5076
P,1555450770,5076
P,1555450800,5076
P,1555450829,5075
P,1555450858,5077
P,1555450887,5077
P,1555450917,5078
P,1555450947,5077
P,1555450976,5075
P,1555451006,5076
P,1555451035,5078
P,1555451064,5076
P,1555451093,5078
P,1555451123,5077
P,1555451152,5075
P,1555451181,5076
P,1555451211,5077
P,1555451241,5076
P,1555451270,5077
P,1555451299,5077
P,1555451329,5077
P,1555451358,5079
P,1555451387,5079
P,1555451417,5076
P,1555451446,5077
P,1555451475,5077
P,1555451504,5078
P,1555451535,5076
P,1555451565,5077
P,1555451594,5077
P,1555451623,5074
P,1555451653,5077
P,1555451682,5077
P,1555451711,5074
P,1555451741,5077
P,1555451770,5075
P,1555451799,5078
P,1555451829,5078
P,1555451859,5075
P,1555451888,5071
P,1555451917,5078
P,1555451947,5077
P,1555451976,5076
O,1555452003,258335,1833
O,1555452003,258860,411
O,1555452004,259197,159
O,1555452004,259261,138
O,1555452005,259331,101
P,1555452005,5070
O,1555452005,259359,113
O,1555452006,259406,216
O,1555452007,259475,97
O,1555452007,259568,82
O,1555452008,259614,116
O,1555452008,259578,142
O,1555452009,259637,78
O,1555452009,259653,200
O,1555452010,259728,104
O,1555452010,259787,101
O,1555452011,259820,89
O,1555452012,259825,100
O,1555452012,259803,101
O,1555452013,259791,77
O,1555452013,259744,163
O,1555452014,259805,96
O,1555452014,259793,68
O,1555452015,259788,68
O,1555452016,259826,139
O,1555452016,259827,138
O,1555452017,259845,98
O,1555452017,259839,123
O,1555452018,259868,77
O,1555452018,259882,115
O,1555452019,259877,73
O,1555452020,259840,124
O,1555452020,259841,127
O,1555452021,259848,114
O,1555452021,259905,74
O,1555452022,259978,118
O,1555452022,259998,92
O,1555452023,259953,115
O,1555452024,259919,87
O,1555452024,259944,127
O,1555452025,259970,145
O,1555452025,259978,151
O,1555452026,260032,118
O,1555452026,260076,124
O,1555452027,260081,83
O,1555452028,260062,98
O,1555452028,260103,157
O,1555452029,260104,135
O,1555452029,260063,118
O,1555452030,260052,84
O,1555452030,260049,152
O,1555452031,260107,143
O,1555452031,260102,70
O,1555452032,260125,97
O,1555452033,260097,61
O,1555452033,260163,99
O,1555452033,260230,127
O,1555452033,260305,105
O,1555452034,260294,108
P,1555452034,5071
O,1555452034,260337,96
O,1555452035,260351,74
O,1555452036,260323,92
O,1555452036,260336,112
O,1555452037,260387,99
O,1555452037,260359,77
O,1555452038,260380,116
O,1555452038,260360,87
O,1555452039,260382,108
O,1555452040,260371,142
O,1555452040,260347,113
O,1555452041,260332,148
O,1555452041,260324,106
O,1555452042,260360,218
O,1555452042,260389,147
O,1555452043,260417,74
O,1555452044,260382,148
O,1555452044,260386,117
O,1555452045,260338,68
O,1555452045,260336,102
O,1555452046,260326,121
O,1555452046,260308,93
O,1555452047,260291,169
O,1555452048,260284,48
O,1555452048,260283,80
O,1555452049,260283,80
O,1555452049,260304,107
O,1555452050,260268,131
O,1555452050,260245,90
O,1555452051,260306,108
O,1555452052,260307,114
O,1555452052,260264,101
O,1555452053,260277,105
O,1555452053,260263,108
O,1555452054,260260,62
O,1555452054,260285,125
O,1555452055,260275,116
O,1555452055,260268,85
O,1555452056,260237,101
O,1555452057,260213,109
O,1555452057,260252,123
O,1555452058,260256,87
O,1555452058,260227,144
T,1555452058,2821
P,1555452064,5076
P,1555452093,5073
P,1555452123,5076
P,1555452153,5075
P,1555452182,5078
P,1555452211,5075
P,1555452240,5075
P,1555452270,5078
P,1555452299,5076
P,1555452328,5078
P,1555452358,5078
P,1555452387,5076
P,1555452417,5078
P,1555452446,5077
P,1555452476,5077
P,1555452505,5077
P,1555452534,5076
P,1555452564,5077
P,1555452593,5076
P,1555452622,5077
P,1555452651,5076
P,1555452681,5078
P,1555452711,5075
P,1555452740,5077
P,1555452770,5074
P,1555452799,5077
P,1555452828,5077
P,1555452857,5078
P,1555452887,5079
P,1555452916,5077
P,1555452945,5078
P,1555452975,5074
P,1555453005,5078
P,1555453034,5078
P,1555453063,5076
P,1555453093,5076
P,1555453122,5077
P,1555453151,5078
P,1555453181,5079
P,1555453210,5078
P,1555453239,5078
P,1555453268,5077
P,1555453299,5077
