555225114,459520
D,1555225117,465408
D,1555225119,465408
D,1555225121,463616
D,1555225123,465152
D,1555225126,465408
D,1555225128,463872
D,1555225129,462848
D,1555225131,463104
D,1555225133,456960
D,1555225136,464384
D,1555225138,453632
D,1555225140,461824
P,1555225140,4981
D,1555225142,465920
D,1555225144,466688
D,1555225147,473088
D,1555225149,463616
D,1555225151,460800
D,1555225153,462848
D,1555225155,457472
D,1555225158,461824
D,1555225160,470528
D,1555225162,464640
D,1555225164,468224
D,1555225166,467200
D,1555225169,463872
P,1555225170,5069
D,1555225170,464128
D,1555225172,467968
D,1555225174,459264
D,1555225176,461568
D,1555225179,461312
D,1555225181,465408
D,1555225183,464384
D,1555225185,459776
D,1555225187,462848
D,1555225190,467968
D,1555225192,466176
D,1555225194,460032
D,1555225196,464128
D,1555225198,461312
P,1555225199,5069
D,1555225201,456192
D,1555225203,462848
D,1555225205,464896
D,1555225207,464384
D,1555225209,460288
D,1555225211,465920
D,1555225213,461824
D,1555225215,462336
D,1555225217,461056
D,1555225219,460800
D,1555225222,465664
D,1555225224,463872
D,1555225226,461056
D,1555225228,457728
P,1555225228,4951
D,1555225230,464128
D,1555225233,463360
D,1555225235,461312
D,1555225237,463616
D,1555225239,464128
D,1555225241,466944
D,1555225244,465920
D,1555225246,461568
D,1555225248,462336
D,1555225250,461312
D,1555225252,465408
D,1555225254,463360
D,1555225256,463360
P,1555225257,5067
D,1555225258,465152
D,1555225260,463616
D,1555225262,465664
D,1555225265,461568
D,1555225267,463104
D,1555225269,463360
D,1555225271,463360
D,1555225273,463104
D,1555225276,463616
D,1555225278,463616
D,1555225280,462848
D,1555225282,464640
D,1555225284,464384
D,1555225287,464128
P,1555225288,5068
D,1555225289,463872
D,1555225291,464640
D,1555225293,463360
D,1555225294,463104
D,1555225297,463104
D,1555225299,463104
D,1555225301,464128
D,1555225303,462592
D,1555225305,463616
D,1555225308,464128
D,1555225310,440576
D,1555225312,426240
D,1555225314,463360
D,1555225316,465152
P,1555225317,4965
D,1555225319,462848
D,1555225321,463872
D,1555225323,464384
D,1555225325,464640
D,1555225327,464128
D,1555225330,463872
D,1555225332,464384
D,1555225334,463104
D,1555225335,463616
D,1555225338,463616
D,1555225340,463872
D,1555225342,464640
D,1555225344,464128
P,1555225346,5065
D,1555225346,463360
D,1555225349,463360
D,1555225351,464896
D,1555225353,464384
D,1555225355,464128
D,1555225357,463872
D,1555225360,464384
D,1555225362,463872
D,1555225364,463616
D,1555225366,463872
D,1555225368,463616
D,1555225371,463616
D,1555225373,463360
D,1555225375,465664
P,1555225375,5067
D,1555225376,464128
D,1555225378,463360
D,1555225381,463872
D,1555225383,464384
D,1555225385,463360
D,1555225387,464128
D,1555225389,464384
D,1555225392,463872
D,1555225394,464128
D,1555225396,464384
D,1555225398,464640
D,1555225400,463872
D,1555225403,463360
D,1555225405,464128
P,1555225405,4951
D,1555225407,463616
D,1555225409,463616
D,1555225411,463360
D,1555225414,463616
D,1555225416,463616
D,1555225417,462848
D,1555225419,462848
D,1555225421,464128
D,1555225424,463104
D,1555225426,463104
D,1555225428,463616
D,1555225430,464640
D,1555225432,463616
P,1555225434,5066
D,1555225435,464384
D,1555225437,463616
D,1555225439,464896
D,1555225441,463616
D,1555225443,463616
D,1555225446,463872
D,1555225448,463872
D,1555225450,463616
D,1555225452,462336
D,1555225454,461312
D,1555225457,463104
D,1555225458,463616
D,1555225460,457472
D,1555225462,462336
P,1555225463,5066
D,1555225464,466176
D,1555225467,466176
D,1555225469,461312
D,1555225471,460544
D,1555225473,452096
D,1555225475,465664
D,1555225478,464128
D,1555225480,463360
D,1555225482,469504
D,1555225484,468992
D,1555225486,464128
D,1555225489,455424
D,1555225491,459264
D,1555225493,458240
P,1555225493,4954
D,1555225495,463616
D,1555225497,454656
D,1555225499,464640
D,1555225501,467968
D,1555225503,465152
D,1555225505,442880
D,1555225507,463104
D,1555225510,465152
D,1555225512,458240
D,1555225514,463104
D,1555225516,462080
D,1555225518,463872
D,1555225521,464384
P,1555225522,5068
D,1555225523,460032
D,1555225525,463104
D,1555225527,464896
D,1555225529,460288
D,1555225532,465152
D,1555225534,463872
D,1555225536,463872
D,1555225538,465152
D,1555225539,463616
D,1555225542,462336
D,1555225544,463616
D,1555225546,463360
D,1555225548,465664
D,1555225551,463616
P,1555225551,5064
D,1555225553,463360
D,1555225555,463360
D,1555225557,464128
D,1555225559,464384
D,1555225562,466176
D,1555225564,465152
D,1555225566,464384
D,1555225568,463616
