H,1553545290,411581
R,1553545290,5C00DDFC36
X,1553545292,776538,1220
X,1553545292,776774,1279
X,1553545293,776928,981
X,1553545293,776998,909
X,1553545294,777118,820
X,1553545294,777043,1271
X,1553545294,777017,1463
X,1553545294,777218,1782
X,1553545295,777354,1149
X,1553545296,777229,545
X,1553545296,777160,1561
P,1553545296,5128
X,1553545297,777398,1576
X,1553545297,777271,8054
X,1553545298,777284,3553
X,1553545298,777450,1505
X,1553545299,777596,913
X,1553545300,777511,1644
X,1553545300,777559,2838
X,1553545301,777412,954
X,1553545301,777105,691
X,1553545302,777146,1404
X,1553545302,777520,1076
X,1553545303,777454,1778
X,1553545304,777482,1283
X,1553545304,777515,1105
X,1553545305,777686,2163
X,1553545305,777586,11359
X,1553545306,777422,1604
X,1553545306,777380,4634
X,1553545307,777914,4044
X,1553545308,777504,838
X,1553545308,777579,1096
X,1553545309,777648,1636
X,1553545309,777790,1417
X,1553545310,777771,1371
X,1553545310,777649,1161
X,1553545311,777800,1192
X,1553545311,778045,893
X,1553545312,777943,1227
X,1553545313,778030,945
X,1553545313,778012,1837
X,1553545314,776893,15734
X,1553545314,778008,1520
X,1553545315,777933,1006
X,1553545315,777913,1093
X,1553545316,778072,1691
X,1553545317,777990,1240
X,1553545317,777955,869
X,1553545318,777935,1020
X,1553545318,777992,1076
X,1553545319,777942,1807
X,1553545319,777749,674
X,1553545320,777515,1048
X,1553545321,777428,915
X,1553545321,777441,1594
X,1553545322,777347,1462
X,1553545322,777117,786
X,1553545323,777323,1610
X,1553545323,777333,1003
X,1553545324,777487,1085
X,1553545325,777467,1156
X,1553545325,777393,1723
X,1553545326,777337,1018
X,1553545326,777360,1289
P,1553545326,5137
X,1553545327,777170,1280
X,1553545327,776869,1143
X,1553545328,777083,750
X,1553545329,777292,991
X,1553545329,777193,1154
X,1553545330,776922,1212
X,1553545330,777045,1442
X,1553545331,777245,10192
X,1553545331,777497,2483
X,1553545332,777154,960
X,1553545332,777166,2227
X,1553545333,777553,1293
X,1553545334,777562,1623
X,1553545334,777649,440
X,1553545335,777431,894
X,1553545335,777485,1363
X,1553545335,777655,1921
X,1553545335,777565,1363
X,1553545336,777628,449
A,1553545336,777422,1117
T,1553545336,2779
R,1553545336,5C00DDFC36
X,1553545338,777952,974
X,1553545339,777968,879
X,1553545339,778070,687
X,1553545340,778067,1101
X,1553545340,778005,1342
X,1553545341,777991,1153
X,1553545341,778018,768
X,1553545342,778164,490
X,1553545343,778140,764
X,1553545343,778076,1181
X,1553545344,777894,2639
X,1553545344,778612,5137
X,1553545345,778070,2557
X,1553545345,778180,1491
X,1553545346,778097,981
X,1553545347,778139,1276
X,1553545347,778081,1729
X,1553545348,778238,1264
X,1553545348,778131,1136
X,1553545349,778124,1278
X,1553545349,778247,1171
X,1553545350,778234,1347
X,1553545350,778193,718
X,1553545351,778168,593
X,1553545352,778191,867
X,1553545352,778389,3605
X,1553545353,777649,4510
X,1553545353,778162,1372
X,1553545354,778214,860
X,1553545354,778251,1240
X,1553545355,778175,1389
P,1553545355,5138
X,1553545356,778247,1129
X,1553545356,778245,1263
X,1553545357,778199,636
X,1553545357,778104,1088
X,1553545358,778198,703
X,1553545358,778197,1646
X,1553545359,778202,1000
X,1553545360,778224,1275
X,1553545360,778207,964
X,1553545361,778219,1731
X,1553545361,778127,1069
X,1553545362,778117,868
X,1553545362,778118,1356
X,1553545363,778133,1265
X,1553545364,778167,1015
X,1553545364,777887,2713
X,1553545365,778328,2122
X,1553545365,777993,1295
X,1553545366,778203,905
X,1553545366,778220,1092
X,1553545367,778261,690
X,1553545367,778406,1234
X,1553545368,778436,1181
X,1553545369,778341,1165
X,1553545369,778279,1774
X,1553545370,778392,1259
X,1553545370,778441,1801
X,1553545371,778397,1057
X,1553545371,778414,729
X,1553545372,778709,3116
X,1553545373,778172,4921
X,1553545373,778547,2691
X,1553545374,778303,1096
X,1553545374,778350,1307
X,1553545375,778477,1403
X,1553545375,778545,1825
X,1553545376,778410,847
A,1553545376,778169,462
T,1553545376,2779
R,1553545376,5C00DDFC36
X,1553545377,778467,1275
X,1553545378,778058,4217
X,1553545378,778843,3293
X,1553545379,778389,1070
X,1553545379,778601,675
X,1553545380,778610,852
X,1553545381,778603,1123
X,1553545381,778638,1616
X,1553545382,778559,691
X,1553545382,778549,1230
X,1553545383,778486,21420
